DateTime,AddedIPs,RemovedIPs
1580055070,7,6
1580058702,6,4
1580062292,2,7
1580065879,2,4
1580069489,1,8
1580073101,5,4
1580076676,3,5
1580080300,6,2
1580083912,8,2
1580087530,12,4
1580091100,1,4
1580094703,4,7
1580098339,5,23
1580101923,10,11
1580105505,8,4
1580109066,10,6
1580112714,10,5
1580116302,6,4
1580119900,5,2
1580123501,4,2
1580127143,3,11
1580130703,6,6
1580134357,8,4
1580137902,4,4
1580141506,2,4
1580145119,3,4
1580148708,8,4
1580152298,5,11
1580155900,6,8
1580159518,4,2
1580163092,8,6
1580166709,7,6
1580170394,16,4
1580173876,5,6
1580177482,6,4
1580181128,4,15
1580184683,4,7
1580188284,3,5
1580191905,4,18
1580195498,9,12
1580199100,9,2
1580202690,1,1
1580206367,4,1
1580209867,8,5
1580213518,4,3
1580217065,5,4
1580220687,5,5
1580224303,2,4
1580227895,4,3
1580231497,3,6
1580235052,3,5
1580238675,2,3
1580242342,4,6
1580245897,5,3
1580249490,1,9
1580253084,6,4
1580256728,16,4
1580260327,30,4
1580263903,8,2
1580267502,9,3
1580271171,6,19
1580274704,5,5
1580278334,3,5
1580281897,3,8
1580285543,6,4
1580289123,4,7
1580292729,6,3
1580296283,5,4
1580299935,2,5
1580303513,5,7
1580307113,8,6
1580310750,3,4
1580314321,3,6
1580317930,6,5
1580321499,2,10
1580325147,4,5
1580328685,8,3
1580332318,8,2
1580335915,4,7
1580339529,1,5
1580343127,7,5
1580346727,15,7
1580350288,14,5
1580353942,8,10
1580357481,11,19
1580361106,2,6
1580364767,4,5
1580368318,5,6
1580371934,3,5
1580375515,5,4
1580379167,6,4
1580382726,3,5
1580386330,3,5
1580389957,4,4
1580393541,6,4
1580397141,2,3
1580400727,5,4
1580404358,8,5
1580407923,5,5
1580411533,3,5
1580415138,2,2
1580418757,3,7
1580422325,5,4
1580425972,4,8
1580429552,7,3
1580433176,10,6
1580436742,9,4
1580440331,10,8
1580443974,2,17
1580447543,7,7
1580451159,4,15
1580454748,11,10
1580458350,9,7
1580461974,6,6
1580465545,9,6
1580469183,8,3
1580472727,6,5
1580476354,4,6
1580479971,5,6
1580483564,8,6
1580487134,9,8
1580490752,7,5
1580494385,1,3
1580497978,3,6
1580501560,4,5
1580505151,4,4
1580508778,4,2
1580512353,1,6
1580515960,9,3
1580519578,32,10
1580523151,15,5
1580526745,8,7
1580530357,9,28
1580534011,11,7
1580537549,11,8
1580541164,2,2
1580544741,9,4
1580548383,7,12
1580551937,8,8
1580555531,3,1
1580559153,4,5
1580562766,9,8
1580566345,8,6
1580569989,2,2
1580573558,11,6
1580577156,5,15
1580580730,11,10
1580584380,5,5
1580587956,13,11
1580591544,7,4
1580595175,8,10
1580598736,5,8
1580602334,13,5
1580606144,34,8
1580609544,4,2
1580613170,1,6
1580616769,3,15
1580620354,11,7
1580623919,11,3
1580627572,4,7
1580631131,3,7
1580634751,7,20
1580638349,8,9
1580641924,11,2
1580645550,7,12
1580649139,5,2
1580652756,14,5
1580656329,6,9
1580659954,5,6
1580663560,7,6
1580667123,9,8
1580670781,8,7
1580674339,4,9
1580677948,10,11
1580681539,8,13
1580685155,6,11
1580688737,16,12
1580692334,21,10
1580695915,10,8
1580699548,16,13
1580703160,9,18
1580706725,8,7
1580710294,3,11
1580713898,6,10
1580717495,15,6
1580721085,4,5
1580724689,4,6
1580728316,15,4
1580731877,2,6
1580735476,6,14
1580739105,11,13
1580742709,9,10
1580746284,4,7
1580749914,10,5
1580753556,9,10
1580757090,5,8
1580760702,10,3
1580764313,3,1
1580767901,6,2
1580771520,6,4
1580775143,5,9
1580778730,27,5
1580782375,8,10
1580785883,8,16
1580789508,12,25
1580793117,6,11
1580796716,3,12
1580800332,4,7
1580803967,6,5
1580807513,6,5
1580811114,4,11
1580814787,9,6
1580818340,8,5
1580821919,8,4
1580825533,4,3
1580829150,4,3
1580832726,3,4
1580836321,2,12
1580840001,4,6
1580843526,8,3
1580847138,5,5
1580850735,7,4
1580854348,3,3
1580857939,5,5
1580861552,10,6
1580865168,23,5
1580868742,9,4
1580872355,8,8
1580875934,3,32
1580879568,6,7
1580883164,8,5
1580886732,8,7
1580890345,3,6
1580893969,5,4
1580897545,5,13
1580901123,7,7
1580904749,8,8
1580908359,14,7
1580911943,9,6
1580915545,5,5
1580919154,5,7
1580922725,6,8
1580926358,8,11
1580929936,9,8
1580933564,6,10
1580937135,9,9
1580940735,8,5
1580944336,9,6
1580947966,20,8
1580951523,14,2
1580955127,4,3
1580958752,4,9
1580962332,5,32
1580965945,7,10
1580969498,14,5
1580973154,4,4
1580976726,4,6
1580980329,6,2
1580983958,5,6
1580987500,18,10
1580991116,6,3
1580994736,7,7
1580998335,4,15
1581001944,2,5
1581005534,4,6
1581009154,7,5
1581012730,5,9
1581016323,6,7
1581019955,5,1
1581023560,2,4
1581027120,4,5
1581030749,5,8
1581034359,6,12
1581037981,16,5
1581041504,6,6
1581045153,13,8
1581048730,9,26
1581052323,6,9
1581055927,3,12
1581059543,10,7
1581063124,6,8
1581066722,10,7
1581070302,8,4
1581073950,6,8
1581077501,7,3
1581081148,5,4
1581084712,6,4
1581088353,4,5
1581091895,3,8
1581095522,9,5
1581099126,2,11
1581102725,5,5
1581106336,5,6
1581109939,2,3
1581113527,6,9
1581117140,9,5
1581120719,11,6
1581124361,20,6
1581127919,8,6
1581131541,7,7
1581135154,6,13
1581138734,3,5
1581142289,4,12
1581145909,3,9
1581149516,7,7
1581153091,9,5
1581156694,2,5
1581160307,5,2
1581163889,4,6
1581167495,5,2
1581171137,8,5
1581174690,4,4
1581178297,6,5
1581181923,4,5
1581185568,6,7
1581189089,2,9
1581192725,7,4
1581196330,7,4
1581199953,5,8
1581203493,8,6
1581207134,9,3
1581210709,27,6
1581214323,11,3
1581217874,5,6
1581221523,7,13
1581225139,5,10
1581228703,4,19
1581232333,12,3
1581235968,7,9
1581239518,9,4
1581243145,8,8
1581246736,7,6
1581250365,9,10
1581253944,7,6
1581257529,7,4
1581261138,9,5
1581264754,6,10
1581268338,5,5
1581271944,8,5
1581275508,4,14
1581279149,4,7
1581282717,6,9
1581286359,11,5
1581289948,6,3
1581293514,16,4
1581297140,23,3
1581300708,9,2
1581304365,11,11
1581307920,8,22
1581311540,4,8
1581315109,9,12
1581318811,4,7
1581322326,10,3
1581325932,5,10
1581329521,8,3
1581333263,9,5
1581336729,2,6
1581340342,4,5
1581343905,5,3
1581347536,4,8
1581351109,7,7
1581354719,5,4
1581358307,4,3
1581361932,4,11
1581365534,4,4
1581369112,12,4
1581372719,5,5
1581376344,12,10
1581379936,13,4
1581383567,19,6
1581387126,12,5
1581390758,9,19
1581394342,13,20
1581397952,6,11
1581401517,5,11
1581405096,4,13
1581408702,18,11
1581412324,8,8
1581415898,7,2
1581419521,5,4
1581423117,4,5
1581426705,7,9
1581430300,3,8
1581433889,5,3
1581437507,2,9
1581441086,10,6
1581444710,3,10
1581448273,7,5
1581451917,7,5
1581455485,5,8
1581459140,1,1
1581462674,8,11
1581466296,13,9
1581469891,28,4
1581473516,5,4
1581477099,4,13
1581480700,7,25
1581484285,1,8
1581487926,10,8
1581491491,13,8
1581495111,4,4
1581498642,6,7
1581502318,11,4
1581505893,4,6
1581509494,5,4
1581513117,3,9
1581516676,10,4
1581520306,4,7
1581523915,8,10
1581527493,9,5
1581531132,6,2
1581534672,3,10
1581538328,5,4
1581541900,7,10
1581545515,1,2
1581549091,1,4
1581552751,5,16
1581556306,26,5
1581559930,12,12
1581563488,19,7
1581567121,13,29
1581570696,6,5
1581574307,7,8
1581577961,6,9
1581581465,6,8
1581585112,5,12
1581588695,6,3
1581592333,10,3
1581595898,7,10
1581599510,6,5
1581603127,10,8
1581606690,6,11
1581610305,4,9
1581613882,11,7
1581617527,11,13
1581621095,7,7
1581624707,6,5
1581628334,5,7
1581631888,6,3
1581635517,7,4
1581639125,7,12
1581642726,20,5
1581646324,7,11
1581649905,9,15
1581653519,7,24
1581657098,7,6
1581660714,6,5
1581664283,7,8
1581667928,12,4
1581671498,5,4
1581675082,4,5
1581678732,5,7
1581682305,4,4
1581685914,6,9
1581689476,7,9
1581693119,10,5
1581696701,3,8
1581700293,5,6
1581703885,12,6
1581707521,5,6
1581711086,4,6
1581714680,8,7
1581718353,7,7
1581721891,9,9
1581725544,11,3
1581729093,16,8
1581732735,4,7
1581736293,6,13
1581739887,4,15
1581743483,5,3
1581747143,5,6
1581750694,5,4
1581754295,4,1
1581757955,2,9
1581761553,7,8
1581765130,6,2
1581768778,8,5
1581772329,4,8
1581775936,6,4
1581779543,4,3
1581783154,8,7
1581786732,3,8
1581790352,4,9
1581793936,8,2
1581797533,10,4
1581801146,6,4
1581804757,4,2
1581808335,1,6
1581811947,8,10
1581815547,22,3
1581819138,5,3
1581822727,3,16
1581826362,3,30
1581829939,10,7
1581833549,11,7
1581837116,5,3
1581840753,3,5
1581844323,3,3
1581847940,5,6
1581851527,6,4
