DateTime,Entries,UniqueIPs
1580860093,42631,42631
1580862011,42424,42424
1580864903,42505,42505
1580866816,42478,42478
1580868758,42518,42518
1580870652,42580,42580
1580872581,42603,42603
1580874505,42317,42317
1580876415,42320,42320
1580878339,42355,42355
1580880279,41979,41979
1580882182,42353,42353
1580884107,43267,43267
1580886036,43746,43746
1580887966,43757,43757
1580890111,43557,43557
1580892012,43341,43341
1580893941,43000,43000
1580895872,42487,42487
1580897773,42168,42168
1580899695,41779,41779
1580901612,41249,41249
1580903531,40786,40786
1580905453,40451,40451
1580907376,40092,40092
1580909292,39766,39766
1580912173,39283,39283
1580914101,38967,38967
1580916030,38925,38925
1580917931,38892,38892
1580919853,38936,38936
1580921787,39015,39015
1580923703,39009,39009
1580925649,39024,39024
1580927548,39003,39003
1580929829,38893,38893
1580931865,38805,38805
1580933783,38720,38720
1580935940,38483,38483
1580937849,38339,38339
1580939783,38013,38013
1580941690,37799,37799
1580943869,37332,37332
1580945785,37663,37663
1580947697,37730,37730
1580949612,38232,38232
1580951559,39079,39079
1580953470,39471,39471
1580955374,40002,40002
1580957305,40832,40832
1580959213,41653,41653
1580961130,42708,42708
1580963065,43669,43669
1580964969,44794,44794
1580966894,45373,45373
1580968855,46262,46262
1580970735,46725,46725
1580972899,47126,47126
1580974814,47930,47930
1580976750,48680,48680
1580978654,49765,49765
1580980572,50476,50476
1580982515,51276,51276
1580984413,52099,52099
1580986343,53153,53153
1580988263,53845,53845
1580990166,54822,54822
1580992360,55970,55970
1580994278,57079,57079
1580996217,57914,57914
1580998114,58981,58981
1581000016,60147,60147
1581002195,60146,60146
1581004103,59820,59820
1581006025,59541,59541
1581007946,59374,59374
1581009852,59294,59294
1581011781,59262,59262
1581013687,59191,59191
1581016574,59115,59115
1581018745,59007,59007
1581020667,58857,58857
1581022572,58770,58770
1581024490,58734,58734
1581026616,58634,58634
1581028586,58567,58567
1581030500,58490,58490
1581032424,57300,57300
1581034350,56469,56469
1581036254,54847,54847
1581038172,53551,53551
1581040110,52289,52289
1581042009,51309,51309
1581043928,49941,49941
1581045866,48821,48821
1581047771,47643,47643
1581049690,46489,46489
1581052573,44614,44614
1581054502,43408,43408
1581056406,42862,42862
1581058326,41793,41793
1581060263,40962,40962
1581062167,40779,40779
1581064086,39754,39754
1581066052,38480,38480
1581067931,37610,37610
1581070103,36558,36558
1581072013,35502,35502
1581073948,35645,35645
1581075852,34924,34924
1581077795,33909,33909
1581079708,32872,32872
1581081610,33932,33932
1581083528,32847,32847
1581085466,31687,31687
1581087389,31176,31176
1581089286,31212,31212
1581091239,31235,31235
1581093140,31250,31250
1581095315,31159,31159
1581097212,31113,31113
1581099147,31104,31104
1581101056,31145,31145
1581102978,31218,31218
1581104906,31270,31270
1581106808,31270,31270
1581108728,31297,31297
1581110676,31238,31238
1581112569,31255,31255
1581114487,31258,31258
1581117385,31257,31257
1581119310,31333,31333
1581121211,31344,31344
1581123154,31321,31321
1581125071,31322,31322
1581126974,31315,31315
1581128889,31262,31262
1581130876,31257,31257
1581132733,31332,31332
1581134677,31352,31352
1581136572,31332,31332
1581138519,31361,31361
1581140415,31392,31392
1581142337,31387,31387
1581144273,31916,31916
1581146180,31471,31471
1581148104,30471,30471
1581150027,30412,30412
1581151937,30489,30489
1581153857,30471,30471
1581155786,30401,30401
1581157693,30367,30367
1581160571,29303,29303
1581162500,29284,29284
1581164421,29269,29269
1581166347,29273,29273
1581168250,27367,27367
1581170183,27380,27380
1581172085,27486,27486
1581174028,27792,27792
1581175947,28069,28069
1581177880,28252,28252
1581180016,28311,28311
1581181936,28373,28373
1581183883,28410,28410
1581185771,28409,28409
1581187691,28366,28366
1581189621,28363,28363
1581191635,28385,28385
1581193467,28344,28344
1581195366,28314,28314
1581197286,28355,28355
1581199248,28337,28337
1581201128,28322,28322
1581203298,28253,28253
1581205213,28243,28243
1581207144,28234,28234
1581209051,28237,28237
1581210973,28285,28285
1581212922,28287,28287
1581214822,28299,28299
1581216727,28279,28279
1581218667,28255,28255
1581220571,28228,28228
1581222506,28214,28214
1581224453,28216,28216
1581226334,27486,27486
1581228261,27630,27630
1581230185,29287,29287
1581232099,30038,30038
1581234010,30466,30466
1581235946,30434,30434
1581237850,30338,30338
1581239772,30426,30426
1581241706,32492,32492
1581243607,35827,35827
1581245526,35842,35842
1581247464,35826,35826
1581249366,35880,35880
1581251286,37262,37262
1581254411,37263,37263
1581256331,37311,37311
1581258279,37380,37380
1581260169,37745,37745
1581262086,37518,37518
