DateTime,AddedIPs,RemovedIPs
1580855293,9,3
1580858172,10,8
1580860094,10,6
1580862013,6,13
1580863964,5,4
1580865881,10,1
1580867772,4,2
1580869691,5,3
1580872581,21,12
1580874506,5,8
1580876415,9,3
1580878339,7,5
1580880279,9,5
1580882183,12,4
1580884107,9,0
1580886970,34,12
1580888894,8,7
1580890817,5,12
1580892726,6,7
1580894650,5,9
1580896578,4,3
1580898489,6,5
1580900442,6,8
1580902349,13,13
1580904526,8,9
1580906425,8,8
1580908340,5,10
1580910268,2,10
1580912173,4,39
1580914101,5,10
1580916031,8,2
1580917932,5,8
1580919853,4,6
1580921787,6,4
1580923703,5,6
1580925656,14,2
1580927548,4,9
1580929830,11,12
1580931866,10,7
1580933785,7,3
1580935940,7,11
1580937850,4,4
1580939783,4,14
1580941690,7,13
1580943881,4,8
1580945786,317,10
1580947699,184,12
1580949613,504,7
1580951560,540,14
1580953471,478,9
1580955378,374,5
1580957306,379,10
1580959214,280,7
1580961131,360,3
1580963066,290,11
1580964970,394,4
1580966895,323,37
1580968872,533,6
1580970736,347,16
1580972899,436,26
1580974814,494,6
1580976751,424,12
1580978655,605,7
1580980573,502,8
1580982516,428,21
1580984414,315,7
1580986344,370,6
1580988263,250,12
1580990167,415,7
1580992361,504,9
1580994289,478,4
1580996223,324,2
1580998115,421,3
1581000017,428,4
1581002196,1,5
1581004104,0,6
1581006026,1,6
1581007947,1,8
1581009853,1,4
1581011782,3,15
1581013688,4,7
1581016575,3,9
1581018745,3,14
1581020668,4,1
1581022573,2,6
1581024491,4,2
1581026628,1,5
1581028587,6,4
1581030501,1,1
1581032425,3,389
1581034351,5,143
1581036255,1,553
1581038173,4,514
1581040111,5,492
1581042010,0,380
1581043929,5,317
1581045867,3,311
1581047772,4,361
1581049690,5,284
1581052573,2,535
1581054503,5,435
1581056406,8,458
1581058326,8,409
1581060264,13,429
1581062167,15,503
1581064087,4,459
1581066069,8,595
1581067932,1,476
1581070104,6,355
1581072014,5,359
1581073949,308,311
1581075853,4,242
1581077795,5,538
1581079709,5,470
1581081610,71,404
1581083528,2,380
1581085466,3,417
1581087389,3,181
1581089286,3,4
1581092170,7,1
1581094128,2,5
1581096013,3,1
1581097926,4,4
1581099860,4,4
1581101788,42,1
1581103689,21,4
1581105653,6,6
1581107533,0,3
1581109701,5,2
1581111616,0,5
1581113546,3,4
1581115460,2,4
1581117386,2,1
1581119312,3,1
1581121211,4,3
1581123154,4,0
1581125072,1,2
1581126975,1,4
1581128889,1,2
1581130899,4,4
1581132733,1,6
1581134680,5,5
1581136573,3,1
1581138519,3,1
1581140416,5,2
1581142341,3,2
1581144274,3,4
1581146181,2,5
1581148104,2,23
1581150028,0,3
1581151938,8,2
1581153858,5,1
1581155786,3,4
1581157693,6,2
1581159643,2,8
1581161550,3,330
1581163471,2,2
1581165374,1,3
1581167321,4,66
1581169219,1,8
1581171158,3,6
1581173070,3,5
1581174984,6,3
1581176909,7,2
1581178825,2,7
1581180732,6,5
1581182652,8,5
1581184589,2,5
1581186489,6,6
1581188442,7,7
1581190348,10,3
1581192273,9,8
1581194187,4,57
1581196106,3,8
1581198036,5,1
1581199952,7,5
1581201853,4,3
1581203775,8,1
1581205712,2,2
1581207615,7,5
1581209529,4,3
1581211469,4,0
1581213403,5,1
1581215292,3,1
1581217290,3,5
1581219142,8,3
1581221086,0,5
1581222992,4,4
1581224902,1,2
1581226852,7,10
1581228751,12,4
1581230659,67,3
1581232574,48,3
1581234512,13,3
1581236430,8,3
1581238339,7,7
1581240270,4,5
1581242179,35,6
1581244089,8,5
1581246971,4,5
1581248902,0,5
1581250806,49,2
1581252724,5,1
1581254663,3,4
1581256566,5,2
1581258487,3,2
1581260444,9,3
1581262337,3,6
1581264259,2,7
1581266183,5,3
1581268118,2,5
1581270014,2,1
1581271949,5,2
1581273873,7,21
1581275774,73,4
1581277715,267,2
1581279623,92,0
1581281543,4,2
1581283457,29,3
1581285387,23,2
1581287287,17,2
1581290173,5,8
1581292113,9,3
1581294009,197,7
1581295928,269,3
1581297864,296,1
1581299782,261,2
1581301690,304,1
1581303665,204,1
1581305533,133,3
1581307698,110,0
1581309613,178,3
1581311554,180,0
1581313452,276,2
1581315381,265,3
1581317306,235,42
1581319208,175,37
1581321142,147,6
1581323052,124,5
1581324985,639,31
1581326889,882,4
1581328888,1081,35
1581330735,782,7
1581333163,823,1
1581335054,879,0
1581336987,895,16
1581338911,1051,14
1581340819,860,5
1581342731,1125,4
1581344683,866,13
1581346570,1108,2
1581348491,841,7
1581350518,689,0
1581352343,2,1
1581354503,5,1
1581356413,1,0
1581358352,2,5
1581360263,3,3
1581362178,2,30
1581364100,2,121
1581366026,3,53
1581367931,2,0
1581369874,4,29
1581371771,4,23
1581373696,4,17
1581376581,7,6
1581378514,2,8
1581380416,2,183
1581382334,1,239
1581384270,2,240
1581386173,2,198
1581388092,2,222
1581390973,2,192
1581392910,1,106
1581394816,3,99
1581396749,4,145
1581398672,1,215
1581400573,4,266
1581402491,4,180
1581405376,6,235
1581407313,2,125
1581409212,16,77
1581411169,12,568
1581413054,2,800
1581415026,5,1175
1581416891,3,847
1581418825,6,714
1581420753,0,730
1581422662,2,1012
1581424574,1,1072
1581426517,5,1024
1581428414,4,1226
1581430334,2,836
1581432271,3,1218
1581434176,1,986
1581436094,4,1049
1581438025,2,140
1581439950,9,5
1581441853,6,4
1581443787,2,3
1581445702,4,8
1581447758,4,7
1581449769,10,5
1581451716,9,4
1581453744,4,1
1581455786,4,7
1581457701,7,2
1581459626,4,4
1581461532,3,13
1581463454,7,5
1581465386,10,6
1581467294,4,4
1581469228,1,4
1581471146,13,2
1581473063,8,6
1581474985,6,5
1581476914,5,1
1581478812,4,8
1581480737,5,10
1581482668,5,8
1581484576,5,3
1581487456,6,8
1581489377,2,9
1581491564,2,10
1581493448,3,7
1581495376,5,38
1581497292,119,33
1581499222,852,8
1581501155,8,6
1581503051,11,2
1581504981,5,6
1581506886,7,6
1581509796,4,12
1581511696,8,8
1581513635,6,8
1581515533,6,2
1581517473,5,3
1581519370,6,5
1581521304,5,2
1581524169,4,5
1581526094,4,3
1581528007,4,10
1581529930,5,4
1581531863,9,5
1581533769,9,4
1581535684,8,1
1581538572,8,10
1581540521,3,4
1581542410,2,1
1581544330,4,2
1581546281,8,4
1581548171,9,2
1581550101,5,2
1581552981,12,14
1581554892,10,0
1581556806,4,13
1581558727,5,4
1581560659,6,2
1581562568,7,3
1581564589,2,3
1581567653,6,4
1581569560,5,3
1581571467,4,2
1581573371,4,3
1581575320,10,5
1581578166,6,2
1581580087,8,6
1581582012,4,2
1581583927,4,353
1581585849,7,614
1581587770,12,12
1581589686,3,12
1581592570,13,7
1581594488,7,4
1581596422,8,3
1581598330,5,7
1581600267,9,9
1581602170,11,2
1581604086,12,7
1581606978,16,7
1581608888,7,4
1581610809,11,4
1581612727,13,5
1581614669,17,4
1581616571,19,4
1581618489,41,10
1581621373,43,10
1581623287,11,5
1581625208,6,7
1581627144,11,1
1581629050,7,7
1581630967,13,8
1581632885,7,8
1581635775,10,7
1581637691,7,7
1581639605,8,7
1581641525,7,8
1581643450,5,7
1581645367,7,8
1581647284,5,3
1581650179,11,9
1581652089,6,3
1581654005,7,5
1581655926,7,7
1581657849,6,7
1581660736,8,9
1581662656,6,8
1581664597,9,8
1581666490,15,14
1581668413,15,18
1581670348,16,13
1581672251,21,36
1581674180,39,7
1581676088,10,5
1581678993,10,11
1581680886,10,6
1581682816,6,3
1581684725,5,5
1581686652,5,7
1581688592,13,5
1581690489,5,4
1581692422,4,5
1581694333,7,6
1581696503,4,7
1581698409,3,4
1581700333,14,9
1581702264,10,18
1581704198,7,30
1581706091,7,40
1581708018,8,20
1581709927,2,9
1581711861,63,8
1581713783,7,11
1581715690,10,18
1581718574,12,14
1581720732,14,10
1581722651,5,11
1581724586,10,11
1581726492,7,4
1581729377,15,13
1581731290,7,12
1581733225,6,6
1581735126,5,4
1581737064,6,5
1581738971,3,6
1581740888,5,0
1581743774,7,9
1581745706,3,3
1581747607,1,4
1581749546,10,9
1581751467,1,4
1581753384,35,12
1581755309,8,9
1581758181,11,14
1581760106,4,19
1581762010,5,7
1581763947,2,15
1581765866,9,6
1581767777,2,7
1581769690,2,7
1581772584,5,12
1581774507,6,10
1581776414,1,11
1581778328,8,4
1581780264,8,9
1581782178,3,9
1581784094,5,7
1581786975,11,20
1581788912,5,10
1581790819,2,8
1581792731,6,11
1581794688,11,11
1581796586,13,6
1581798493,13,5
1581801371,20,18
1581803289,4,63
1581805221,3,6
1581807148,8,14
1581809065,6,12
1581810967,5,13
1581812889,6,8
1581815769,5,14
1581817709,4,9
1581819605,5,6
1581821529,10,7
1581823452,8,5
1581825384,3,8
1581827312,0,10
1581829238,6,9
1581831153,89,4
1581833324,178,5
1581835218,194,11
1581837399,34,4
1581839296,15,15
1581841230,36,30
1581843148,12,10
1581845055,18,6
1581846985,84,5
1581848890,8,5
1581852024,26,5
