DateTime,AddedIPs,RemovedIPs
1580379608,0,3
1580381529,0,3
1580383463,0,1
1580385369,0,5
1580387302,1,6
1580390187,1,0
1580392125,2,1
1580394024,0,2
1580395927,0,5
1580397865,0,3
1580399771,0,3
1580401688,0,2
1580403716,2,0
1580407516,0,1
1580411344,3,0
1580415139,1,1
1580418978,0,1
1580420896,1,0
1580432460,1,0
1580434342,1,0
1580436284,2,0
1580438185,1,1
1580440095,2,0
1580443948,0,1
1580445854,0,1
1580451736,0,1
1580458821,1,0
1580464585,1,0
1580468486,1,0
1580470352,2,0
1580472518,0,1
1580474415,1,1
1580478255,2,2
1580482109,2,0
1580485933,1,0
1580487885,2,0
1580489817,0,2
1580493567,3,0
1580495530,1,0
1580497516,2,2
1580499377,1,0
1580501305,0,1
1580505138,14,0
1580507074,13,1
1580508982,6,0
1580510894,2,0
1580514729,1,0
1580516651,3,0
1580518582,1,1
1580520487,0,1
1580523398,0,3
1580525297,1,0
1580527212,0,2
1580529143,5,0
1580531066,7,0
1580532972,5,0
1580534892,1,0
1580536927,1,0
1580538736,4,0
1580540739,2,0
1580542572,2,0
1580544748,4,1
1580546651,1,0
1580548580,2,0
1580552411,1,1
1580554330,2,1
1580556268,0,2
1580560104,2,1
1580562059,3,1
1580563953,1,1
1580565871,0,1
1580569718,1,2
1580571632,0,1
1580573534,1,2
1580577384,1,0
1580579301,2,1
1580581232,2,3
1580583132,4,1
1580585065,2,1
1580588889,2,0
1580590893,1,3
1580592772,1,19
1580594927,1,9
1580596811,7,3
1580598751,2,0
1580602842,0,2
1580604745,0,2
1580606671,2,0
1580610492,0,1
1580613381,2,0
1580615303,0,1
1580617216,0,11
1580619139,0,4
1580621086,0,1
1580622980,0,1
1580624890,0,5
1580626858,3,2
1580628750,1,2
1580630665,2,4
1580632594,0,2
1580634511,2,2
1580636414,5,0
1580638354,1,1
1580640251,1,2
1580646007,0,1
1580647928,0,4
1580649861,0,3
1580653941,1,0
1580656107,1,1
1580658012,1,0
1580659953,1,1
1580664028,0,1
1580665932,0,2
1580667964,0,3
1580669784,3,4
1580671687,0,2
1580673633,2,0
1580675550,0,2
1580677716,0,1
1580679612,1,1
1580681557,0,4
