DateTime,AddedIPs,RemovedIPs
1580843775,0,1
1580845726,4,1
1580847649,1,1
1580849534,0,2
1580851465,2,3
1580853372,2,0
1580855293,2,5
1580858172,6,1
1580860094,3,3
1580862014,1,267
1580863964,4,7
1580865883,4,4
1580867773,2,3
1580869691,1,3
1580872582,5,7
1580874506,1,4
1580876416,1,7
1580878340,1,1
1580880280,1,2
1580882183,1,6
1580884108,2,2
1580886971,6,2
1580888895,1,4
1580890818,2,3
1580892726,3,3
1580894650,4,4
1580896578,6,1
1580898489,4,3
1580901371,15,5
1580903308,3,2
1580905208,3,2
1580907144,9,8
1580909050,2,5
1580910987,6,2
1580912886,2,4
1580915774,2,6
1580917692,2,1
1580919621,3,7
1580921528,3,2
1580923474,5,3
1580925369,1,5
1580927285,5,1
1580929280,3,0
1580931146,1,1
1580933313,2,3
1580935209,3,1
1580937139,3,1
1580939063,2,2
1580940970,1,2
1580942891,4,0
1580944809,1,6
1580946729,4,2
1580948665,2,3
1580950568,1,3
1580952489,3,3
1580954454,3,2
1580956333,1,2
1580958501,3,4
1580960411,1,1
1580962346,2,4
1580964262,2,1
1580966431,3,0
1580968330,2,4
1580970265,2,2
1580972171,50,6
1580974087,5,1
1580976981,1,0
1580978903,4,2
1580980811,2,3
1580982743,4,3
1580984666,1,6
1580986568,4,12
1580988490,4,5
1580991381,3,5
1580993292,3,8
1580995228,3,3
1580997148,4,6
1580999066,1,1
1581000969,3,2
1581002906,1,2
1581005776,4,3
1581007697,6,2
1581009624,2,5
1581011540,4,3
1581013455,0,4
1581015387,1,2
1581017564,0,2
1581019475,3,2
1581021387,0,2
1581023303,2,3
1581025212,4,2
1581027150,2,2
1581029053,2,5
1581030976,2,1
1581032913,3,3
1581034809,2,2
1581036728,1,1
1581038663,1,2
1581040585,2,4
1581042487,4,1
1581044445,5,4
1581046333,1,1
1581048503,1,2
1581050412,7,1
1581052348,10,3
1581054253,3,3
1581056175,5,3
1581058109,5,2
1581060048,2,4
1581061938,147,0
1581063876,2,1
1581065775,1,3
1581067691,3,2
1581070587,1,4
1581072504,1,2
1581074407,1,3
1581076327,3,2
1581078266,3,3
1581080166,4,0
1581082089,2,6
1581084046,3,0
1581085932,1,1
1581088118,14,3
1581090010,3,1
1581091946,4,2
1581093851,5,6
1581095786,1,1
1581097708,3,3
1581099608,4,2
1581101562,3,1
1581103464,1,1
1581105369,6,2
1581107287,1,1
1581111133,2,5
1581113303,1,3
1581115211,2,1
1581117160,0,3
1581119049,2,3
1581120977,1,1
1581122905,2,5
1581124808,4,2
1581126726,2,2
1581128665,1,3
1581130587,4,5
1581132499,2,2
1581134433,3,0
1581136330,0,5
1581138519,3,11
1581140416,2,1
1581142341,0,3
1581144274,1,55
1581146181,1,2
1581148105,3,155
1581150028,2,4
1581151938,3,1
1581153858,3,3
1581155787,2,1
1581157694,6,1
1581159670,2,2
1581161550,4,0
1581163486,2,4
1581165375,5,4
1581167322,2,3
1581169219,6,2
1581171158,1,1
1581173070,4,2
1581174984,3,15
1581176910,3,3
1581178837,5,3
1581180732,3,2
1581182653,4,2
1581184590,5,3
1581186490,2,7
1581189371,2,2
1581191307,1,3
1581193228,4,1
1581195126,1,3
1581197066,5,1
1581198969,2,1
1581200887,3,2
1581202867,2,0
1581204732,4,0
1581206898,3,4
1581208812,3,2
1581210747,4,4
1581212648,2,1
1581214569,3,2
1581216506,4,3
1581218410,6,3
1581220331,4,4
1581222275,2,0
1581224165,2,4
1581226335,6,3
1581228266,1,0
1581230186,1,1
1581232100,2,1
1581234010,5,2
1581235947,2,2
1581237851,5,4
1581239772,4,4
1581241709,0,5
1581243608,0,6
1581247465,3,1
