DateTime,AddedIPs,RemovedIPs
1580592523,0,4
1580595867,1,5
1580597770,2,1
1580599688,0,1
1580601682,1,0
1580605507,2,0
1580607382,1,1
1580611451,0,1
1580613381,0,1
1580615304,1,0
1580622982,1,0
1580628007,1,0
1580635688,1,2
1580638588,3,0
1580640507,1,1
1580642410,1,0
1580644331,1,0
1580648171,0,2
1580650092,0,1
1580652093,0,2
1580653942,0,2
1580656108,0,1
1580658012,0,2
1580659954,0,1
1580661851,2,0
1580664051,2,5
1580667965,3,0
1580671687,1,0
1580673697,3,2
1580675551,0,1
1580677717,1,1
1580679613,4,3
1580681557,1,0
1580683456,2,0
1580685372,2,0
1580687293,1,0
1580689225,3,1
1580691129,2,2
1580693068,1,0
1580694971,3,0
1580696892,1,0
1580700983,0,1
1580704811,2,0
1580712520,1,0
1580714411,1,0
1580722112,2,0
1580724973,0,1
1580728810,1,2
1580730748,0,1
1580732676,0,1
1580734572,2,0
1580736737,0,1
1580738677,1,0
1580740596,2,1
1580748500,2,0
1580750414,3,2
1580754281,1,2
1580756186,1,1
1580758339,2,2
1580760502,1,1
1580762415,1,0
1580764355,2,5
1580766269,1,3
1580768176,3,1
1580770118,1,1
1580772029,1,5
1580773932,0,1
1580775869,2,2
1580777771,1,0
1580779707,2,2
1580781651,1,1
1580785717,1,0
1580787617,1,0
1580791468,0,1
1580799145,1,0
1580801052,0,1
1580802986,0,3
1580804889,0,1
1580807833,1,1
1580809695,0,3
1580811633,0,2
1580813534,1,0
1580815458,1,2
1580821704,0,1
1580823614,1,0
1580825541,1,2
1580827469,0,4
1580829401,1,0
1580833244,0,1
1580835135,1,1
1580837155,1,1
1580840929,2,0
1580844993,1,1
1580847169,2,1
1580849050,0,2
1580850973,1,3
1580852905,0,1
1580854818,2,3
1580856727,1,1
1580858654,0,1
1580860583,0,1
1580862490,2,0
1580865396,1,3
1580867306,0,1
1580871127,1,0
1580873074,1,0
1580874971,1,1
1580883398,1,0
1580885328,1,0
1580887242,0,3
1580889139,1,0
1580891057,1,5
1580892983,0,2
1580894913,1,0
1580896848,1,0
1580898750,1,3
1580900669,1,2
1580902586,1,0
1580904527,2,1
1580906426,1,0
1580912175,3,1
1580914103,0,1
1580916032,4,0
1580917934,1,0
1580921789,0,1
1580923705,1,0
1580925730,4,0
1580927550,0,1
1580929831,1,1
1580931868,2,1
1580935942,1,0
1580937852,2,0
1580939785,1,0
1580941692,0,1
1580943991,2,1
1580947944,2,2
1580949855,1,0
1580951771,2,2
1580953708,1,1
1580955607,1,0
1580957552,3,2
1580959462,1,0
1580961371,1,1
1580966433,1,0
1580968331,2,1
1580970266,1,1
1580972173,0,1
1580974088,0,1
1580976102,1,1
1580985854,0,1
1580988078,0,2
1580991881,1,3
1580993771,2,0
1580995707,3,0
1580997718,1,0
1580999534,0,1
1581001710,1,1
1581003648,1,1
1581007464,0,1
1581009374,2,1
1581011543,0,3
1581015388,2,1
1581017566,1,3
1581019545,2,1
1581023305,1,1
1581025215,1,0
1581027153,0,3
1581030979,4,0
1581034811,0,2
1581036730,0,1
1581038665,2,0
1581040587,1,2
1581042489,2,2
1581046599,2,1
1581048504,2,0
1581054255,0,2
1581056177,0,1
1581061940,1,1
1581063878,1,0
1581070811,2,1
1581072764,2,0
1581074667,3,0
1581078488,0,1
1581080464,1,1
1581082331,0,1
1581084495,2,1
1581086409,1,2
1581088347,1,1
1581090250,1,0
1581094129,1,0
1581096014,0,1
1581097927,1,1
1581099861,2,2
1581101789,1,1
1581103690,0,1
1581106575,3,4
1581108508,2,0
1581110423,0,2
1581114266,2,0
1581116168,3,1
1581118086,3,2
1581120097,1,0
1581123905,2,0
1581125784,2,4
1581127697,1,1
1581129610,2,2
1581131798,1,1
1581133694,3,1
1581135610,2,1
1581137541,0,1
1581141383,2,0
1581143286,0,1
1581149092,3,1
1581150969,1,1
1581152908,0,1
1581156741,1,0
1581158667,1,3
1581160572,0,2
1581162501,1,0
1581164423,1,0
1581166348,1,1
1581172086,2,0
1581174067,0,1
1581175949,0,1
1581177929,3,1
1581180017,5,1
1581181937,1,1
1581183884,0,2
1581185773,3,1
1581187692,2,2
1581189626,0,1
1581191636,0,1
1581193468,1,4
1581195367,4,3
1581197287,1,1
1581199329,2,1
1581201130,6,1
1581203299,1,3
1581205214,2,2
1581207145,1,0
1581209052,2,2
1581210974,3,1
1581212923,2,0
1581214823,0,1
1581216727,1,1
1581218672,2,3
1581222507,2,0
1581228282,0,2
1581230187,1,0
1581234011,1,1
1581235948,3,2
1581237865,0,2
1581239774,0,1
1581243609,0,2
1581249368,1,0
1581254414,2,2
1581258281,2,2
1581260170,1,0
1581264973,1,4
1581266922,1,2
1581268806,1,1
1581270726,1,1
1581272666,1,1
1581274581,1,0
1581276496,0,1
1581280336,1,4
1581282538,5,2
1581284414,2,0
1581286335,5,4
1581288264,2,3
1581290175,4,1
1581292115,3,1
1581294010,1,1
1581295930,0,1
1581297866,0,4
1581299784,1,2
1581301692,0,1
1581304578,1,2
1581306509,1,0
1581310342,1,2
1581312270,0,1
1581316094,0,1
1581319009,1,0
1581320925,0,2
1581322829,0,2
1581326666,1,1
1581330512,2,0
1581332562,0,1
1581334585,1,0
1581336503,0,2
1581338413,2,0
1581340441,1,2
1581342256,0,1
1581344172,1,1
1581346108,1,2
1581349929,0,1
1581355689,1,4
1581357743,1,1
1581359790,0,1
1581361711,2,0
1581363616,2,1
1581365559,4,1
1581367472,8,4
1581369376,2,4
1581371308,4,4
1581373210,2,2
1581375168,1,1
1581377065,2,3
1581378968,0,2
1581380889,1,1
1581382925,2,0
1581384731,1,1
1581386684,0,1
1581392416,1,1
1581394356,1,0
1581398171,1,0
1581402017,2,0
1581403938,0,1
1581407777,1,0
1581409687,1,0
1581411692,1,1
1581415476,2,1
1581417372,1,0
1581419313,2,0
1581421211,2,1
1581423136,3,0
1581425067,1,4
1581427229,1,1
1581429130,1,0
1581431052,2,1
1581434890,1,0
1581438748,1,0
1581442570,1,2
1581446415,1,0
1581450494,1,1
1581452428,0,6
1581454327,0,4
1581456248,1,2
1581458186,2,2
1581460091,1,1
1581462130,1,1
1581465866,2,0
1581471614,0,1
1581479299,0,1
1581481223,2,1
1581485049,0,1
1581486983,2,0
1581488888,0,3
1581493719,1,1
1581495623,1,5
1581499460,0,1
1581501381,0,2
1581503287,0,2
1581505364,2,2
1581507385,1,1
1581509307,5,3
1581511213,1,1
1581513162,2,1
1581515063,0,1
1581516973,1,3
1581518906,1,1
1581520807,0,1
1581522742,1,0
1581524651,1,0
1581530450,1,1
1581532353,1,1
1581534499,1,0
1581536412,2,3
1581538366,1,0
1581540250,1,3
1581542216,1,2
1581544126,2,1
1581546009,1,1
1581547929,2,0
1581549873,3,1
1581551769,1,2
1581556570,1,0
1581560407,1,0
1581562344,1,0
1581564276,1,0
1581566602,0,1
1581570534,0,2
1581572440,1,2
1581574667,2,0
1581576493,1,0
1581578484,0,1
1581580329,1,1
1581582288,0,1
1581588979,1,0
1581590893,0,1
1581592818,0,2
1581594762,1,0
1581598573,2,1
1581600490,3,0
1581603404,0,3
1581605331,2,3
1581607214,1,1
1581609128,0,1
1581611059,0,1
1581612971,1,1
1581617079,1,1
1581618973,0,1
1581620896,1,0
1581622813,0,2
1581624734,1,0
1581626669,1,1
1581628580,2,1
1581630492,1,1
1581634344,2,4
1581636266,3,4
1581638170,2,1
1581640087,2,0
1581642991,1,1
1581644892,2,0
1581646806,0,1
1581648751,1,0
1581650652,1,1
1581652572,1,0
1581656452,1,0
1581658357,0,1
1581660275,0,1
1581662183,1,0
1581664096,1,0
1581666010,0,1
1581667929,1,1
1581671795,2,0
1581673692,1,0
1581675609,0,2
1581679479,0,2
1581681371,1,0
1581686175,2,2
1581688093,1,0
1581690048,1,0
1581691953,1,1
1581693852,1,1
1581695770,1,0
1581697690,0,2
1581700649,1,1
1581702493,0,1
1581704422,1,1
1581706333,1,2
1581708251,0,1
1581712116,0,1
1581715949,4,3
1581718119,2,0
1581722195,1,2
1581724090,0,7
1581726021,2,3
1581727946,3,1
1581730118,2,3
1581733226,0,1
1581735127,1,0
1581737065,0,2
1581738972,1,3
1581744011,1,1
1581753897,0,1
1581755788,0,1
1581757702,1,1
1581759864,3,1
1581761793,0,2
1581763718,1,0
1581765611,1,1
1581767545,3,1
1581769465,3,1
1581771375,0,1
1581773293,1,1
1581776174,3,3
1581778106,1,0
