DateTime,Entries,UniqueIPs
1580592523,69,69
1580595867,65,65
1580597770,66,66
1580599688,65,65
1580601682,66,66
1580605507,68,68
1580607382,68,68
1580611451,67,67
1580613381,66,66
1580615304,67,67
1580622982,68,68
1580628007,69,69
1580635688,68,68
1580638588,71,71
1580640507,71,71
1580642410,72,72
1580644331,73,73
1580648171,71,71
1580650092,70,70
1580652093,68,68
1580653942,66,66
1580656108,65,65
1580658012,63,63
1580659954,62,62
1580661851,64,64
1580664051,61,61
1580667965,64,64
1580671687,65,65
1580673697,66,66
1580675551,65,65
1580677717,65,65
1580679613,66,66
1580681557,67,67
1580683456,69,69
1580685372,71,71
1580687293,72,72
1580689225,74,74
1580691129,74,74
1580693068,75,75
1580694971,78,78
1580696892,79,79
1580700983,78,78
1580704811,80,80
1580712520,81,81
1580714411,82,82
1580722112,84,84
1580724973,83,83
1580728810,82,82
1580730748,81,81
1580732676,80,80
1580734572,82,82
1580736737,81,81
1580738677,82,82
1580740596,83,83
1580748500,85,85
1580750414,86,86
1580754281,85,85
1580756186,85,85
1580758339,85,85
1580760502,85,85
1580762415,86,86
1580764355,83,83
1580766269,81,81
1580768176,83,83
1580770118,83,83
1580772029,79,79
1580773932,78,78
1580775869,78,78
1580777771,79,79
1580779707,79,79
1580781651,79,79
1580785717,80,80
1580787617,81,81
1580791468,80,80
1580799145,81,81
1580801052,80,80
1580802986,77,77
1580804889,76,76
1580807833,76,76
1580809695,73,73
1580811633,71,71
1580813534,72,72
1580815458,71,71
1580821704,70,70
1580823614,71,71
1580825541,70,70
1580827469,66,66
1580829401,67,67
1580833244,66,66
1580835135,66,66
1580837155,66,66
1580840929,68,68
1580844993,68,68
1580847169,69,69
1580849050,67,67
1580850973,65,65
1580852905,64,64
1580854818,63,63
1580856727,63,63
1580858654,62,62
1580860583,61,61
1580862490,63,63
1580865396,61,61
1580867306,60,60
1580871127,61,61
1580873074,62,62
1580874971,62,62
1580883398,63,63
1580885328,64,64
1580887242,61,61
1580889139,62,62
1580891057,58,58
1580892983,56,56
1580894913,57,57
1580896848,58,58
1580898750,56,56
1580900669,55,55
1580902586,56,56
1580904527,57,57
1580906426,58,58
1580912175,60,60
1580914103,59,59
1580916032,63,63
1580917934,64,64
1580921789,63,63
1580923705,64,64
1580925730,68,68
1580927550,67,67
1580929831,67,67
1580931868,68,68
1580935942,69,69
1580937852,71,71
1580939785,72,72
1580941692,71,71
1580943991,72,72
1580947944,72,72
1580949855,73,73
1580951771,73,73
1580953708,73,73
1580955607,74,74
1580957552,75,75
1580959462,76,76
1580961371,76,76
1580966433,77,77
1580968331,78,78
1580970266,78,78
1580972173,77,77
1580974088,76,76
1580976102,76,76
1580985854,75,75
1580988078,73,73
1580991881,71,71
1580993771,73,73
1580995707,76,76
1580997718,77,77
1580999534,76,76
1581001710,76,76
1581003648,76,76
1581007464,75,75
1581009374,76,76
1581011543,73,73
1581015388,74,74
1581017566,72,72
1581019545,73,73
1581023305,73,73
1581025215,74,74
1581027153,71,71
1581030979,75,75
1581034811,73,73
1581036730,72,72
1581038665,74,74
1581040587,73,73
1581042489,73,73
1581046599,74,74
1581048504,76,76
1581054255,74,74
1581056177,73,73
1581061940,73,73
1581063878,74,74
1581070811,75,75
1581072764,77,77
1581074667,80,80
1581078488,79,79
1581080464,79,79
1581082331,78,78
1581084495,79,79
1581086409,78,78
1581088347,78,78
1581090250,79,79
1581094129,80,80
1581096014,79,79
1581097927,79,79
1581099861,79,79
1581101789,79,79
1581103690,78,78
1581106575,77,77
1581108508,79,79
1581110423,77,77
1581114266,79,79
1581116168,81,81
1581118086,82,82
1581120097,83,83
1581123905,85,85
1581125784,83,83
1581127697,83,83
1581129610,83,83
1581131798,83,83
1581133694,85,85
1581135610,86,86
1581137541,85,85
1581141383,87,87
1581143286,86,86
1581149092,88,88
1581150969,88,88
1581152908,87,87
1581156741,88,88
1581158667,86,86
1581160572,84,84
1581162501,85,85
1581164423,86,86
1581166348,86,86
1581172086,88,88
1581174067,87,87
1581175949,86,86
1581177929,88,88
1581180017,92,92
1581181937,92,92
1581183884,90,90
1581185773,92,92
1581187692,92,92
1581189626,91,91
1581191636,90,90
1581193468,87,87
1581195367,88,88
1581197287,88,88
1581199329,89,89
1581201130,94,94
1581203299,92,92
1581205214,92,92
1581207145,93,93
1581209052,93,93
1581210974,95,95
1581212923,97,97
1581214823,96,96
1581216727,96,96
1581218672,95,95
1581222507,97,97
1581228282,95,95
1581230187,96,96
1581234011,96,96
1581235948,97,97
1581237865,95,95
1581239774,94,94
1581243609,92,92
1581249368,93,93
1581254414,93,93
1581258281,93,93
1581260170,94,94
1581264973,91,91
1581266922,90,90
1581268806,90,90
1581270726,90,90
1581272666,90,90
1581274581,91,91
1581276496,90,90
1581280336,87,87
1581282538,90,90
1581284414,92,92
1581286335,93,93
1581288264,92,92
1581290175,95,95
1581292115,97,97
1581294010,97,97
1581295930,96,96
1581297866,92,92
1581299784,91,91
1581301692,90,90
1581304578,89,89
1581306509,90,90
1581310342,89,89
1581312270,88,88
1581316094,87,87
1581319009,88,88
1581320925,86,86
1581322829,84,84
1581326666,84,84
1581330512,86,86
1581332562,85,85
1581334585,86,86
1581336503,84,84
1581338413,86,86
1581340441,85,85
1581342256,84,84
1581344172,84,84
1581346108,83,83
1581349929,82,82
1581355689,79,79
1581357743,79,79
1581359790,78,78
1581361711,80,80
1581363616,81,81
1581365559,84,84
1581367472,88,88
1581369376,86,86
1581371308,86,86
1581373210,86,86
1581375168,86,86
1581377065,85,85
1581378968,83,83
1581380889,83,83
1581382925,85,85
1581384731,85,85
1581386684,84,84
1581392416,84,84
1581394356,85,85
1581398171,86,86
1581402017,88,88
1581403938,87,87
1581407777,88,88
1581409687,89,89
1581411692,89,89
1581415476,90,90
1581417372,91,91
1581419313,93,93
1581421211,94,94
1581423136,97,97
1581425067,94,94
1581427229,94,94
1581429130,95,95
1581431052,96,96
1581434890,97,97
1581438748,98,98
1581442570,97,97
1581446415,98,98
1581450494,98,98
1581452428,92,92
1581454327,88,88
1581456248,87,87
1581458186,87,87
1581460091,87,87
1581462130,87,87
1581465866,89,89
1581471614,88,88
1581479299,87,87
1581481223,88,88
1581485049,87,87
1581486983,89,89
1581488888,86,86
1581493719,86,86
1581495623,82,82
1581499460,81,81
1581501381,79,79
1581503287,77,77
1581505364,77,77
1581507385,77,77
1581509307,79,79
1581511213,79,79
1581513162,80,80
1581515063,79,79
1581516973,77,77
1581518906,77,77
1581520807,76,76
1581522742,77,77
1581524651,78,78
1581530450,78,78
1581532353,78,78
1581534499,79,79
1581536412,78,78
1581538366,79,79
1581540250,77,77
1581542216,76,76
1581544126,77,77
1581546009,77,77
1581547929,79,79
1581549873,81,81
1581551769,80,80
1581556570,81,81
1581560407,82,82
1581562344,83,83
1581564276,84,84
1581566602,83,83
1581570534,81,81
1581572440,80,80
1581574667,82,82
1581576493,83,83
1581578484,82,82
1581580329,82,82
1581582288,81,81
1581588979,82,82
1581590893,81,81
1581592818,79,79
1581594762,80,80
1581598573,81,81
1581600490,84,84
1581603404,81,81
1581605331,80,80
1581607214,80,80
1581609128,79,79
1581611059,78,78
1581612971,78,78
1581617079,78,78
1581618973,77,77
1581620896,78,78
1581622813,76,76
1581624734,77,77
1581626669,77,77
1581628580,78,78
1581630492,78,78
1581634344,76,76
1581636266,75,75
1581638170,76,76
1581640087,78,78
1581642991,78,78
1581644892,80,80
1581646806,79,79
1581648751,80,80
1581650652,80,80
1581652572,81,81
1581656452,82,82
1581658357,81,81
1581660275,80,80
1581662183,81,81
1581664096,82,82
1581666010,81,81
1581667929,81,81
1581671795,83,83
1581673692,84,84
1581675609,82,82
1581679479,80,80
1581681371,81,81
1581686175,81,81
1581688093,82,82
1581690048,83,83
1581691953,83,83
1581693852,83,83
1581695770,84,84
1581697690,82,82
1581700649,82,82
1581702493,81,81
1581704422,81,81
1581706333,80,80
1581708251,79,79
1581712116,78,78
1581715949,79,79
1581718119,81,81
1581722195,80,80
1581724090,73,73
1581726021,72,72
1581727946,74,74
1581730118,73,73
1581733226,72,72
1581735127,73,73
1581737065,71,71
1581738972,69,69
1581744011,69,69
1581753897,68,68
1581755788,67,67
1581757702,67,67
1581759864,69,69
1581761793,67,67
1581763718,68,68
1581765611,68,68
1581767545,70,70
1581769465,72,72
1581771375,71,71
1581773293,71,71
1581776174,71,71
1581778106,72,72
1581780009,72,72
1581781937,74,74
1581783864,79,79
1581785774,80,80
1581787688,81,81
1581790594,79,79
1581794408,77,77
1581796331,77,77
1581798265,79,79
1581800171,78,78
1581802092,79,79
1581804134,81,81
1581805945,80,80
1581807937,80,80
1581809808,81,81
1581811706,82,82
1581815548,81,81
1581819372,80,80
1581821308,80,80
1581825152,80,80
1581827077,80,80
1581828994,80,80
1581830890,79,79
1581833804,80,80
1581835732,81,81
1581837636,81,81
1581839530,82,82
1581843383,81,81
1581845291,77,77
1581847296,79,79
1581849153,78,78
1581851317,79,79
