DateTime,AddedIPs,RemovedIPs
1580858655,23,25
1580860584,15,34
1580862492,16,24
1580864469,22,39
1580866366,24,40
1580868500,69,30
1580870410,20,43
1580872344,13,26
1580874254,19,500
1580876170,14,35
1580878103,12,28
1580880012,469,539
1580881937,398,273
1580883861,863,149
1580885768,824,217
1580887691,233,200
1580890590,82,482
1580892492,91,332
1580894422,29,447
1580896331,14,389
1580898252,12,384
1580900181,5,439
1580902121,9,424
1580904067,21,408
1580905937,5,235
1580908112,23,324
1580910013,17,197
1580911938,18,392
1580913866,15,407
1580915775,19,129
1580917694,16,47
1580919623,17,23
1580921530,10,19
1580923476,30,48
1580925370,28,63
1580927287,30,104
1580929344,29,123
1580931151,34,122
1580933314,32,151
1580935211,15,173
1580937142,27,234
1580939065,23,281
1580940972,29,107
1580942893,28,534
1580944811,21,380
1580946731,22,710
1580948667,14,551
1580950569,20,802
1580952490,21,904
1580954545,31,319
1580956582,16,481
1580958503,14,204
1580960413,20,162
1580962348,19,117
1580964265,13,37
1580966434,18,652
1580968332,17,582
1580970267,631,1065
1580972174,310,1536
1580974089,68,754
1580977211,170,670
1580979126,55,470
1580981068,58,486
1580982976,20,400
1580984894,11,122
1580986881,21,22
1580988733,33,37
1580990911,17,22
1580992827,21,12
1580994742,21,26
1580996651,20,91
1580998579,97,89
1581000509,85,20
1581002407,18,22
1581004341,21,860
1581006251,50,602
1581008182,15,165
1581010087,16,32
1581012974,28,47
1581014893,19,34
1581016823,15,29
1581018747,25,38
1581020670,18,26
1581022574,17,23
1581024493,18,29
1581026645,15,27
1581028589,15,35
1581030503,13,33
1581032426,12,24
1581034352,18,21
1581036256,11,25
1581038175,22,23
1581040113,24,21
1581042012,17,43
1581043930,11,22
1581045868,13,20
1581047773,17,28
1581049692,16,23
1581052575,28,34
1581054505,24,21
1581056408,1068,242
1581058328,1067,713
1581060270,286,57
1581062169,272,42
1581064088,213,51
1581067211,396,31
1581069132,219,17
1581071076,195,12
1581072975,167,15
1581075136,203,32
1581077124,237,6
1581078989,205,26
1581080901,1935,24
1581082814,477,20
1581084751,31,26
1581086655,33,16
1581088582,35,22
1581090510,29,20
1581092420,34,16
1581094329,27,62
1581096270,20,13
1581098171,33,17
1581100092,29,14
1581103004,52,25
1581104909,37,19
1581106811,38,16
1581108731,27,11
1581110678,26,16
1581112572,33,10
1581114490,35,13
1581116692,35,15
1581118586,33,9
1581120512,33,15
1581122415,30,10
1581124348,28,17
1581126252,28,13
1581128174,29,26
1581130131,31,10
1581132030,28,10
1581133943,30,18
1581135855,35,16
1581137779,19,16
1581139707,31,15
1581142576,40,50
1581144492,1092,709
1581146422,64,411
1581148336,66,131
1581150254,122,182
1581152185,203,51
1581154090,19,28
1581156094,36,43
1581157945,37,40
1581160827,41,55
1581162734,36,34
1581164651,28,28
1581166585,24,406
1581168488,44,1735
1581171622,56,74
1581173528,482,27
1581175451,511,26
1581177382,441,25
1581179315,19,31
1581181289,27,33
1581183148,16,22
1581185315,23,33
1581187211,13,24
1581189142,29,25
1581191084,24,32
1581193230,34,43
1581195128,20,25
1581197068,15,24
1581198972,21,30
1581200889,7,31
1581202896,23,33
1581204733,13,31
1581206899,22,31
1581208814,27,27
1581210749,11,27
1581212649,15,27
1581214571,14,27
1581216507,8,28
1581218413,11,26
1581220333,12,26
1581222294,20,36
1581224168,20,17
1581226336,16,872
1581228284,179,17
1581230188,2031,206
1581232102,1870,967
1581234012,548,74
1581235949,65,81
1581237866,77,211
1581239774,163,25
1581241712,14,24
1581243610,26,33
1581245529,23,28
1581247467,21,25
1581249369,13,26
1581251289,27,24
1581254415,32,53
1581256339,26,26
1581258282,17,17
1581260171,24,431
1581262088,12,396
1581264974,23,322
1581266924,18,21
