DateTime,Entries,UniqueIPs
1580858655,29545,29545
1580860584,29526,29526
1580862492,29518,29518
1580864469,29501,29501
1580866366,29485,29485
1580868500,29524,29524
1580870410,29501,29501
1580872344,29488,29488
1580874254,29007,29007
1580876170,28986,28986
1580878103,28970,28970
1580880012,28900,28900
1580881937,29025,29025
1580883861,29739,29739
1580885768,30346,30346
1580887691,30379,30379
1580890590,29979,29979
1580892492,29738,29738
1580894422,29320,29320
1580896331,28945,28945
1580898252,28573,28573
1580900181,28139,28139
1580902121,27724,27724
1580904067,27337,27337
1580905937,27107,27107
1580908112,26806,26806
1580910013,26626,26626
1580911938,26252,26252
1580913866,25860,25860
1580915775,25750,25750
1580917694,25719,25719
1580919623,25713,25713
1580921530,25704,25704
1580923476,25686,25686
1580925370,25651,25651
1580927287,25577,25577
1580929344,25483,25483
1580931151,25395,25395
1580933314,25276,25276
1580935211,25118,25118
1580937142,24911,24911
1580939065,24653,24653
1580940972,24575,24575
1580942893,24069,24069
1580944811,23710,23710
1580946731,23022,23022
1580948667,22485,22485
1580950569,21703,21703
1580952490,20820,20820
1580954545,20532,20532
1580956582,20067,20067
1580958503,19877,19877
1580960413,19735,19735
1580962348,19637,19637
1580964265,19613,19613
1580966434,18979,18979
1580968332,18414,18414
1580970267,17980,17980
1580972174,16754,16754
1580974089,16068,16068
1580977211,15568,15568
1580979126,15153,15153
1580981068,14725,14725
1580982976,14345,14345
1580984894,14234,14234
1580986881,14233,14233
1580988733,14229,14229
1580990911,14224,14224
1580992827,14233,14233
1580994742,14228,14228
1580996651,14157,14157
1580998579,14165,14165
1581000509,14230,14230
1581002407,14226,14226
1581004341,13387,13387
1581006251,12835,12835
1581008182,12685,12685
1581010087,12669,12669
1581012974,12650,12650
1581014893,12635,12635
1581016823,12621,12621
1581018747,12608,12608
1581020670,12600,12600
1581022574,12594,12594
1581024493,12583,12583
1581026645,12571,12571
1581028589,12551,12551
1581030503,12531,12531
1581032426,12519,12519
1581034352,12516,12516
1581036256,12502,12502
1581038175,12501,12501
1581040113,12504,12504
1581042012,12478,12478
1581043930,12467,12467
1581045868,12460,12460
1581047773,12449,12449
1581049692,12442,12442
1581052575,12436,12436
1581054505,12439,12439
1581056408,13265,13265
1581058328,13619,13619
1581060270,13848,13848
1581062169,14078,14078
1581064088,14240,14240
1581067211,14605,14605
1581069132,14807,14807
1581071076,14990,14990
1581072975,15142,15142
1581075136,15313,15313
1581077124,15544,15544
1581078989,15723,15723
1581080901,17634,17634
1581082814,18091,18091
1581084751,18096,18096
1581086655,18113,18113
1581088582,18126,18126
1581090510,18135,18135
1581092420,18153,18153
1581094329,18118,18118
1581096270,18125,18125
1581098171,18141,18141
1581100092,18156,18156
1581103004,18183,18183
1581104909,18201,18201
1581106811,18223,18223
1581108731,18239,18239
1581110678,18249,18249
1581112572,18272,18272
1581114490,18294,18294
1581116692,18314,18314
1581118586,18338,18338
1581120512,18356,18356
1581122415,18376,18376
1581124348,18387,18387
1581126252,18402,18402
1581128174,18405,18405
1581130131,18426,18426
1581132030,18444,18444
1581133943,18456,18456
1581135855,18475,18475
1581137779,18478,18478
1581139707,18494,18494
1581142576,18484,18484
1581144492,18867,18867
1581146422,18520,18520
1581148336,18455,18455
1581150254,18395,18395
1581152185,18547,18547
1581154090,18538,18538
1581156094,18531,18531
1581157945,18528,18528
1581160827,18514,18514
1581162734,18516,18516
1581164651,18516,18516
1581166585,18134,18134
1581168488,16443,16443
1581171622,16425,16425
1581173528,16880,16880
1581175451,17365,17365
1581177382,17781,17781
1581179315,17769,17769
1581181289,17763,17763
1581183148,17757,17757
1581185315,17747,17747
1581187211,17736,17736
1581189142,17740,17740
1581191084,17732,17732
1581193230,17723,17723
1581195128,17718,17718
1581197068,17709,17709
1581198972,17700,17700
1581200889,17676,17676
1581202896,17666,17666
1581204733,17648,17648
1581206899,17639,17639
1581208814,17639,17639
1581210749,17623,17623
1581212649,17611,17611
1581214571,17598,17598
1581216507,17578,17578
1581218413,17563,17563
1581220333,17549,17549
1581222294,17533,17533
1581224168,17536,17536
1581226336,16680,16680
1581228284,16842,16842
1581230188,18667,18667
1581232102,19570,19570
1581234012,20044,20044
1581235949,20028,20028
1581237866,19894,19894
1581239774,20032,20032
1581241712,20022,20022
1581243610,20015,20015
1581245529,20010,20010
1581247467,20006,20006
1581249369,19993,19993
1581251289,19996,19996
1581254415,19975,19975
1581256339,19975,19975
1581258282,19975,19975
1581260171,19568,19568
1581262088,19184,19184
1581264974,18885,18885
1581266924,18882,18882
1581268807,18879,18879
1581270727,18889,18889
1581272667,18900,18900
1581274582,18909,18909
1581276497,20657,20657
1581278501,21863,21863
1581280337,21863,21863
1581282539,21866,21866
1581284415,21875,21875
1581286336,21882,21882
1581288265,21897,21897
1581290176,21896,21896
1581292116,21903,21903
1581294012,21895,21895
1581295931,22302,22302
1581297867,22308,22308
1581299785,22329,22329
1581301693,22340,22340
1581304579,22361,22361
1581306511,22376,22376
1581308424,22375,22375
1581310344,22376,22376
1581312272,22382,22382
1581314173,22383,22383
1581316095,21165,21165
1581319012,18031,18031
1581320927,17568,17568
1581322830,17278,17278
1581324730,16733,16733
1581326667,16787,16787
1581328574,16596,16596
1581330513,17914,17914
1581332577,18281,18281
1581334586,18214,18214
1581336504,18011,18011
1581338414,17803,17803
1581340442,17600,17600
1581342257,17407,17407
1581344173,17220,17220
1581346109,17106,17106
1581348013,17112,17112
1581349931,17125,17125
1581351885,17133,17133
1581353770,17150,17150
1581355690,17169,17169
1581358811,17157,17157
1581360732,17169,17169
1581362658,16071,16071
1581364583,14111,14111
1581366739,14113,14113
1581368904,14146,14146
1581370817,14141,14141
1581372761,14148,14148
1581374654,14225,14225
1581376583,14235,14235
1581378515,14248,14248
1581380418,14256,14256
1581382336,13752,13752
1581384272,13761,13761
1581386175,13767,13767
1581388094,13760,13760
1581390103,13760,13760
1581391944,13747,13747
1581393928,14331,14331
1581395788,14316,14316
1581397700,14308,14308
1581399613,14296,14296
1581401554,14287,14287
1581403472,14006,14006
1581405378,14933,14933
1581407315,15807,15807
1581409215,16353,16353
1581411173,17535,17535
1581413057,17923,17923
1581415029,18339,18339
1581416894,17065,17065
1581418922,16895,16895
1581420756,17097,17097
1581422696,17361,17361
1581424577,17606,17606
1581426519,17838,17838
1581428417,17945,17945
1581430336,17952,17952
1581432273,17940,17940
1581434179,17932,17932
1581436096,17921,17921
1581438027,17913,17913
1581439952,17895,17895
1581441855,17877,17877
1581443789,17881,17881
1581445705,17870,17870
1581447806,17837,17837
1581449771,17822,17822
1581451731,17813,17813
1581453766,17808,17808
1581455788,17774,17774
1581457703,17768,17768
1581459628,17765,17765
1581461534,17686,17686
1581463456,17685,17685
1581465389,17686,17686
1581467295,17682,17682
1581469282,17673,17673
1581471150,17649,17649
1581473087,17634,17634
1581474990,17615,17615
1581476916,17617,17617
1581478814,17190,17190
1581480739,16985,16985
1581482671,16997,16997
1581484578,17008,17008
1581486496,17003,17003
1581488425,17048,17048
1581490335,16237,16237
1581492269,15804,15804
1581494182,15484,15484
1581496091,15480,15480
1581498975,15149,15149
1581500900,14955,14955
1581502819,14766,14766
1581504732,14468,14468
1581506654,14098,14098
1581508585,13504,13504
1581510490,12667,12667
1581512477,11567,11567
1581514329,10462,10462
1581516505,10251,10251
1581518411,10162,10162
1581520619,10154,10154
1581522493,10152,10152
1581524425,10146,10146
1581526326,10141,10141
1581528268,10130,10130
1581530171,10131,10131
1581532090,10126,10126
1581534075,10132,10132
1581535935,10131,10131
1581538095,10133,10133
1581540010,10123,10123
1581541933,10103,10103
1581543850,10101,10101
1581545800,10097,10097
1581547691,10087,10087
1581549611,10086,10086
1581551531,10974,10974
1581553453,11589,11589
1581555368,12119,12119
1581557286,12121,12121
1581560172,12125,12125
1581562090,12131,12131
1581564108,12130,12130
1581566016,12134,12134
1581567929,12123,12123
1581569840,12119,12119
1581571763,12105,12105
1581574668,12183,12183
1581576494,12695,12695
1581578485,12739,12739
1581580330,12751,12751
1581582289,12689,12689
1581584193,12573,12573
1581586115,12698,12698
1581588093,12785,12785
1581589944,12788,12788
1581592102,12784,12784
1581594021,12774,12774
1581595967,12784,12784
1581597864,12788,12788
1581599774,12800,12800
1581601938,12807,12807
1581603856,12813,12813
1581605813,12826,12826
1581607768,12832,12832
1581610576,12842,12842
1581612491,12854,12854
1581614449,13540,13540
1581616328,14623,14623
1581618252,16016,16016
1581620174,17362,17362
1581622090,17580,17580
1581624050,17587,17587
1581625954,17596,17596
1581627971,17609,17609
1581629795,17622,17622
1581631707,17631,17631
1581633613,17647,17647
1581635535,17649,17649
1581637450,17193,17193
1581639377,16621,16621
1581641297,16070,16070
1581643214,16080,16080
1581645132,16100,16100
1581647056,16109,16109
1581648973,16126,16126
1581650897,16140,16140
1581653772,16152,16152
1581655696,16157,16157
1581657658,16180,16180
1581660495,16186,16186
1581662419,16092,16092
1581664341,16069,16069
1581666257,15860,15860
1581668200,15700,15700
1581670115,15591,15591
1581672016,15372,15372
1581673929,15996,15996
