DateTime,Entries,UniqueIPs
1580865397,29646,29646
1580867307,29636,29636
1580869232,29668,29668
1580871129,29652,29652
1580873076,29629,29629
1580874972,29163,29163
1580877136,29136,29136
1580879313,29500,29500
1580881357,29007,29007
1580883399,29409,29409
1580885329,30457,30457
1580887243,30589,30589
1580889140,30328,30328
1580891058,30085,30085
1580892984,29814,29814
1580894915,29399,29399
1580897776,28862,28862
1580899698,28474,28474
1580901615,27984,27984
1580903534,27563,27563
1580905456,27332,27332
1580907379,27044,27044
1580909295,26838,26838
1580911325,26585,26585
1580913149,26204,26204
1580915319,25899,25899
1580917214,25872,25872
1580919148,25863,25863
1580921075,25856,25856
1580923216,25827,25827
1580925132,25794,25794
1580927053,25731,25731
1580928982,25635,25635
1580930901,25534,25534
1580932890,25446,25446
1580934752,25265,25265
1580936919,25130,25130
1580938814,24961,24961
1580940736,24713,24713
1580942664,24454,24454
1580944572,23874,23874
1580946508,23222,23222
1580948411,22653,22653
1580950329,21922,21922
1580952265,20994,20994
1580954186,20748,20748
1580956088,20263,20263
1580958096,20013,20013
1580959934,19892,19892
1580962102,19814,19814
1580964037,19746,19746
1580965974,19126,19126
1580967852,18778,18778
1580969778,18241,18241
1580971706,17122,17122
1580973609,16372,16372
1580975538,15938,15938
1580977466,15665,15665
1580979370,15258,15258
1580981291,14870,14870
1580983351,14461,14461
1580985385,14402,14402
1580987302,14403,14403
1580989211,14391,14391
1580991149,14395,14395
1580993052,14402,14402
1580995230,14402,14402
1580997173,14333,14333
1580999068,14347,14347
1581000971,14402,14402
1581002908,14123,14123
1581004876,13374,13374
1581006749,12878,12878
1581008663,12871,12871
1581010817,12849,12849
1581012738,12834,12834
1581014669,12821,12821
1581016577,12816,12816
1581018748,12799,12799
1581020671,12791,12791
1581022575,12783,12783
1581024493,12775,12775
1581026653,12768,12768
1581028589,12753,12753
1581030503,12740,12740
1581032427,12728,12728
1581034353,12723,12723
1581036257,12713,12713
1581038176,12711,12711
1581040113,12711,12711
1581042012,12681,12681
1581043931,12673,12673
1581045869,12668,12668
1581047774,12654,12654
1581049693,12651,12651
1581052575,12643,12643
1581054505,12644,12644
1581056409,13456,13456
1581058329,13805,13805
1581060271,14032,14032
1581062170,14255,14255
1581064089,14415,14415
1581067212,14776,14776
1581069133,14972,14972
1581071077,15158,15158
1581072976,15308,15308
1581075137,15476,15476
1581077142,15707,15707
1581078990,15891,15891
1581080902,17805,17805
1581082816,18258,18258
1581084752,18265,18265
1581086656,18283,18283
1581088583,18286,18286
1581090511,18292,18292
1581092421,18310,18310
1581094330,18275,18275
1581096271,18324,18324
1581098171,18340,18340
1581100093,18360,18360
1581103005,18386,18386
1581104910,18402,18402
1581106812,18418,18418
1581108732,18437,18437
1581110679,18446,18446
1581112573,18469,18469
1581114491,18491,18491
1581117615,18516,18516
1581119529,18535,18535
1581121463,18553,18553
1581123368,18567,18567
1581125287,18585,18585
1581127265,18586,18586
1581129128,18600,18600
1581132030,18630,18630
1581133944,18645,18645
1581135856,18662,18662
1581137780,18668,18668
1581139708,18682,18682
1581141644,18658,18658
1581143548,19080,19080
1581145714,18720,18720
1581147611,18643,18643
1581149575,18641,18641
1581151467,18725,18725
1581153377,18723,18723
1581155295,18720,18720
1581157231,18714,18714
1581159140,18702,18702
1581161051,18706,18706
1581162986,18705,18705
1581164889,18695,18695
1581166907,17583,17583
1581168750,16635,16635
1581170663,16609,16609
1581172589,16792,16792
1581174532,17233,17233
1581176413,17810,17810
1581178340,17951,17951
1581180264,17946,17946
1581182178,17894,17894
1581184113,17890,17890
1581186024,17877,17877
1581187927,17868,17868
1581189855,17865,17865
1581191786,17863,17863
1581193690,17846,17846
