DateTime,AddedIPs,RemovedIPs
1580860584,14,11
1580862492,13,11
1580864483,1,5
1580866367,3,10
1580868501,5,10
1580870411,3,12
1580872345,0,13
1580874255,6,16
1580876171,3,9
1580878104,8,8
1580880013,5,6
1580881937,6,11
1580883861,4,7
1580885768,4,0
1580887691,28,13
1580890592,35,25
1580892493,26,29
1580894423,24,42
1580896332,15,10
1580898252,20,9
1580900181,22,13
1580902121,25,32
1580904078,12,22
1580905937,12,11
1580908112,10,19
1580910014,12,15
1580911939,25,10
1580913866,11,10
1580915776,6,25
1580917695,4,16
1580919624,5,20
1580921531,7,17
1580923476,2,6
1580925371,2,7
1580927288,5,5
1580929361,9,6
1580931370,8,19
1580933315,3,9
1580935211,1,9
1580937142,6,14
1580939065,3,17
1580940972,4,8
1580942894,6,4
1580944812,11,34
1580946731,9,19
1580948668,8,13
1580950570,5,0
1580952491,4,2
1580954563,3,3
1580956583,4,1
1580958503,12,0
1580960413,9,3
1580962348,12,3
1580964265,9,7
1580966434,8,7
1580968332,8,6
1580970268,15,4
1580972174,22,3
1580974089,29,40
1580976126,16,23
1580977937,10,22
1580980111,26,20
1580982013,11,17
1580983959,12,19
1580985854,13,15
1580988078,11,48
1580989933,9,30
1580991881,6,21
1580993771,8,18
1580995707,11,22
1580997732,8,24
1580999535,6,24
1581001710,13,11
1581003648,21,4
1581005552,20,3
1581007464,19,6
1581009374,13,1
1581011543,19,3
1581013457,21,3
1581015389,16,6
1581017566,10,7
1581019545,5,4
1581021390,4,4
1581023306,9,8
1581025215,3,5
1581027153,3,5
1581029056,5,4
1581030979,2,20
1581032915,1,12
1581034812,2,5
1581036730,2,3
1581038665,3,6
1581040588,3,6
1581042490,0,4
1581044567,1,11
1581046599,1,30
1581048505,2,21
1581050415,3,17
1581052351,3,15
1581054256,6,12
1581056177,6,13
1581058111,5,13
1581060050,23,49
1581061941,680,15
1581063879,12,9
1581065779,20,191
1581067694,10,9
1581069799,17,9
1581071785,14,6
1581073702,13,22
1581075618,11,9
1581077563,5,10
1581079453,10,6
1581081394,8,7
1581083307,11,9
1581085213,2,9
1581087129,8,9
1581089064,8,19
1581090970,8,17
1581093143,6,19
1581095318,12,16
1581097214,12,10
1581099150,9,12
1581101058,18,18
1581103005,15,8
1581104910,22,3
1581106812,11,2
1581108732,15,5
1581110680,8,2
1581112573,15,2
1581114491,8,1
1581117615,35,6
1581119529,21,0
1581121464,10,3
1581123368,6,2
1581125287,0,2
1581127287,1,3
1581129128,4,1
1581130975,5,1
1581132986,86,0
1581134891,18,2
1581136826,15,1
1581138731,11,1
1581140663,13,0
1581142577,17,3
1581144493,13,1
1581146422,37,14
1581148337,33,676
1581150254,40,8
1581152186,14,17
1581154091,23,11
1581156995,41,27
1581159141,32,12
1581161052,25,10
1581162988,17,15
1581164890,20,14
1581166944,29,4
1581168750,39,8
1581170664,21,6
1581172590,22,5
1581174533,12,10
1581176414,7,11
1581178340,30,8
1581180265,28,16
1581182179,25,14
1581184113,23,15
1581186025,16,18
1581187928,19,18
1581189856,21,30
1581191786,19,25
1581193691,26,15
1581196817,22,28
1581198733,13,22
1581200664,14,27
1581202569,11,23
1581204485,13,33
1581206477,14,18
1581208334,2,7
1581210497,1,2
1581214354,1,2
1581216249,5,3
1581218176,27,42
1581220126,13,24
1581222006,13,8
1581223927,14,12
1581225874,23,9
1581227768,11,12
1581229688,29,11
1581232578,46,41
1581234515,43,36
1581236433,24,32
1581238342,34,14
1581240273,24,13
1581242182,31,20
1581244092,31,14
1581247007,32,49
1581248905,22,24
1581250810,21,23
1581252728,27,28
1581254666,26,35
1581256569,30,22
1581258492,29,1
1581261617,48,40
1581263536,26,20
1581265471,18,29
1581267380,15,17
1581269298,25,18
1581271334,13,12
1581273139,24,1
1581275304,24,29
1581277218,17,18
1581279052,31,16
1581281053,20,12
1581282997,17,10
1581284895,19,14
1581286826,25,7
1581288726,24,6
1581290662,24,14
1581292567,12,13
1581294489,10,1
1581297606,19,1
1581299526,15,1
1581301463,9,2
1581303367,9,4
1581305292,49,33
1581307265,24,12
1581309130,23,8
1581311305,31,11
1581313209,29,14
1581315149,38,6
1581317050,37,4
1581319022,41,47
1581320927,46,28
1581322830,40,17
1581324731,50,19
1581326667,37,12
1581328575,37,17
1581330514,30,28
1581332594,26,12
1581334586,25,20
1581336505,18,30
1581338415,26,24
1581340444,46,19
1581342258,32,21
1581344174,203,14
1581346109,17,8
1581348014,25,42
1581349931,19,32
1581351885,23,18
1581353771,16,17
1581355691,15,18
1581357761,17,45
1581359791,14,13
1581361713,9,33
1581363617,13,23
1581365560,16,30
1581367474,12,20
1581369403,6,18
1581371309,6,17
1581373212,11,24
1581375169,35,20
1581377066,25,20
1581378970,36,15
1581380913,27,8
1581382977,28,6
1581384984,9,19
1581386892,34,5
1581388811,27,6
1581390757,19,45
1581392668,15,24
1581394820,7,15
1581396751,3,16
1581398674,9,24
1581400575,10,27
1581402493,2,34
1581405380,44,57
1581407316,18,24
1581409216,22,88
1581411174,26,45
1581413059,48,40
1581415030,40,35
1581416895,32,11
1581420028,60,56
1581421925,8,14
1581423853,21,5
1581425785,14,75
1581427696,7,40
1581429701,6,36
1581431566,9,6
1581433502,12,17
1581435379,10,59
1581437312,5,28
1581439244,14,27
1581441132,8,22
1581443072,12,20
1581444975,3,11
1581446903,25,11
1581448842,19,36
1581450730,3,18
1581452649,0,18
1581454593,4,15
1581456488,3,12
1581459370,4,16
1581461289,3,23
1581463221,8,34
1581465126,83,44
1581467048,1,25
1581468981,5,29
1581470886,4,11
1581472823,6,37
1581474756,5,26
1581476924,4,30
1581478816,3,11
1581480740,3,9
1581482672,7,2
1581484579,1,7
1581486497,3,13
1581488426,3,4
1581490337,5,1
1581492270,56,73
1581494183,21,21
1581496092,14,27
1581498081,1,30
1581499948,0,23
1581502114,5,66
1581504013,0,17
1581505940,42,91
1581507868,25,14
1581509798,18,34
1581511698,24,22
1581513638,26,18
1581515535,19,7
1581517475,21,7
1581519379,22,15
1581521309,3,12
1581523302,3,10
1581525162,3,13
1581527114,2,14
1581528988,0,22
1581530903,1,4
1581532816,1,1
1581534754,1,44
1581536653,0,3
1581538574,3,1
1581540523,3,2
1581542412,1,3
1581544332,2,4
1581546283,3,1
1581548173,1,4
1581550105,7,20
1581552076,0,143
1581553934,2,2
1581555876,5,6
1581557773,4,6
1581559705,3,8
1581561615,3,12
1581563421,3,3
1581565241,3,3
1581567236,1,5
1581569084,11,8
1581570989,12,3
1581572888,16,8
1581575060,14,9
1581576968,4,9
1581578890,9,65
1581582014,25,28
1581583929,9,3
1581585851,5,2
1581587772,20,6
1581589689,17,4
1581592571,53,58
1581594489,29,97
1581596425,10,134
1581598333,10,27
1581600268,13,25
1581602172,5,21
1581604087,8,22
1581606987,24,24
1581608891,13,2
1581610812,8,2
1581612729,9,5
1581614702,15,1
1581616573,13,0
1581618491,9,1
1581621383,22,1
1581623289,10,1
1581625211,12,4
1581627146,14,4
1581629052,14,3
1581630969,12,4
1581632887,11,3
1581635789,20,7
1581637693,17,1
1581639607,14,2
1581641528,16,4
1581643452,12,4
1581645369,17,3
1581647286,16,3
1581650194,22,7
1581652091,8,2
1581654007,10,2
1581655929,15,8
1581657886,13,8
1581660738,19,15
1581662658,19,5
1581664662,14,3
1581666492,16,11
1581668415,15,12
1581670349,12,7
1581672254,3,3
1581674182,5,17
1581676089,9,12
1581678998,12,43
1581680888,5,29
1581682819,3,13
1581684729,4,10
1581686654,6,13
1581688597,4,7
1581690504,2,10
1581693382,3,22
1581695302,4,12
1581697212,5,7
1581699148,6,7
1581701069,5,13
1581702990,4,11
1581704895,3,4
1581706892,3,11
1581708772,18,25
1581710937,14,12
1581712817,10,9
1581714740,4,13
1581716669,11,11
1581718578,9,5
1581720733,11,11
1581722652,7,17
1581724587,6,23
1581726494,4,12
1581729379,7,25
1581731292,8,19
1581733227,9,10
1581735129,7,20
1581737066,13,14
1581738974,18,14
1581740890,15,16
1581744013,16,20
1581745930,10,16
1581747867,12,14
1581749771,7,13
1581751952,8,27
1581753906,11,17
1581755789,8,11
1581757704,5,7
1581759866,15,9
1581761794,10,4
1581763719,24,15
1581765613,24,9
1581767546,15,3
1581769467,17,5
1581771376,8,3
1581773294,1,5
1581775302,1,3
1581777136,1,2
1581779314,9,2
1581781238,4,5
1581783167,4,2
1581785057,8,6
1581786978,5,6
1581788914,6,3
1581790826,10,1
1581792734,3,8
1581794691,5,16
1581796589,7,14
1581798497,9,7
1581800450,0,9
1581802452,9,8
1581804515,7,12
1581806413,8,11
1581808362,3,4
1581810266,12,7
1581812186,5,4
1581814112,5,3
1581816008,1,6
1581817928,2,7
1581819948,1,5
1581821769,2,7
1581823724,19,16
1581825666,16,14
1581827664,19,13
1581829709,6,14
1581831619,7,8
1581833544,3,14
1581835463,4,5
1581837401,5,7
1581839297,1,9
1581841237,2,12
1581843150,1,9
1581845056,2,8
1581846987,11,11
1581848891,30,16
1581852026,69,34
