DateTime,Entries,UniqueIPs
1580860584,1076,1076
1580862492,1078,1078
1580864483,1074,1074
1580866367,1067,1067
1580868501,1062,1062
1580870411,1053,1053
1580872345,1040,1040
1580874255,1030,1030
1580876171,1024,1024
1580878104,1024,1024
1580880013,1023,1023
1580881937,1018,1018
1580883861,1015,1015
1580885768,1019,1019
1580887691,1034,1034
1580890592,1044,1044
1580892493,1041,1041
1580894423,1023,1023
1580896332,1028,1028
1580898252,1039,1039
1580900181,1048,1048
1580902121,1041,1041
1580904078,1031,1031
1580905937,1032,1032
1580908112,1023,1023
1580910014,1020,1020
1580911939,1035,1035
1580913866,1036,1036
1580915776,1017,1017
1580917695,1005,1005
1580919624,990,990
1580921531,980,980
1580923476,976,976
1580925371,971,971
1580927288,971,971
1580929361,974,974
1580931370,963,963
1580933315,957,957
1580935211,949,949
1580937142,941,941
1580939065,927,927
1580940972,923,923
1580942894,925,925
1580944812,902,902
1580946731,892,892
1580948668,887,887
1580950570,892,892
1580952491,894,894
1580954563,894,894
1580956583,897,897
1580958503,909,909
1580960413,915,915
1580962348,924,924
1580964265,926,926
1580966434,927,927
1580968332,929,929
1580970268,940,940
1580972174,959,959
1580974089,948,948
1580976126,941,941
1580977937,929,929
1580980111,935,935
1580982013,929,929
1580983959,922,922
1580985854,920,920
1580988078,883,883
1580989933,862,862
1580991881,847,847
1580993771,837,837
1580995707,826,826
1580997732,810,810
1580999535,792,792
1581001710,794,794
1581003648,811,811
1581005552,828,828
1581007464,841,841
1581009374,853,853
1581011543,869,869
1581013457,887,887
1581015389,897,897
1581017566,900,900
1581019545,901,901
1581021390,901,901
1581023306,902,902
1581025215,900,900
1581027153,898,898
1581029056,899,899
1581030979,881,881
1581032915,870,870
1581034812,867,867
1581036730,866,866
1581038665,863,863
1581040588,860,860
1581042490,856,856
1581044567,846,846
1581046599,817,817
1581048505,798,798
1581050415,784,784
1581052351,772,772
1581054256,766,766
1581056177,759,759
1581058111,751,751
1581060050,725,725
1581061941,1390,1390
1581063879,1393,1393
1581065779,1222,1222
1581067694,1223,1223
1581069799,1231,1231
1581071785,1239,1239
1581073702,1230,1230
1581075618,1232,1232
1581077563,1227,1227
1581079453,1231,1231
1581081394,1232,1232
1581083307,1234,1234
1581085213,1227,1227
1581087129,1226,1226
1581089064,1215,1215
1581090970,1206,1206
1581093143,1193,1193
1581095318,1189,1189
1581097214,1191,1191
1581099150,1188,1188
1581101058,1188,1188
1581103005,1195,1195
1581104910,1214,1214
1581106812,1223,1223
1581108732,1233,1233
1581110680,1239,1239
1581112573,1252,1252
1581114491,1259,1259
1581117615,1288,1288
1581119529,1309,1309
1581121464,1316,1316
1581123368,1320,1320
1581125287,1318,1318
1581127287,1316,1316
1581129128,1319,1319
1581130975,1323,1323
1581132986,1409,1409
1581134891,1425,1425
1581136826,1439,1439
1581138731,1449,1449
1581140663,1462,1462
1581142577,1476,1476
1581144493,1488,1488
1581146422,1511,1511
1581148337,868,868
1581150254,900,900
1581152186,897,897
1581154091,909,909
1581156995,923,923
1581159141,943,943
1581161052,958,958
1581162988,960,960
1581164890,966,966
1581166944,991,991
1581168750,1022,1022
1581170664,1037,1037
1581172590,1054,1054
1581174533,1056,1056
1581176414,1052,1052
1581178340,1074,1074
1581180265,1086,1086
1581182179,1097,1097
1581184113,1105,1105
1581186025,1103,1103
1581187928,1104,1104
1581189856,1095,1095
1581191786,1089,1089
1581193691,1100,1100
1581196817,1094,1094
1581198733,1085,1085
1581200664,1072,1072
1581202569,1060,1060
1581204485,1040,1040
1581206477,1036,1036
1581208334,1031,1031
1581210497,1030,1030
1581214354,1029,1029
1581216249,1031,1031
1581218176,1016,1016
1581220126,1005,1005
1581222006,1010,1010
1581223927,1012,1012
1581225874,1026,1026
1581227768,1025,1025
1581229688,1043,1043
1581232578,1048,1048
1581234515,1055,1055
1581236433,1047,1047
1581238342,1067,1067
1581240273,1078,1078
1581242182,1089,1089
1581244092,1106,1106
1581247007,1089,1089
1581248905,1087,1087
1581250810,1085,1085
1581252728,1084,1084
1581254666,1075,1075
1581256569,1083,1083
1581258492,1111,1111
1581261617,1119,1119
1581263536,1125,1125
1581265471,1114,1114
1581267380,1112,1112
1581269298,1119,1119
1581271334,1120,1120
1581273139,1143,1143
1581275304,1138,1138
1581277218,1137,1137
1581279052,1152,1152
1581281053,1160,1160
1581282997,1167,1167
1581284895,1172,1172
1581286826,1190,1190
1581288726,1208,1208
1581290662,1218,1218
1581292567,1217,1217
1581294489,1226,1226
1581297606,1244,1244
1581299526,1258,1258
1581301463,1265,1265
1581303367,1270,1270
1581305292,1286,1286
1581307265,1298,1298
1581309130,1313,1313
1581311305,1333,1333
1581313209,1348,1348
1581315149,1380,1380
1581317050,1413,1413
1581319022,1407,1407
1581320927,1425,1425
1581322830,1448,1448
1581324731,1479,1479
1581326667,1504,1504
1581328575,1524,1524
1581330514,1526,1526
1581332594,1540,1540
1581334586,1545,1545
1581336505,1533,1533
1581338415,1535,1535
1581340444,1562,1562
1581342258,1573,1573
1581344174,1762,1762
1581346109,1771,1771
1581348014,1754,1754
1581349931,1741,1741
1581351885,1746,1746
1581353771,1745,1745
1581355691,1742,1742
1581357761,1714,1714
1581359791,1715,1715
1581361713,1691,1691
1581363617,1681,1681
1581365560,1667,1667
1581367474,1659,1659
1581369403,1647,1647
1581371309,1636,1636
1581373212,1623,1623
1581375169,1638,1638
1581377066,1643,1643
1581378970,1664,1664
1581380913,1683,1683
1581382977,1705,1705
1581384984,1695,1695
1581386892,1724,1724
1581388811,1745,1745
1581390757,1719,1719
1581392668,1710,1710
1581394820,1702,1702
1581396751,1689,1689
1581398674,1674,1674
1581400575,1657,1657
1581402493,1625,1625
1581405380,1612,1612
1581407316,1606,1606
1581409216,1540,1540
1581411174,1521,1521
1581413059,1529,1529
1581415030,1534,1534
1581416895,1555,1555
1581420028,1559,1559
1581421925,1553,1553
1581423853,1569,1569
1581425785,1508,1508
1581427696,1475,1475
1581429701,1445,1445
1581431566,1448,1448
1581433502,1443,1443
1581435379,1394,1394
1581437312,1371,1371
1581439244,1358,1358
1581441132,1344,1344
1581443072,1336,1336
1581444975,1328,1328
1581446903,1342,1342
1581448842,1325,1325
1581450730,1310,1310
1581452649,1292,1292
1581454593,1281,1281
1581456488,1272,1272
1581459370,1260,1260
1581461289,1240,1240
1581463221,1214,1214
1581465126,1253,1253
1581467048,1229,1229
1581468981,1205,1205
1581470886,1198,1198
1581472823,1167,1167
1581474756,1146,1146
