DateTime,AddedIPs,RemovedIPs
1580867308,3,4
1580869234,2,4
1580871131,3,7
1580873077,1,3
1580874973,4,0
1580877137,3,5
1580879314,3,2
1580881358,3,0
1580883401,5,4
1580885331,1,0
1580889145,4,1
1580891060,1,0
1580892985,4,0
1580894917,6,4
1580896904,1,2
1580898752,2,4
1580900738,1,3
1580902587,2,4
1580904528,3,4
1580906427,6,4
1580908343,2,3
1580910272,2,4
1580912177,3,1
1580914105,2,4
1580916034,3,0
1580917935,2,7
1580919857,2,1
1580921790,2,4
1580923707,4,2
1580926821,4,9
1580928732,10,6
1580930670,7,1
1580932584,4,1
1580934496,1,4
1580936528,6,8
1580938352,2,2
1580940519,1,2
1580942412,4,2
1580944378,4,1
1580946251,2,2
1580948174,6,1
1580950105,4,4
1580952009,1,5
1580953930,2,2
1580955867,1,1
1580957769,3,0
1580959693,2,2
1580961763,3,6
1580963801,3,2
1580965702,0,2
1580967611,7,1
1580969558,2,3
1580971463,0,2
1580973373,4,0
1580975306,2,3
1580977215,3,2
1580979129,4,2
1580981071,3,5
1580982979,3,4
1580984896,4,3
1580988080,7,4
1580989935,4,3
1580991884,0,3
1580993774,6,2
1580995756,4,3
1580998815,11,3
1581000731,4,1
1581002651,3,4
1581004570,1,1
1581006490,2,1
1581008433,2,2
1581010392,2,4
1581012276,1,3
1581014170,3,11
1581016116,2,4
1581018024,1,3
1581019953,1,1
1581021850,4,2
1581023772,2,7
1581025707,3,5
1581027609,1,1
1581029540,1,3
1581031467,2,5
1581033369,1,1
1581035291,1,9
1581037333,3,0
1581039135,2,2
1581041056,1,2
1581042984,6,5
1581044903,1,3
1581046815,1,4
1581048749,0,4
1581050654,3,1
1581052577,4,6
1581054507,2,3
1581056410,2,2
1581058331,3,3
1581060272,2,3
1581062171,1,1
1581064091,4,3
1581067213,6,8
1581069134,0,4
1581071078,2,2
1581072977,2,5
1581075139,1,4
1581077160,5,0
1581078992,3,2
1581080904,5,3
1581082818,1,4
1581084755,4,5
1581086659,5,1
1581088585,5,5
1581090513,1,0
1581092423,4,5
1581094332,4,2
1581096274,1,2
1581098174,3,2
1581100096,4,2
1581102052,2,3
1581103938,5,1
1581105861,6,0
1581107790,4,0
1581109702,6,2
1581111617,4,2
1581113548,3,0
1581115508,3,2
1581117388,2,3
1581119314,5,3
1581121213,2,2
1581123173,4,3
1581125074,4,0
1581126976,2,0
1581128891,4,1
1581131031,4,7
1581132987,1,1
1581134892,3,2
1581136827,0,4
1581138733,4,6
1581140666,2,0
1581142578,3,3
1581144494,0,3
1581146425,5,1
1581148339,4,3
1581150256,2,2
1581152188,4,2
1581154091,2,3
1581156996,3,6
1581159142,3,3
1581161053,3,1
1581162989,1,6
1581164892,2,2
1581167021,4,6
1581168972,5,1
1581170907,4,2
1581172812,6,2
1581174986,5,4
1581176942,1,6
1581178839,1,6
1581180734,5,3
1581182655,1,0
1581184592,0,3
1581186492,10,2
1581188509,2,4
1581190350,3,1
1581192326,6,7
1581194190,1,5
1581196109,1,4
1581198041,8,2
1581199956,1,2
1581201857,4,6
1581203777,3,2
1581205714,1,4
1581207618,3,3
1581209531,3,2
1581211470,2,3
1581213405,2,2
1581215295,0,3
1581217374,1,2
1581219385,0,5
1581221554,1,6
1581223449,6,2
1581225381,0,5
1581227307,2,2
1581229209,6,2
1581231127,10,2
1581233082,1,5
1581234981,9,4
1581236890,1,5
1581239775,8,3
1581241713,7,4
1581243611,2,1
1581245530,10,4
1581247469,2,3
1581249371,0,1
1581251292,4,1
1581253330,5,3
1581255134,7,4
1581256970,2,5
1581258997,3,5
1581260930,2,2
1581262811,4,0
1581264752,1,1
1581266655,3,2
1581268576,4,1
1581270509,4,1
1581272409,6,5
1581274332,2,2
1581276268,5,3
1581278169,5,2
1581280103,1,3
1581282170,5,1
1581284169,5,4
1581286117,2,3
1581288016,6,2
1581289952,1,3
1581291861,1,1
1581293775,3,0
1581295708,11,3
1581297608,11,0
1581299528,4,1
1581301465,4,0
1581303370,5,1
1581305295,2,0
1581307350,3,2
1581309443,2,2
1581311306,4,0
1581313212,5,2
1581315152,6,4
1581317053,4,7
