DateTime,Entries,UniqueIPs
1580377454,79,79
1580379375,74,74
1580381308,71,71
1580383217,66,66
1580385138,63,63
1580387051,61,61
1580388972,59,59
1580390906,57,57
1580394028,54,54
1580395932,53,53
1580397869,54,54
1580399779,54,54
1580401697,55,55
1580403889,54,54
1580405800,56,56
1580407948,54,54
1580409861,56,56
1580411792,53,53
1580413694,56,56
1580415626,54,54
1580417533,55,55
1580419454,53,53
1580421387,57,57
1580423295,59,59
1580426419,62,62
1580428328,64,64
1580430252,67,67
1580432181,73,73
1580434089,75,75
1580436062,77,77
1580439872,79,79
1580441781,81,81
1580443694,82,82
1580445610,83,83
1580449456,84,84
1580453296,85,85
1580457128,86,86
1580460998,86,86
1580464937,87,87
1580468915,88,88
1580470814,90,90
1580472735,91,91
1580474696,92,92
1580478733,93,93
1580482578,92,92
1580484742,92,92
1580486726,94,94
1580488664,93,93
1580490817,90,90
1580492901,85,85
1580494818,82,82
1580496756,77,77
1580498654,74,74
1580500589,70,70
1580502492,68,68
1580504520,68,68
1580506369,66,66
1580508525,63,63
1580510418,58,58
1580512338,56,56
1580514274,54,54
1580516175,52,52
1580518098,48,48
1580520025,45,45
1580521942,43,43
1580525786,40,40
1580529764,37,37
1580531783,36,36
1580535630,35,35
1580539468,34,34
1580543301,33,33
1580547162,32,32
1580550983,31,31
1580554896,30,30
1580558727,29,29
1580560574,28,28
1580562492,27,27
1580564413,27,27
1580568269,27,27
1580570176,26,26
1580572097,26,26
1580574026,27,27
1580575932,26,26
1580577856,28,28
1580579791,28,28
1580581698,30,30
1580584575,32,32
1580586499,31,31
1580588414,34,34
1580590337,35,35
1580592256,38,38
1580594186,38,38
1580596091,41,41
1580598221,42,42
1580600186,46,46
1580602106,45,45
1580604022,48,48
1580605947,47,47
1580638819,48,48
1580649627,47,47
1580653503,46,46
1580655376,46,46
1580657303,45,45
1580659529,44,44
1580661397,42,42
1580663553,41,41
1580665470,37,37
1580667391,36,36
1580669544,34,34
1580671458,31,31
1580673387,30,30
1580675294,27,27
1580677368,24,24
1580679377,20,20
1580681559,19,19
1580683458,16,16
1580685373,13,13
1580687294,11,11
1580689226,9,9
1580691131,8,8
1580725211,7,7
1580742778,8,8
1580752330,9,9
1580754283,13,13
1580756189,14,14
1580758343,16,16
1580762417,18,18
1580766278,19,19
1580770140,20,20
1580772032,21,21
1580773935,20,20
1580775871,21,21
1580777777,22,22
1580779709,24,24
1580783591,27,27
1580785527,28,28
1580791475,27,27
1580799150,28,28
1580806880,29,29
1580808753,30,30
1580829407,29,29
1580831317,30,30
1580833268,31,31
1580837161,32,32
1580840936,33,33
1580844265,33,33
1580846185,35,35
1580848107,35,35
1580850977,36,36
1580852909,35,35
1580854823,34,34
1580858659,33,33
1580862533,32,32
1580864610,30,30
1580866594,29,29
1580870414,26,26
1580872346,24,24
1580876172,25,25
1580905211,24,24
1580915778,23,23
1580917697,23,23
1580919626,24,24
1580923479,21,21
1580925374,21,21
1580927291,20,20
1580929441,18,18
1580933316,15,15
1580935213,16,16
1580937144,14,14
1580939068,15,15
1580940984,14,14
1580942896,16,16
1580946741,20,20
1580948670,22,22
1580950571,25,25
1580952492,26,26
1580954685,27,27
1580964285,27,27
1580985857,31,31
1580988081,33,33
1580989936,34,34
1580991885,36,36
1580993776,37,37
1580995777,40,40
1580997785,42,42
1580999788,43,43
1581001712,45,45
1581003651,46,46
1581005554,46,46
1581007467,47,47
1581009376,46,46
1581013458,44,44
1581015390,45,45
1581017568,46,46
1581019548,45,45
1581021392,45,45
1581025217,45,45
1581027154,47,47
1581029057,51,51
1581030980,53,53
1581032916,51,51
1581034814,48,48
1581036733,46,46
1581038668,45,45
1581040592,44,44
1581048508,46,46
1581050418,45,45
1581052351,46,46
1581056178,48,48
1581058113,50,50
1581060052,51,51
1581071787,48,48
1581073703,46,46
1581075620,45,45
1581077564,44,44
1581079455,42,42
1581081403,40,40
1581083309,38,38
1581085216,36,36
1581087132,35,35
1581089067,33,33
1581090972,34,34
1581093145,32,32
1581095323,33,33
1581099152,36,36
1581101085,37,37
1581103007,36,36
1581104912,36,36
1581106814,38,38
1581108734,38,38
1581110681,39,39
1581112575,40,40
1581114494,37,37
