DateTime,AddedIPs,RemovedIPs
1580708652,0,3
1580710577,3,0
1580712524,3,5
1580714416,4,1
1580716330,1,3
1580718310,0,6
1580720172,5,5
1580722116,5,2
1580725211,0,3
1580727142,1,3
1580729071,0,1
1580730969,6,0
1580732907,3,2
1580734916,1,1
1580736740,2,4
1580738697,0,6
1580740599,0,1
1580742778,1,4
1580744658,2,1
1580746576,2,0
1580748506,0,1
1580750418,1,3
1580754284,0,308
1580756191,0,626
1580758344,0,3
1580760506,0,2
1580762418,0,2
1580764358,0,1
1580766279,1,1
1580768179,2,0
1580770141,2,6
1580772032,3,3
1580773935,2,0
1580775871,3,3
1580777800,1,1
1580779710,4,1
1580781677,0,4
1580783592,1,2
1580785596,2,2
1580787502,4,2
1580789426,5,3
1580791477,7,10
1580793379,2,0
1580795315,2,3
1580797229,1,2
1580799150,5,4
1580801057,2,4
1580802992,1,1
1580804894,2,0
1580806898,2,5
1580808754,7,6
1580810660,0,1
1580812825,3,3
1580814742,3,0
1580816685,3,3
1580818875,5,5
1580820746,1,4
1580822675,1,1
1580826495,2,0
1580828535,6,1
1580830340,3,2
1580832267,0,2
1580834197,1,0
1580838016,1,1
1580839953,0,1
1580843779,3,0
1580845730,2,0
1580847651,2,0
1580849537,1,0
1580851467,1,1
1580853375,3,0
1580855297,5,3
1580858177,1,4
1580860098,0,3
1580862018,1,2
1580863968,4,0
1580865887,0,5
1580867776,2,1
1580869696,7,1
1580872585,0,2
1580874509,1,2
1580876418,4,6
1580878343,0,5
1580880282,2,1
1580882186,3,2
1580884118,2,1
1580886315,5,5
1580888198,0,1
1580890115,2,2
1580892018,0,1
1580894003,1,4
1580895876,6,4
1580897778,0,2
1580899700,4,1
1580901618,0,2
1580903536,1,6
1580905458,5,2
1580907381,0,1
1580909298,3,1
1580911433,1,0
1580913372,1,3
1580915321,1,3
1580917216,2,3
1580919151,1,0
1580921077,0,2
1580925134,0,1
1580927056,2,0
1580928985,8,0
1580930904,1,4
1580933850,3,3
1580935944,1,1
1580937853,3,3
1580939787,1,1
1580941694,0,6
1580944006,1,1
1580946019,2,0
1580947946,4,1
1580949857,2,3
1580951773,2,0
1580953709,1,3
1580955608,0,5
1580957553,1,2
1580963290,4,4
1580966437,4,3
1580968343,1,6
1580970281,3,3
1580972177,0,3
1580974092,1,2
1580976246,1,2
1580978194,4,0
1580980114,2,1
1580982059,2,5
1580983962,2,0
1580985858,3,5
1580988104,2,0
1580989936,0,1
1580991885,1,3
1580993776,1,0
1580995779,2,4
1580997805,2,1
1580999789,4,0
1581001713,0,2
1581003651,1,2
1581005554,0,1
1581007467,2,1
1581009383,2,0
1581011545,1,1
1581013459,3,3
1581015391,1,6
1581017569,2,1
1581019551,3,2
1581021393,2,2
1581023353,0,2
1581025217,0,3
1581029058,0,1
1581030981,0,2
1581032917,1,2
1581034815,1,5
1581036734,1,1
1581038669,10,2
1581040592,1,1
1581044690,0,1
1581048509,1,0
1581050419,2,4
1581052352,0,2
1581054258,0,3
1581056179,0,3
1581060053,0,2
1581063881,1,3
1581065781,1,5
1581067696,1,3
1581069855,0,3
1581071788,0,3
1581075621,2,0
1581077565,0,1
1581079456,2,1
1581081403,1,2
1581083309,0,1
1581085216,1,3
1581087132,4,0
1581090973,1,2
1581093146,0,1
1581095323,0,4
1581097218,0,1
1581101086,1,1
1581103008,3,1
1581104913,1,3
1581106814,0,3
1581110681,2,2
1581112575,2,0
1581114494,1,1
1581118590,1,0
1581120516,0,4
1581122418,0,1
1581124352,0,6
1581126256,5,5
1581128177,3,1
1581130135,3,0
1581132034,2,1
1581133946,3,0
1581135860,0,3
1581139711,4,1
1581147373,3,0
1581151214,1,0
1581153131,0,1
1581155064,0,1
1581156997,0,2
1581159144,2,0
1581161054,1,1
1581162992,0,2
1581164894,1,1
1581167076,4,2
1581168974,3,0
1581170932,1,0
1581172814,0,3
1581174988,0,2
1581176944,1,0
1581178841,0,1
1581184595,5,0
1581186493,0,1
1581188524,0,3
1581190351,2,1
1581196111,0,2
1581198043,0,2
1581199957,4,1
1581201859,2,1
1581205715,2,1
1581207619,1,0
1581209531,1,0
