DateTime,Entries,UniqueIPs
1580870415,1261,1261
1580872347,1246,1246
1580874258,1232,1232
1580876173,1221,1221
1580878106,1221,1221
1580880015,1217,1217
1580881940,1207,1207
1580883867,1206,1206
1580885772,1213,1213
1580887696,1233,1233
1580890601,1241,1241
1580892496,1238,1238
1580894426,1218,1218
1580896336,1225,1225
1580898257,1244,1244
1580900184,1263,1263
1580902125,1260,1260
1580904161,1257,1257
1580906176,1272,1272
1580908116,1260,1260
1580910017,1245,1245
1580911942,1257,1257
1580913870,1256,1256
1580915779,1232,1232
1580917698,1221,1221
1580919627,1199,1199
1580921534,1195,1195
1580923479,1195,1195
1580925374,1188,1188
1580927293,1192,1192
1580929485,1193,1193
1580931373,1188,1188
1580933317,1181,1181
1580935214,1294,1294
1580937145,1287,1287
1580939069,1273,1273
1580940985,1265,1265
1580942897,1272,1272
1580944818,1244,1244
1580946742,1236,1236
1580948671,1231,1231
1580950572,1236,1236
1580952493,1244,1244
1580954708,1246,1246
1580956585,1248,1248
1580958506,1259,1259
1580960416,1265,1265
1580962351,1273,1273
1580964288,1277,1277
1580966438,1276,1276
1580968344,1277,1277
1580970281,1287,1287
1580972178,1331,1331
1580974093,1321,1321
1580976261,1313,1313
1580978194,1308,1308
1580980115,1312,1312
1580982059,1310,1310
1580983963,1301,1301
1580985858,1288,1288
1580988104,1256,1256
1580989937,1229,1229
1580991886,1202,1202
1580993776,1184,1184
1580995783,1210,1210
1580997822,1233,1233
1580999790,1217,1217
1581001713,1220,1220
1581003651,1236,1236
1581005555,1253,1253
1581007468,1269,1269
1581009384,1280,1280
1581011546,1295,1295
1581013459,1310,1310
1581015392,1321,1321
1581017569,1323,1323
1581019552,1328,1328
1581021393,1209,1209
1581023354,1211,1211
1581025218,1211,1211
1581027155,1209,1209
1581029058,1205,1205
1581030981,1190,1190
1581032917,1178,1178
1581034816,1174,1174
1581036734,1172,1172
1581038670,1168,1168
1581040593,1163,1163
1581042525,1163,1163
1581044690,1145,1145
1581046603,1128,1128
1581048509,1112,1112
1581050419,1107,1107
1581052354,1100,1100
1581054258,1097,1097
1581056179,1088,1088
1581058113,1080,1080
1581060053,1049,1049
1581061942,1727,1727
1581063882,1732,1732
1581065782,1555,1555
1581067697,1555,1555
1581069862,1563,1563
1581071789,1567,1567
1581073705,1551,1551
1581075621,1553,1553
1581077565,1549,1549
1581079458,1555,1555
1581081404,1555,1555
1581083310,1485,1485
1581085216,1472,1472
1581087132,1468,1468
1581089068,1474,1474
1581090973,1467,1467
