DateTime,AddedIPs,RemovedIPs
1580870416,98,73
1580872348,89,92
1580874259,91,57
1580876174,72,63
1580878107,94,62
1580880016,87,50
1580881940,119,85
1580883868,119,108
1580885773,126,72
1580887696,116,69
1580889684,144,93
1580891551,117,112
1580893489,111,112
1580895380,107,164
1580897313,135,147
1580899214,110,157
1580901156,114,146
1580903056,126,163
1580904999,116,224
1580906901,101,184
1580908825,87,208
1580910736,115,138
1580912655,113,140
1580914593,137,90
1580916492,110,64
1580918524,130,96
1580920346,159,66
1580923220,227,139
1580925135,137,81
1580927056,144,84
1580928986,154,97
1580930905,146,120
1580932927,153,165
1580934754,133,166
1580936921,178,181
1580938816,108,140
1580940738,116,147
1580942666,153,139
1580944576,121,129
1580946511,152,152
1580948422,158,128
1580950330,146,117
1580952266,130,95
1580954188,118,92
1580956097,99,99
1580959218,174,167
1580961135,77,77
1580963071,101,74
1580964975,77,89
1580966898,126,98
1580969056,117,138
1580970985,158,122
1580972925,67,108
1580974818,84,121
1580976755,91,119
1580978660,80,114
1580980579,74,104
1580982521,92,120
1580984419,82,116
1580986348,156,90
1580988267,126,112
1580990171,127,116
1580992366,87,113
1580994337,79,93
1580996235,90,98
1580998120,74,94
1581000021,56,112
1581002200,95,139
1581004108,71,116
1581006030,68,127
1581007951,96,167
1581009858,53,131
1581011786,81,143
1581013691,76,135
1581015800,99,156
1581017792,93,158
1581019962,96,189
1581021853,83,140
1581023774,79,148
1581025709,82,127
1581027622,58,145
1581029549,95,145
1581031469,86,172
1581033370,56,145
1581035294,75,181
1581038413,117,231
1581040339,75,134
1581042269,101,119
1581044171,77,129
1581046094,64,73
1581048176,67,165
1581050184,91,98
1581052090,41,80
1581054013,60,126
1581055944,54,101
1581057850,72,229
1581059796,53,91
1581061704,80,95
1581063612,80,102
1581065551,79,99
1581067466,75,84
1581069372,73,106
1581071305,103,100
1581073438,1016,167
1581075386,69,137
1581077566,77,101
1581079466,59,93
1581081405,63,84
1581083310,76,100
1581085217,51,70
1581087133,82,64
1581089069,111,78
1581090974,91,67
1581093147,96,86
1581095325,71,105
1581097220,60,90
1581099154,66,96
1581101088,94,88
1581103009,86,101
1581104914,105,104
1581106815,80,88
1581108736,82,88
1581110682,78,91
1581112576,80,72
1581114495,54,75
1581116791,92,97
1581118595,74,65
1581120517,66,69
1581122419,66,86
1581124353,75,84
1581126275,76,69
1581128178,60,102
1581130136,58,90
1581132035,52,75
1581133947,72,70
1581135861,66,83
1581137784,49,69
1581139712,59,63
1581141786,67,61
1581143771,77,78
1581145719,74,65
1581147617,69,76
1581149580,68,98
1581151472,72,80
1581153383,105,74
1581155297,74,73
1581157235,55,101
1581159153,68,96
1581161055,59,1087
1581163003,57,70
1581164895,74,64
1581167110,84,76
1581168975,73,65
1581170933,78,64
1581172815,77,78
1581174989,67,110
1581176945,72,98
1581178842,88,80
1581180737,157,87
1581182658,73,65
1581184607,77,68
1581186494,76,71
1581188605,83,87
1581190570,101,108
1581192761,122,104
1581194655,73,83
1581196582,86,100
1581198522,102,84
1581200418,67,79
1581202332,67,97
1581204270,72,64
1581206169,73,78
1581208095,76,64
1581210191,96,79
1581212198,90,85
1581214356,71,69
1581216251,69,60
1581218178,87,51
1581220129,73,75
1581222009,65,63
1581223934,52,63
1581225884,62,64
1581227781,78,76
1581229690,70,68
1581232583,138,129
1581234519,79,72
1581236437,72,74
1581238345,61,98
1581240276,68,109
1581242184,110,71
1581244096,79,56
1581247019,101,101
1581248909,85,46
1581250815,108,73
1581252732,104,63
1581254670,76,75
1581256572,113,73
1581258506,97,73
1581260690,637,60
1581262592,109,60
1581264510,78,61
1581266417,64,158
1581268352,91,64
1581270263,106,84
1581272179,81,63
1581274111,92,84
1581276077,392,76
1581277934,932,102
1581279853,2786,87
1581281773,1553,68
1581283711,1622,102
1581285722,1552,77
1581287548,1604,62
1581289602,1686,76
1581291407,2495,73
1581293295,1481,61
1581295215,2180,60
1581297155,1959,100
1581299056,1827,56
1581301228,1831,61
1581304108,2189,112
1581306035,1542,69
1581307961,1465,61
1581309903,1676,57
1581311807,1664,48
1581313708,2181,62
1581315615,1315,50
1581317529,75,87
1581319472,78,74
1581321380,66,77
1581323294,62,61
1581325296,77,59
1581327167,92,67
1581329153,79,97
1581330994,87,66
1581333180,80,62
1581335070,71,75
1581336994,80,96
1581338927,80,98
1581340835,82,88
1581342737,77,102
1581344689,61,86
1581346576,61,85
1581348498,79,679
1581350716,80,88
1581353550,138,99
1581355471,75,103
1581357374,56,77
1581359294,91,81
1581361516,107,134
1581363375,76,615
1581365573,109,2536
1581367479,107,1898
1581369408,82,1484
1581371315,94,1674
1581373217,78,1307
1581375192,93,2118
1581377095,83,1606
1581378973,121,2460
1581380918,74,1710
1581383127,120,2416
1581384987,67,1837
1581386895,107,1502
1581388816,102,1746
1581390793,95,1427
1581392672,112,1503
1581394833,101,1756
1581396754,89,1582
1581398677,85,1814
1581400578,93,2374
1581402519,87,610
1581404610,98,77
1581406585,98,89
1581408504,130,56
1581410418,112,68
1581412337,103,80
1581414266,94,93
1581416178,71,88
1581418392,146,87
1581420329,90,77
1581422186,87,74
1581424094,78,88
1581427233,163,142
1581429135,95,80
1581431055,92,67
1581433002,79,69
1581434894,91,74
1581437047,92,67
1581439002,100,96
1581440912,133,78
1581442819,103,67
1581444735,83,73
1581446673,99,90
1581448588,67,84
1581450499,72,70
1581452434,98,100
1581454333,84,100
1581456253,81,71
1581458201,100,76
1581460095,72,69
1581462280,110,107
1581464175,71,83
1581466107,125,92
1581468013,87,80
1581469934,72,88
1581471868,126,75
1581473774,106,81
1581475705,105,73
1581477627,110,86
1581479534,84,82
1581481461,98,70
1581483397,71,75
1581485291,64,70
1581488200,94,110
1581490092,57,84
1581492028,77,78
1581493952,73,88
1581495854,56,104
1581497786,60,96
1581499689,59,82
1581501729,63,83
1581503549,79,121
1581505495,80,94
1581507394,104,74
1581509316,76,78
1581511218,93,74
1581513166,106,112
1581515066,100,89
1581516975,83,104
1581518913,102,84
1581520809,102,85
1581522744,146,84
1581524653,92,86
1581526587,96,118
1581528491,127,114
1581530511,71,81
1581532355,84,95
1581534216,85,73
1581536186,93,85
1581538100,84,99
1581540014,92,103
1581541936,88,88
1581543853,80,79
1581545807,110,88
1581547711,106,97
1581549615,81,76
1581551535,71,96
1581553457,80,97
1581555372,89,107
1581557290,72,89
1581559326,106,127
1581561150,132,104
1581563425,107,128
1581565245,96,91
1581567240,77,99
1581569088,96,87
1581571001,68,66
1581572900,86,68
1581575064,110,78
1581576971,84,73
1581578894,82,80
1581580987,76,62
1581583067,147,66
1581584898,133,72
1581586829,155,50
1581588734,122,79
1581590655,147,85
1581592575,155,84
1581594492,168,87
1581596437,149,78
1581598348,138,84
1581600272,157,118
1581602174,170,84
1581604091,215,85
1581606136,206,98
1581607938,231,111
1581610106,201,152
1581612013,214,97
1581613958,226,139
1581615855,248,74
1581617775,178,66
1581619723,190,87
1581621612,163,91
1581623531,203,87
1581625453,196,86
1581627370,221,75
1581629291,164,78
1581631352,167,108
1581633374,149,119
1581635324,141,104
1581637216,172,71
1581639143,152,68
1581641059,171,88
1581642993,187,79
1581644895,124,96
1581646828,127,88
1581648755,152,128
1581650654,104,100
1581653542,195,124
1581655455,125,102
1581657375,147,67
1581659302,158,89
1581661248,105,113
1581663130,165,91
1581665065,186,73
1581666973,191,87
1581668889,194,118
1581670974,176,150
1581672971,242,135
1581674927,195,129
1581676813,131,131
1581678758,168,143
1581680657,172,129
1581682600,211,134
1581684491,179,106
1581686437,211,118
1581688360,232,114
1581690260,184,153
1581692178,172,164
1581694103,170,186
1581696109,169,132
1581697947,153,161
1581700109,187,192
1581702017,196,204
1581703937,160,122
1581705871,183,154
1581707784,127,143
1581709701,166,142
1581711638,182,160
1581713554,212,182
1581715452,213,140
1581717389,213,139
1581719299,164,123
1581721432,205,120
1581723371,187,130
1581725325,178,130
1581727223,169,150
1581729138,187,162
1581731072,192,108
1581733028,157,106
1581734901,165,135
1581736825,150,95
1581738734,137,116
1581741635,252,180
1581743579,175,117
1581745456,173,149
1581747386,152,95
1581749310,178,137
1581751222,182,197
1581753134,171,177
1581755068,153,163
1581756972,120,154
1581758900,132,209
1581760948,97,212
1581762984,147,159
1581764898,129,158
1581766812,107,171
1581768755,119,199
1581770658,107,174
1581772592,103,223
1581774511,141,230
1581776418,101,209
1581778332,103,174
1581780313,105,169
1581782192,92,190
1581784106,121,184
1581787211,187,291
1581789127,97,204
1581791069,143,194
1581792968,133,191
1581794893,112,174
1581796903,102,177
1581798735,83,203
1581800706,110,206
1581802843,137,291
1581804984,129,245
1581806898,102,198
1581808810,119,208
1581810742,111,168
1581812669,141,190
1581814581,98,191
1581816492,123,204
1581818608,150,215
1581820594,108,205
1581822514,90,239
1581824439,93,187
1581826341,102,195
1581828301,122,224
1581830185,121,209
1581832098,406,196
1581834026,691,205
1581835939,2801,240
1581837869,1293,239
1581839786,1760,279
1581841694,1368,168
1581843709,1760,113
1581845553,1618,125
1581847434,1724,77
1581849379,1852,135
1581851321,1537,117
