DateTime,Entries,UniqueIPs
1580870416,6566,6566
1580872348,6563,6563
1580874259,6597,6597
1580876174,6606,6606
1580878107,6638,6638
1580880016,6675,6675
1580881940,6709,6709
1580883868,6720,6720
1580885773,6774,6774
1580887696,6821,6821
1580889684,6872,6872
1580891551,6877,6877
1580893489,6876,6876
1580895380,6819,6819
1580897313,6807,6807
1580899214,6760,6760
1580901156,6728,6728
1580903056,6691,6691
1580904999,6583,6583
1580906901,6500,6500
1580908825,6379,6379
1580910736,6356,6356
1580912655,6329,6329
1580914593,6376,6376
1580916492,6422,6422
1580918524,6456,6456
1580920346,6549,6549
1580923220,6637,6637
1580925135,6693,6693
1580927056,6753,6753
1580928986,6810,6810
1580930905,6836,6836
1580932927,6824,6824
1580934754,6791,6791
1580936921,6788,6788
1580938816,6756,6756
1580940738,6725,6725
1580942666,6739,6739
1580944576,6731,6731
1580946511,6731,6731
1580948422,6761,6761
1580950330,6790,6790
1580952266,6825,6825
1580954188,6851,6851
1580956097,6851,6851
1580959218,6858,6858
1580961135,6858,6858
1580963071,6885,6885
1580964975,6873,6873
1580966898,6901,6901
1580969056,6880,6880
1580970985,6916,6916
1580972925,6875,6875
1580974818,6838,6838
1580976755,6810,6810
1580978660,6776,6776
1580980579,6746,6746
1580982521,6718,6718
1580984419,6684,6684
1580986348,6750,6750
1580988267,6764,6764
1580990171,6775,6775
1580992366,6749,6749
1580994337,6735,6735
1580996235,6727,6727
1580998120,6707,6707
1581000021,6651,6651
1581002200,6607,6607
1581004108,6562,6562
1581006030,6503,6503
1581007951,6432,6432
1581009858,6354,6354
1581011786,6292,6292
1581013691,6233,6233
1581015800,6176,6176
1581017792,6111,6111
1581019962,6018,6018
1581021853,5961,5961
1581023774,5892,5892
1581025709,5847,5847
1581027622,5760,5760
1581029549,5710,5710
1581031469,5624,5624
1581033370,5535,5535
1581035294,5429,5429
1581038413,5315,5315
1581040339,5256,5256
1581042269,5238,5238
1581044171,5186,5186
1581046094,5177,5177
1581048176,5079,5079
1581050184,5072,5072
1581052090,5033,5033
1581054013,4967,4967
1581055944,4920,4920
1581057850,4763,4763
1581059796,4725,4725
1581061704,4710,4710
1581063612,4688,4688
1581065551,4668,4668
1581067466,4659,4659
1581069372,4626,4626
1581071305,4629,4629
1581073438,5478,5478
1581075386,5410,5410
1581077566,5386,5386
1581079466,5352,5352
1581081405,5331,5331
1581083310,5307,5307
1581085217,5288,5288
1581087133,5306,5306
1581089069,5339,5339
1581090974,5363,5363
1581093147,5373,5373
1581095325,5339,5339
1581097220,5309,5309
1581099154,5279,5279
1581101088,5285,5285
1581103009,5270,5270
1581104914,5271,5271
1581106815,5263,5263
1581108736,5257,5257
1581110682,5244,5244
1581112576,5252,5252
1581114495,5231,5231
1581116791,5226,5226
1581118595,5235,5235
1581120517,5232,5232
1581122419,5212,5212
1581124353,5203,5203
1581126275,5210,5210
1581128178,5168,5168
1581130136,5136,5136
1581132035,5113,5113
1581133947,5115,5115
1581135861,5098,5098
1581137784,5078,5078
1581139712,5074,5074
1581141786,5080,5080
1581143771,5079,5079
1581145719,5088,5088
1581147617,5081,5081
1581149580,5051,5051
1581151472,5043,5043
1581153383,5074,5074
1581155297,5075,5075
1581157235,5029,5029
1581159153,5001,5001
1581161055,3973,3973
1581163003,3960,3960
1581164895,3970,3970
1581167110,3978,3978
1581168975,3986,3986
1581170933,4000,4000
1581172815,3999,3999
1581174989,3956,3956
1581176945,3930,3930
1581178842,3938,3938
1581180737,4008,4008
1581182658,4016,4016
1581184607,4025,4025
1581186494,4030,4030
1581188605,4026,4026
1581190570,4019,4019
1581192761,4037,4037
1581194655,4027,4027
1581196582,4013,4013
1581198522,4031,4031
1581200418,4019,4019
1581202332,3989,3989
1581204270,3997,3997
1581206169,3992,3992
1581208095,4004,4004
1581210191,4021,4021
1581212198,4026,4026
1581214356,4028,4028
1581216251,4037,4037
1581218178,4073,4073
1581220129,4071,4071
1581222009,4073,4073
1581223934,4062,4062
1581225884,4060,4060
1581227781,4062,4062
1581229690,4064,4064
1581232583,4073,4073
1581234519,4080,4080
1581236437,4078,4078
1581238345,4041,4041
1581240276,4000,4000
1581242184,4039,4039
1581244096,4062,4062
1581247019,4062,4062
1581248909,4101,4101
1581250815,4136,4136
1581252732,4177,4177
1581254670,4178,4178
1581256572,4218,4218
1581258506,4242,4242
1581260690,4819,4819
1581262592,4868,4868
1581264510,4885,4885
1581266417,4791,4791
1581268352,4818,4818
1581270263,4840,4840
1581272179,4858,4858
1581274111,4866,4866
1581276077,5182,5182
1581277934,6012,6012
1581279853,8711,8711
1581281773,10196,10196
1581283711,11716,11716
1581285722,13191,13191
1581287548,14733,14733
1581289602,16343,16343
1581291407,18765,18765
1581293295,20185,20185
1581295215,22305,22305
1581297155,24164,24164
1581299056,25935,25935
1581301228,27705,27705
1581304108,29782,29782
1581306035,31255,31255
1581307961,32659,32659
1581309903,34278,34278
1581311807,35894,35894
1581313708,38013,38013
1581315615,39278,39278
1581317529,39266,39266
1581319472,39270,39270
1581321380,39259,39259
1581323294,39260,39260
1581325296,39278,39278
1581327167,39303,39303
1581329153,39285,39285
1581330994,39306,39306
1581333180,39324,39324
1581335070,39320,39320
1581336994,39304,39304
1581338927,39286,39286
1581340835,39280,39280
1581342737,39255,39255
1581344689,39230,39230
1581346576,39206,39206
1581348498,38606,38606
1581350716,38598,38598
1581353550,38637,38637
1581355471,38609,38609
1581357374,38588,38588
1581359294,38598,38598
1581361516,38571,38571
1581363375,38032,38032
1581365573,35605,35605
1581367479,33814,33814
1581369408,32412,32412
1581371315,30832,30832
1581373217,29603,29603
1581375192,27578,27578
1581377095,26055,26055
1581378973,23716,23716
1581380918,22080,22080
1581383127,19784,19784
1581384987,18014,18014
1581386895,16619,16619
1581388816,14975,14975
1581390793,13643,13643
1581392672,12252,12252
1581394833,10597,10597
1581396754,9104,9104
1581398677,7375,7375
1581400578,5094,5094
1581402519,4571,4571
1581404610,4592,4592
1581406585,4601,4601
1581408504,4675,4675
1581410418,4719,4719
1581412337,4742,4742
1581414266,4743,4743
1581416178,4726,4726
1581418392,4785,4785
1581420329,4798,4798
1581422186,4811,4811
1581424094,4801,4801
1581427233,4822,4822
1581429135,4837,4837
1581431055,4862,4862
1581433002,4872,4872
1581434894,4889,4889
1581437047,4914,4914
1581439002,4918,4918
1581440912,4973,4973
1581442819,5009,5009
1581444735,5019,5019
1581446673,5028,5028
1581448588,5011,5011
1581450499,5013,5013
1581452434,5011,5011
1581454333,4995,4995
1581456253,5005,5005
1581458201,5029,5029
1581460095,5032,5032
1581462280,5035,5035
1581464175,5023,5023
1581466107,5056,5056
1581468013,5063,5063
1581469934,5047,5047
1581471868,5098,5098
1581473774,5123,5123
1581475705,5155,5155
1581477627,5179,5179
1581479534,5181,5181
1581481461,5209,5209
1581483397,5205,5205
1581485291,5199,5199
1581488200,5183,5183
1581490092,5156,5156
1581492028,5155,5155
1581493952,5140,5140
1581495854,5092,5092
1581497786,5056,5056
1581499689,5033,5033
1581501729,5013,5013
1581503549,4971,4971
1581505495,4957,4957
1581507394,4987,4987
1581509316,4985,4985
1581511218,5004,5004
1581513166,4998,4998
1581515066,5009,5009
1581516975,4988,4988
1581518913,5006,5006
1581520809,5023,5023
1581522744,5085,5085
1581524653,5091,5091
1581526587,5069,5069
1581528491,5082,5082
1581530511,5072,5072
1581532355,5061,5061
1581534216,5073,5073
1581536186,5081,5081
1581538100,5066,5066
1581540014,5055,5055
1581541936,5055,5055
1581543853,5056,5056
1581545807,5078,5078
1581547711,5087,5087
1581549615,5092,5092
1581551535,5067,5067
1581553457,5050,5050
1581555372,5032,5032
1581557290,5015,5015
1581559326,4994,4994
1581561150,5022,5022
1581563425,5001,5001
1581565245,5006,5006
1581567240,4984,4984
1581569088,4993,4993
