DateTime,Entries,UniqueIPs
1580876175,1222,1222
1580878108,1233,1233
1580880018,1235,1235
1580881942,1231,1231
1580883870,1219,1219
1580885774,1230,1230
1580887698,1245,1245
1580890823,1255,1255
1580892729,1264,1264
1580894657,1271,1271
1580896581,1279,1279
1580898492,1291,1291
1580901374,1292,1292
1580903312,1293,1293
1580905212,1316,1316
1580907148,1322,1322
1580909054,1312,1312
1580910991,1317,1317
1580912890,1333,1333
1580915780,1348,1348
1580917699,1356,1356
1580919628,1368,1368
1580921535,1382,1382
1580923483,1390,1390
1580925379,1399,1399
1580927295,1408,1408
1580929537,1427,1427
1580931377,1437,1437
1580933318,1436,1436
1580935215,1444,1444
1580937145,1438,1438
1580939070,1444,1444
1580940985,1462,1462
1580942897,1469,1469
1580944822,1477,1477
1580946742,1473,1473
1580948675,1471,1471
1580950577,1479,1479
1580952493,1486,1486
1580954742,1479,1479
1580956586,1474,1474
1580958509,1492,1492
1580960417,1485,1485
1580962352,1488,1488
1580964289,1494,1494
1580966443,1478,1478
1580968346,1479,1479
1580970283,1473,1473
1580972179,1448,1448
1580974098,1432,1432
1580976386,1414,1414
1580978199,1402,1402
1580980120,1395,1395
1580982061,1385,1385
1580983965,1368,1368
1580985862,1358,1358
1580988107,1347,1347
1580989939,1338,1338
1580991888,1312,1312
1580993781,1302,1302
1580995843,1301,1301
1580997936,1295,1295
1580999794,1284,1284
1581001715,1272,1272
1581003653,1253,1253
1581005557,1234,1234
1581007472,1234,1234
1581009388,1214,1214
1581011547,1201,1201
1581013462,1202,1202
1581015393,1181,1181
1581017571,1161,1161
1581019553,1149,1149
1581021395,1148,1148
1581023355,1139,1139
1581025223,1129,1129
1581027157,1103,1103
1581029060,1091,1091
1581030983,1078,1078
1581032919,1071,1071
1581034817,1066,1066
1581036736,1053,1053
1581038671,1040,1040
1581040595,1043,1043
1581042527,1034,1034
1581044696,1009,1009
1581046605,1001,1001
1581048511,995,995
1581050421,987,987
1581052355,984,984
1581054268,973,973
1581056181,974,974
1581058115,979,979
1581060055,976,976
1581061944,983,983
1581063883,968,968
1581065783,975,975
1581067700,977,977
1581069895,974,974
1581071790,981,981
1581073706,967,967
1581075623,964,964
1581077567,971,971
1581079468,969,969
1581081406,969,969
1581083312,963,963
1581085222,961,961
1581087137,962,962
1581089072,963,963
1581090978,977,977
1581093151,977,977
1581095329,980,980
1581097224,986,986
1581099155,980,980
1581101092,976,976
1581103010,970,970
1581104915,972,972
1581106817,982,982
1581108738,984,984
1581110683,985,985
1581112577,986,986
1581114496,992,992
1581116813,1001,1001
1581118828,1007,1007
1581120751,1014,1014
1581122677,1022,1022
1581124577,1035,1035
1581126510,1043,1043
1581128412,1040,1040
1581130330,1035,1035
1581132267,1041,1041
1581134173,1054,1054
1581136106,1062,1062
1581138172,1065,1065
1581140175,1080,1080
1581142115,1077,1077
1581144015,1078,1078
1581145937,1087,1087
1581147876,1097,1097
1581149818,1097,1097
1581151942,1099,1099
1581153861,1093,1093
1581155789,1097,1097
1581157696,1109,1109
1581159837,1107,1107
1581161815,1114,1114
1581163708,1117,1117
1581165614,1119,1119
1581167541,1123,1123
1581169466,1121,1121
1581171392,1122,1122
1581173292,1115,1115
1581175223,1104,1104
1581177144,1100,1100
1581179051,1101,1101
1581180988,1164,1164
1581182889,1151,1151
1581184978,1136,1136
1581186971,1137,1137
1581188919,1146,1146
1581190813,1147,1147
1581192764,1151,1151
1581194656,1154,1154
1581196583,1153,1153
1581198523,1157,1157
1581200419,1143,1143
1581202333,1143,1143
1581204271,1143,1143
1581206172,1141,1141
1581208096,1143,1143
1581210234,1137,1137
1581212199,1130,1130
1581214357,1136,1136
1581216252,1137,1137
1581218179,1139,1139
1581220130,1132,1132
1581222009,1142,1142
1581223957,1131,1131
1581225885,1123,1123
1581227783,1116,1116
1581229691,1114,1114
1581232584,1109,1109
1581234522,1111,1111
1581236438,1111,1111
1581238346,1099,1099
1581240279,1097,1097
1581242185,1100,1100
1581244097,1095,1095
1581247021,1092,1092
1581248910,1104,1104
1581250816,1123,1123
1581252759,1129,1129
1581254671,1120,1120
1581256573,1153,1153
1581258507,1165,1165
1581260733,1731,1731
1581262593,1764,1764
1581264512,1775,1775
1581266418,1704,1704
1581268354,1707,1707
1581270266,1720,1720
1581272180,1722,1722
1581274112,1732,1732
1581276078,1739,1739
1581277936,1737,1737
