DateTime,Entries,UniqueIPs
1580878111,4333,4333
1580880020,4359,4359
1580881944,4399,4399
1580883872,4414,4414
1580885777,4443,4443
1580887700,4468,4468
1580889898,4491,4491
1580891783,4482,4482
1580893708,4459,4459
1580895624,4393,4393
1580897540,4360,4360
1580899485,4321,4321
1580901379,4264,4264
1580903315,4175,4175
1580905214,4047,4047
1580907150,3937,3937
1580909056,3820,3820
1580910993,3770,3770
1580912892,3728,3728
1580914909,3762,3762
1580916750,3779,3779
1580919630,3857,3857
1580921537,3933,3933
1580923515,3984,3984
1580925380,4025,4025
1580927297,4084,4084
1580929554,4127,4127
1580931378,4123,4123
1580933319,4121,4121
1580935216,4098,4098
1580937147,4083,4083
1580939072,4060,4060
1580940987,4028,4028
1580942899,4012,4012
1580944823,4000,4000
1580946744,3989,3989
1580948676,4003,4003
1580950602,4010,4010
1580952495,4041,4041
1580954759,4055,4055
1580956588,4047,4047
1580958511,4048,4048
1580960418,4043,4043
1580962354,4062,4062
1580964290,4067,4067
1580966446,4096,4096
1580968348,4118,4118
1580970285,4150,4150
1580972193,4143,4143
1580974100,4128,4128
1580976390,4106,4106
1580978201,4088,4088
1580980122,4079,4079
1580982064,4066,4066
1580983967,4056,4056
1580985864,4112,4112
1580988109,4148,4148
1580989941,4171,4171
1580991890,4162,4162
1580993783,4158,4158
1580995873,4170,4170
1580997955,4154,4154
1580999796,4132,4132
1581001717,4120,4120
1581003656,4113,4113
1581005559,4080,4080
1581007474,4031,4031
1581009390,3977,3977
1581011549,3942,3942
1581013464,3881,3881
1581015395,3844,3844
1581017573,3795,3795
1581019558,3733,3733
1581021398,3706,3706
1581023358,3635,3635
1581025226,3608,3608
1581027159,3557,3557
1581029063,3509,3509
1581030984,3462,3462
1581032921,3377,3377
1581034819,3296,3296
1581036738,3238,3238
1581038673,3188,3188
1581040596,3154,3154
1581042529,3151,3151
1581044698,3127,3127
1581046606,3145,3145
1581048513,3047,3047
1581050423,3029,3029
1581052357,2992,2992
1581054291,2954,2954
1581056183,2876,2876
1581058117,2735,2735
1581060057,2705,2705
1581061946,2702,2702
1581063885,2681,2681
1581065785,2655,2655
1581067701,2647,2647
1581069948,2622,2622
1581071808,2638,2638
1581073709,2576,2576
1581075625,2498,2498
1581077569,2494,2494
1581079470,2474,2474
1581081408,2448,2448
1581083313,2436,2436
1581085224,2420,2420
1581087162,2418,2418
1581089075,2448,2448
1581090980,2450,2450
1581093153,2459,2459
1581095097,2424,2424
1581096997,2405,2405
1581098898,2364,2364
1581100818,2370,2370
1581102777,2356,2356
1581104663,2356,2356
1581106578,2325,2325
1581108512,2300,2300
1581110425,2282,2282
1581112332,2274,2274
1581114269,2257,2257
1581116194,2233,2233
1581118112,2227,2227
1581120279,2215,2215
1581122188,2189,2189
1581124115,2162,2162
1581126012,2158,2158
1581127950,2125,2125
1581129855,2090,2090
1581131802,2067,2067
1581133700,2053,2053
1581135613,2024,2024
1581137544,2003,2003
1581139477,1988,1988
1581141386,1993,1993
1581143291,1982,1982
1581145473,1978,1978
1581147378,1970,1970
1581149346,1945,1945
1581151219,1933,1933
1581153133,1950,1950
1581155067,1947,1947
1581156999,1912,1912
1581159155,1857,1857
1581161057,1845,1845
1581163005,1825,1825
1581164897,1823,1823
1581167146,1826,1826
1581168977,1829,1829
1581170935,1841,1841
1581172818,1845,1845
1581174991,1815,1815
1581176948,1794,1794
1581178844,1801,1801
1581180739,1800,1800
1581182660,1814,1814
1581184611,1829,1829
1581186496,1834,1834
1581188650,1821,1821
1581190573,1813,1813
1581192766,1851,1851
1581194657,1863,1863
1581196585,1840,1840
1581198525,1847,1847
1581200421,1858,1858
1581202334,1831,1831
1581204272,1833,1833
1581206173,1843,1843
1581208098,1846,1846
1581210305,1864,1864
1581212202,1874,1874
1581214359,1860,1860
1581216254,1869,1869
1581218181,1907,1907
1581220132,1918,1918
1581222011,1927,1927
1581223959,1928,1928
1581225887,1939,1939
1581227786,1940,1940
1581229692,1937,1937
1581231768,1932,1932
1581233822,1923,1923
1581235691,1927,1927
1581237614,1921,1921
1581239569,1882,1882
1581241451,1879,1879
1581243376,1894,1894
1581245308,1890,1890
1581247236,1898,1898
1581249132,1917,1917
1581251067,1941,1941
1581253001,1950,1950
1581254894,1955,1955
1581257044,1965,1965
1581258999,1987,1987
1581260933,1994,1994
1581262815,2018,2018
1581264755,2024,2024
1581266657,1996,1996
1581268578,2004,2004
1581270513,2013,2013
1581272413,2026,2026
1581274333,2032,2032
1581276272,2039,2039
1581278172,2013,2013
1581280106,2044,2044
1581282235,2054,2054
1581284171,2045,2045
1581286118,2048,2048
1581288018,2053,2053
1581289953,2052,2052
1581291863,2050,2050
1581293777,2044,2044
1581295712,2038,2038
1581297611,2009,2009
1581299530,2020,2020
1581301469,2022,2022
1581303371,2032,2032
1581305297,2003,2003
1581307409,1998,1998
1581309445,2006,2006
1581311309,2022,2022
1581313213,2041,2041
1581315153,2055,2055
1581317055,2058,2058
1581319051,2043,2043
1581320933,2037,2037
1581322834,2023,2023
1581324735,2026,2026
1581326672,2055,2055
1581328581,2050,2050
1581330519,2059,2059
1581332753,2079,2079
1581334593,2071,2071
1581336509,2078,2078
1581338420,2076,2076
1581340450,2083,2083
1581342265,2089,2089
1581344180,2070,2070
1581346115,2056,2056
1581348022,2073,2073
1581349938,2056,2056
1581351891,2085,2085
1581353776,2098,2098
1581355697,2072,2072
1581357922,2070,2070
1581359820,2070,2070
1581361719,2078,2078
1581363622,2054,2054
1581365622,2042,2042
1581367483,2042,2042
1581369413,2044,2044
1581371319,2058,2058
1581373222,2056,2056
1581375197,2073,2073
1581377100,2080,2080
1581378987,2093,2093
1581380940,2106,2106
1581383169,2136,2136
1581384994,2143,2143
1581386899,2176,2176
1581388819,2204,2204
1581390796,2237,2237
1581392675,2273,2273
1581394837,2289,2289
1581396757,2302,2302
1581398681,2303,2303
1581400582,2314,2314
1581402523,2308,2308
1581404747,2330,2330
1581406590,2358,2358
1581408507,2408,2408
1581410422,2465,2465
1581412340,2478,2478
1581414270,2480,2480
1581416181,2477,2477
1581418395,2539,2539
1581420332,2553,2553
1581422190,2557,2557
1581424097,2557,2557
1581426117,2554,2554
1581427948,2545,2545
1581429933,2569,2569
1581431796,2583,2583
1581433710,2595,2595
1581435615,2616,2616
1581437537,2620,2620
1581439470,2630,2630
1581441377,2659,2659
1581443293,2664,2664
1581445248,2662,2662
1581447138,2660,2660
1581449056,2663,2663
1581450987,2656,2656
1581452895,2661,2661
1581455036,2667,2667
1581456999,2655,2655
1581458907,2649,2649
1581460843,2651,2651
1581462987,2645,2645
1581464893,2652,2652
1581466826,2677,2677
1581468731,2675,2675
1581470670,2681,2681
1581472627,2714,2714
1581474532,2729,2729
1581476573,2743,2743
1581478574,2764,2764
1581480506,2764,2764
1581482412,2767,2767
1581484332,2753,2753
1581486269,2745,2745
1581488202,2730,2730
1581490097,2711,2711
1581492030,2698,2698
1581493956,2689,2689
1581495856,2639,2639
1581497788,2588,2588
1581499693,2556,2556
1581501802,2519,2519
1581503780,2449,2449
1581505725,2442,2442
1581507618,2455,2455
1581509806,2449,2449
1581511704,2450,2450
1581513643,2478,2478
1581515545,2493,2493
1581517481,2500,2500
1581519385,2509,2509
1581521314,2507,2507
1581523400,2518,2518
1581525393,2530,2530
1581527556,2558,2558
1581529458,2549,2549
1581531376,2533,2533
1581533312,2513,2513
1581535212,2519,2519
1581537131,2513,2513
1581539077,2489,2489
1581541040,2465,2465
1581542903,2471,2471
1581544948,2470,2470
1581546761,2486,2486
1581548925,2489,2489
1581550843,2485,2485
1581552737,2456,2456
1581554653,2439,2439
1581556574,2444,2444
1581558505,2425,2425
1581560412,2421,2421
1581562350,2405,2405
1581564282,2381,2381
1581566616,2377,2377
1581568443,2378,2378
1581570545,2412,2412
1581572445,2423,2423
1581574677,2442,2442
1581576502,2464,2464
1581578491,2466,2466
1581580337,2467,2467
1581582296,2516,2516
1581584199,2575,2575
1581586140,2624,2624
1581588185,2687,2687
1581590173,2719,2719
1581592108,2728,2728
1581594028,2702,2702
1581595972,2693,2693
1581597877,2694,2694
1581599783,2654,2654
1581601942,2624,2624
1581603864,2605,2605
1581605821,2585,2585
1581607774,2602,2602
1581609895,2570,2570
1581611772,2586,2586
1581613696,2537,2537
1581615615,2546,2546
1581617544,2553,2553
1581619480,2547,2547
1581621387,2532,2532
1581623294,2519,2519
1581625229,2518,2518
1581627152,2516,2516
1581629059,2501,2501
1581630975,2470,2470
1581632891,2445,2445
1581635009,2417,2417
1581636976,2419,2419
1581638905,2424,2424
1581640815,2427,2427
1581642792,2407,2407
1581644652,2391,2391
1581646571,2356,2356
1581648494,2339,2339
1581650415,2304,2304
1581652334,2290,2290
1581654288,2279,2279
1581656177,2257,2257
1581658093,2255,2255
1581660032,2237,2237
1581661948,2221,2221
1581663903,2202,2202
1581665797,2215,2215
1581667705,2204,2204
1581669633,2181,2181
1581671537,2143,2143
1581673454,2111,2111
1581675393,2088,2088
1581677296,2064,2064
1581679251,2082,2082
1581681135,2087,2087
1581683054,2100,2100
1581684977,2105,2105
1581686891,2114,2114
1581688939,2135,2135
1581690740,2158,2158
1581692710,2177,2177
1581694579,2158,2158
1581696509,2179,2179
1581698416,2146,2146
1581700339,2132,2132
1581702268,2112,2112
1581704202,2124,2124
1581706096,2136,2136
1581708029,2144,2144
1581709932,2158,2158
1581711875,2208,2208
1581713788,2261,2261
1581715693,2323,2323
1581717765,2377,2377
1581719773,2424,2424
1581721744,2477,2477
1581723615,2515,2515
1581725797,2574,2574
1581727694,2626,2626
1581729627,2686,2686
1581731531,2735,2735
1581733452,2792,2792
1581735386,2828,2828
1581737293,2869,2869
1581740181,2921,2921
1581742129,2978,2978
1581744020,3016,3016
1581745934,3070,3070
1581747873,3123,3123
1581749781,3165,3165
1581751959,3213,3213
1581753918,3243,3243
1581755794,3270,3270
1581757712,3341,3341
1581759874,3382,3382
1581761800,3412,3412
1581763744,3496,3496
1581765622,3521,3521
1581767555,3541,3541
1581769475,3588,3588
1581771382,3609,3609
1581773300,3651,3651
1581775481,3682,3682
1581777391,3683,3683
1581779322,3698,3698
1581781245,3709,3709
1581783192,3731,3731
1581785064,3772,3772
1581786984,3827,3827
1581788919,3859,3859
1581790848,3905,3905
1581792750,3961,3961
1581794696,3988,3988
1581796598,4013,4013
1581798505,3992,3992
1581800730,3973,3973
1581802854,3982,3982
1581804986,3972,3972
1581806902,3970,3970
1581808817,3973,3973
1581810747,3976,3976
1581812674,3978,3978
1581814585,3945,3945
1581816497,3965,3965
1581818695,3994,3994
1581820597,3982,3982
1581822517,3977,3977
1581824443,3983,3983
1581826346,3985,3985
1581828319,3991,3991
1581830186,3989,3989
1581832102,3985,3985
1581834029,3975,3975
1581835944,3969,3969
1581837872,3954,3954
1581839788,3963,3963
1581841696,3941,3941
1581843867,3934,3934
1581845775,3900,3900
1581847717,3857,3857
1581849620,3808,3808
1581851543,3778,3778
