DateTime,AddedIPs,RemovedIPs
1580872352,3,5
1580874263,0,6
1580876178,1,2
1580878112,4,2
1580880020,1,4
1580881945,3,5
1580883873,1,1
1580885778,2,2
1580887701,2,6
1580889935,2,3
1580891784,6,7
1580893709,3,5
1580895625,5,2
1580897541,9,3
1580899486,3,2
1580901380,2,2
1580903316,1,0
1580905215,4,0
1580907151,4,6
1580909057,2,2
1580910993,3,1
1580912893,1,3
1580916035,1,5
1580917937,2,1
1580919858,2,2
1580921792,3,2
1580923708,5,6
1580925878,5,3
1580927774,3,3
1580929836,7,5
1580931872,3,0
1580933901,4,5
1580935946,4,5
1580937855,1,2
1580939789,4,1
1580941696,5,3
1580944018,6,2
1580946021,7,2
1580947964,9,5
1580949859,8,5
1580951775,5,4
1580953711,10,0
1580955610,5,0
1580957555,7,2
1580959466,2,2
1580961375,4,1
1580963293,6,3
1580965319,5,3
1580967134,2,2
1580969100,2,3
1580970987,7,3
1580972926,1,0
1580974820,3,4
1580976757,5,2
1580978662,6,5
1580980580,1,1
1580982523,4,7
1580984421,8,9
1580986350,7,2
1580988269,4,2
1580990173,3,2
1580992367,9,2
1580994339,3,4
1580996236,3,3
1580998121,4,2
1581000022,12,2
1581002202,7,1
1581004110,5,3
1581006032,7,3
1581007953,3,4
1581009859,1,6
1581011787,0,5
1581013693,3,4
1581015852,4,5
1581017823,6,4
1581019963,1,3
1581021855,7,3
1581023775,3,2
1581025710,4,5
1581027623,2,4
1581029550,3,5
1581031470,3,6
1581033372,4,7
1581035295,4,9
1581037416,2,9
1581039387,2,7
1581041293,3,5
1581043222,3,7
1581045154,11,4
1581047056,3,2
1581048976,2,6
1581050911,6,5
1581052813,4,2
1581054729,2,0
1581056703,2,4
1581058570,1,4
1581060489,2,3
1581062584,6,3
1581064588,3,5
1581066505,3,3
1581068413,4,3
1581070352,4,7
1581072258,3,6
1581074178,3,8
1581076110,3,4
1581078037,5,6
1581079959,1,4
1581081865,2,2
1581083770,12,4
1581085690,0,10
1581087794,0,10
1581089787,8,5
1581091702,1,8
1581093614,2,3
1581095560,1,2
1581097458,2,0
1581099389,3,1
1581101310,4,2
1581103253,1,3
1581105132,1,5
1581107071,2,2
