DateTime,AddedIPs,RemovedIPs
1580870422,109,106
1580872353,315,113
1580874264,94,107
1580876179,112,90
1580878114,102,129
1580880022,95,112
1580881947,112,121
1580883874,120,106
1580885780,106,81
1580887704,139,109
1580889954,160,140
1580891786,109,103
1580893711,95,109
1580895627,106,149
1580897543,108,103
1580899488,83,123
1580901382,96,100
1580903318,116,113
1580905217,101,122
1580907152,111,113
1580909059,93,119
1580910995,109,100
1580912894,82,123
1580916037,168,176
1580917939,109,102
1580919860,89,98
1580921794,102,110
1580923710,93,134
1580925918,96,125
1580927778,120,127
1580929837,121,149
1580931873,99,138
1580933932,123,151
1580935948,108,163
1580937857,104,124
1580939792,89,130
1580941699,105,123
1580944020,124,146
1580946023,1259,161
1580947966,1218,115
1580949861,1730,109
1580951777,1471,112
1580953713,1417,109
1580955612,1139,92
1580957557,1580,284
1580959468,1328,84
1580961377,1447,97
1580963295,1374,89
1580965387,1609,90
1580967391,1399,89
1580969339,1472,101
1580971215,1189,91
1580973180,1312,93
1580975056,1428,111
1580977014,1291,106
1580978910,1616,75
1580980827,1242,78
1580982749,1450,93
1580984672,1250,97
1580986575,1183,72
1580988495,942,65
1580991612,2038,117
1580993544,1452,74
1580995461,1176,53
1580997433,1139,74
1580999292,1312,55
1581001410,469,61
1581003374,69,63
1581005324,58,64
1581007226,74,75
1581009138,77,66
1581011124,81,56
1581012978,51,59
1581014898,71,67
1581016838,74,62
1581018753,62,51
1581020676,69,67
1581022581,73,79
1581024498,68,56
1581026672,63,74
1581028602,79,54
1581030508,49,55
1581032432,79,1280
1581034358,184,1165
1581036263,77,1692
1581038191,92,1452
1581040120,79,1382
1581042018,89,1133
1581043937,83,1537
1581045875,91,1323
1581047781,114,1398
1581049698,77,1357
1581052580,141,2149
1581054510,97,1380
1581056413,67,1255
1581058334,96,1413
1581060275,80,1284
1581062174,110,1455
1581064094,82,1369
1581066224,131,1590
1581068192,157,1461
1581070108,138,1262
1581072019,96,1348
1581073955,111,1033
1581075858,87,1092
1581077799,109,1332
1581079713,92,1474
1581081615,100,1161
1581083542,93,1138
1581085472,99,1391
1581087396,100,692
1581089292,91,98
1581091481,123,111
1581093386,97,116
1581095331,103,128
1581097226,93,139
1581099158,101,101
1581101095,176,105
1581103013,128,111
1581104917,107,94
