DateTime,Entries,UniqueIPs
1580870422,9897,9897
1580872353,10099,10099
1580874264,10086,10086
1580876179,10108,10108
1580878114,10081,10081
1580880022,10064,10064
1580881947,10055,10055
1580883874,10069,10069
1580885780,10094,10094
1580887704,10124,10124
1580889954,10144,10144
1580891786,10150,10150
1580893711,10136,10136
1580895627,10093,10093
1580897543,10098,10098
1580899488,10058,10058
1580901382,10054,10054
1580903318,10057,10057
1580905217,10036,10036
1580907152,10034,10034
1580909059,10008,10008
1580910995,10017,10017
1580912894,9976,9976
1580916037,9968,9968
1580917939,9975,9975
1580919860,9966,9966
1580921794,9958,9958
1580923710,9917,9917
1580925918,9888,9888
1580927778,9881,9881
1580929837,9853,9853
1580931873,9814,9814
1580933932,9786,9786
1580935948,9731,9731
1580937857,9711,9711
1580939792,9670,9670
1580941699,9652,9652
1580944020,9630,9630
1580946023,10728,10728
1580947966,11831,11831
1580949861,13452,13452
1580951777,14811,14811
1580953713,16119,16119
1580955612,17166,17166
1580957557,18462,18462
1580959468,19706,19706
1580961377,21056,21056
1580963295,22341,22341
1580965387,23860,23860
1580967391,25170,25170
1580969339,26541,26541
1580971215,27639,27639
1580973180,28858,28858
1580975056,30175,30175
1580977014,31360,31360
1580978910,32901,32901
1580980827,34065,34065
1580982749,35422,35422
1580984672,36575,36575
1580986575,37686,37686
1580988495,38563,38563
1580991612,40484,40484
1580993544,41862,41862
1580995461,42985,42985
1580997433,44050,44050
1580999292,45307,45307
1581001410,45715,45715
1581003374,45721,45721
1581005324,45715,45715
1581007226,45714,45714
1581009138,45725,45725
1581011124,45750,45750
1581012978,45742,45742
1581014898,45746,45746
1581016838,45758,45758
1581018753,45769,45769
1581020676,45771,45771
1581022581,45765,45765
1581024498,45777,45777
1581026672,45766,45766
1581028602,45791,45791
1581030508,45785,45785
1581032432,44584,44584
1581034358,43603,43603
1581036263,41988,41988
1581038191,40628,40628
1581040120,39325,39325
1581042018,38281,38281
1581043937,36827,36827
1581045875,35595,35595
1581047781,34311,34311
1581049698,33031,33031
1581052580,31023,31023
1581054510,29740,29740
1581056413,28552,28552
1581058334,27235,27235
1581060275,26031,26031
1581062174,24686,24686
1581064094,23399,23399
1581066224,21940,21940
1581068192,20636,20636
1581070108,19512,19512
1581072019,18260,18260
1581073955,17338,17338
1581075858,16333,16333
1581077799,15110,15110
1581079713,13728,13728
1581081615,12667,12667
1581083542,11622,11622
1581085472,10330,10330
1581087396,9738,9738
1581089292,9731,9731
1581091481,9743,9743
1581093386,9724,9724
1581095331,9699,9699
1581097226,9653,9653
1581099158,9653,9653
1581101095,9724,9724
1581103013,9741,9741
1581104917,9754,9754
1581106819,9732,9732
1581108740,9732,9732
1581110685,9643,9643
1581112579,9624,9624
1581114498,9619,9619
1581116819,9588,9588
1581118830,9569,9569
1581120754,9586,9586
1581122680,9576,9576
1581124579,9558,9558
1581126512,9558,9558
1581128414,9544,9544
1581130332,9548,9548
1581132269,9514,9514
1581134176,9493,9493
1581136108,9507,9507
1581138270,9493,9493
1581140188,9506,9506
1581142117,9506,9506
1581144018,9480,9480
1581145939,9475,9475
1581147879,9478,9478
1581149829,9472,9472
1581151945,9414,9414
1581153863,9377,9377
1581155791,9329,9329
1581157698,9310,9310
1581159926,9281,9281
1581161817,9273,9273
1581163710,9247,9247
1581165616,9238,9238
1581167548,9223,9223
1581169468,9199,9199
1581171394,9188,9188
1581173294,9163,9163
1581175225,9150,9150
1581177146,9144,9144
1581179053,9130,9130
1581180990,9111,9111
