DateTime,AddedIPs,RemovedIPs
1580876180,50,64
1580878115,54,79
1580880023,50,82
1580881948,57,80
1580883876,62,68
1580885781,66,62
1580887705,73,61
1580889963,74,74
1580891787,63,69
1580893712,57,54
1580895628,65,164
1580897544,65,66
1580899489,50,70
1580901383,82,60
1580903319,71,75
1580905218,69,88
1580907154,70,68
1580909060,62,86
1580910996,57,63
1580912895,52,83
1580916063,105,99
1580917940,53,99
1580919862,65,59
1580921796,56,62
1580923711,62,67
1580925943,63,76
1580927780,63,88
1580929838,64,70
1580931875,61,77
1580933934,72,91
1580935949,81,87
1580937858,53,81
1580939793,69,78
1580941701,75,92
1580944022,71,89
1580946024,74,96
1580947967,73,66
1580949862,53,45
1580951779,71,70
1580953714,61,63
1580955613,65,68
1580957558,81,64
1580959470,57,58
1580961380,67,54
1580963296,71,47
1580965423,69,69
1580967393,64,61
1580969340,65,58
1580971216,57,61
1580973181,69,65
1580975058,51,56
1580977016,74,64
1580978911,58,51
1580980829,58,55
1580982750,50,57
1580984674,57,67
1580986576,64,66
1580988496,62,65
1580991615,89,108
1580993545,58,59
1580995463,43,46
1580997433,67,52
1580999293,67,51
1581001426,70,66
1581003375,49,62
1581005325,69,54
1581007227,84,65
1581009139,72,54
1581011127,79,55
1581012979,56,42
1581014899,59,58
1581016839,57,63
1581018754,66,59
1581020677,61,56
1581022582,66,72
1581024499,53,53
1581026679,79,73
1581028604,87,64
1581030509,67,56
1581032433,76,268
1581034359,57,64
1581036263,87,53
1581038192,77,53
1581040121,48,64
1581042020,60,60
1581043938,57,87
1581045876,58,58
1581047782,58,59
1581049700,72,79
1581052581,114,106
1581054511,77,69
1581056415,52,70
1581058335,55,56
1581060277,57,59
1581062180,61,66
1581064095,49,68
1581066263,67,73
1581068193,58,54
1581070114,74,55
1581072020,65,94
1581073957,62,88
1581075859,55,65
1581077801,72,56
1581079714,58,61
1581081616,64,47
1581083543,55,60
1581085474,59,64
1581087397,43,66
1581089293,57,44
1581091512,67,66
1581093387,45,72
1581095332,49,77
1581097227,45,84
1581099158,61,59
1581101096,55,41
1581103014,69,62
1581104918,64,68
1581106819,46,60
1581108741,62,70
1581110686,58,75
1581112580,58,77
1581114499,74,71
1581116820,76,76
1581118848,63,88
1581120755,82,53
1581122681,64,70
1581124580,71,78
1581126513,64,48
1581128427,75,51
1581130333,64,59
1581132270,70,56
1581134177,78,67
1581136110,68,70
1581138289,52,109
1581140198,76,79
1581142118,61,69
1581144019,52,69
1581145958,54,60
1581147880,66,60
1581149831,72,48
1581151946,50,74
1581153864,74,58
1581155792,48,81
1581157699,70,68
1581159944,65,76
1581161818,63,47
1581163712,45,65
1581165618,70,66
1581167549,55,60
1581169469,48,62
1581171395,56,54
1581173296,55,62
1581175227,48,50
1581177147,63,55
1581179054,64,49
1581180993,59,46
1581182894,60,49
1581185123,70,62
1581186974,55,62
1581188923,44,74
1581190862,50,58
1581192769,60,44
1581194661,64,65
1581196588,60,68
1581198528,54,53
1581200424,66,71
1581202338,60,61
1581204275,56,61
1581206198,90,69
1581208101,79,67
1581210328,131,73
1581212235,81,65
1581214361,69,73
1581216256,49,71
1581218184,54,52
1581220134,62,69
1581222014,59,62
1581223961,62,53
1581225889,89,61
1581227789,56,61
1581229695,65,56
1581231891,75,72
1581233825,69,54
1581235694,61,60
1581237617,83,59
1581239572,111,50
1581241454,80,55
1581243379,54,66
1581245312,70,58
1581247238,62,57
1581249135,82,53
1581251070,53,58
1581253006,62,64
1581254897,72,46
1581257134,71,62
1581259002,70,57
1581260936,61,48
1581262819,53,51
1581264759,64,52
1581266660,76,56
1581268580,64,56
1581270516,58,72
1581272417,60,60
1581274336,61,52
1581276282,422,62
1581278177,961,52
1581280110,51,49
1581282363,51,61
1581284174,62,69
1581286121,72,49
1581288021,62,68
1581289956,61,47
1581291866,82,72
1581293780,73,85
1581295716,66,90
1581297615,77,93
1581299533,63,65
1581301473,85,60
1581303374,120,50
1581305300,60,46
1581307461,69,63
1581309449,77,53
1581311313,83,63
1581313217,71,72
1581315156,83,52
1581317058,68,65
1581319055,67,69
1581320936,67,57
1581322838,61,62
1581324739,64,69
1581326676,77,83
1581328588,68,71
1581330523,70,63
1581332780,91,78
1581334597,67,73
1581336513,69,63
1581338424,57,56
1581340454,83,64
1581342269,42,51
1581344185,61,86
1581346118,54,57
1581348026,66,63
1581349942,46,51
1581351930,59,70
1581353780,48,48
1581355700,57,58
1581357936,109,67
1581359825,270,57
1581361723,70,122
1581363626,53,640
1581365629,61,657
1581367489,48,55
1581369419,70,57
1581371325,64,66
1581373246,72,69
1581375202,64,61
1581377108,52,69
1581378992,63,64
1581380946,61,189
1581383179,68,75
1581384999,51,50
1581386915,58,72
1581388824,70,106
1581390801,59,119
1581392681,79,50
1581394850,79,78
1581396771,65,73
1581398686,61,77
1581400587,66,67
1581402537,59,81
1581404799,137,80
1581406821,84,66
1581408751,57,57
1581410698,88,55
1581412582,55,80
1581414536,38,64
1581416434,58,73
1581418400,66,66
1581420336,67,88
1581422194,46,64
1581424139,73,73
1581426280,59,93
1581428179,66,60
1581430115,68,39
1581432040,51,72
1581433943,40,54
1581435887,56,60
1581437775,47,58
1581439698,56,41
1581441629,67,56
1581443533,52,82
1581445521,70,316
1581447393,102,70
1581449293,96,64
1581451434,93,54
1581453374,94,76
1581455322,114,76
1581457217,57,51
1581459140,57,54
1581461074,59,66
1581462991,50,60
1581464897,60,60
1581466830,73,71
1581468734,70,49
1581470673,355,66
1581472630,73,63
1581474553,63,57
1581476743,84,62
1581478579,81,76
1581480510,70,60
1581482418,75,66
1581484336,70,63
1581486274,61,69
1581488206,49,52
1581490101,71,111
1581492034,69,84
1581493961,76,75
1581495860,691,59
1581497792,2282,66
1581499698,61,53
1581501902,58,63
1581503783,38,56
1581505727,43,46
1581507621,61,37
1581509811,69,50
1581511707,39,54
1581513645,47,50
1581515566,45,59
1581517486,64,38
1581519387,53,42
1581521316,57,42
1581523435,54,36
1581525395,64,42
1581527558,79,69
1581529463,44,73
1581531378,56,40
1581533315,59,77
1581535216,38,70
1581537136,43,55
1581539080,54,59
1581541043,54,70
1581542905,54,59
1581545083,56,59
1581546980,69,54
1581548929,53,31
1581550846,73,39
1581552739,41,65
1581554656,57,47
1581556577,56,260
1581558508,59,62
1581560415,53,70
1581562353,50,52
1581564284,50,63
1581566619,64,55
1581568448,59,53
1581570548,57,55
1581572448,69,43
1581574681,74,45
1581576507,51,56
1581578494,61,51
1581580341,77,64
1581582301,50,826
1581584201,56,2324
1581586143,66,64
1581588214,79,73
1581590176,61,59
1581592110,67,60
1581594068,64,83
1581595975,60,68
1581597884,60,53
1581599790,60,52
1581601945,54,67
1581603869,54,74
1581605826,75,81
1581607776,70,65
1581609946,68,78
1581611775,62,73
1581613698,57,79
1581615618,68,60
1581617547,59,83
1581619486,62,74
1581621390,48,52
1581623297,47,61
1581625232,41,72
1581627157,52,61
1581629063,78,46
1581630979,69,83
1581632893,68,81
1581635138,77,77
1581636980,89,106
1581638907,88,60
1581640818,95,54
1581642810,92,73
1581644670,81,74
1581646574,79,67
1581648497,76,64
1581650418,65,66
1581652337,51,67
1581654291,74,64
1581656180,61,78
1581658097,70,83
1581661250,98,135
1581663136,59,72
1581665069,61,70
1581666975,192,89
1581668891,49,75
1581671086,62,86
1581672974,49,65
1581674932,44,57
1581676816,42,66
1581678760,56,65
1581680660,38,77
1581682604,46,66
1581684494,60,61
1581686441,47,59
1581688365,39,52
1581690267,54,56
1581692191,62,92
1581694117,44,66
1581696260,43,80
1581698179,48,64
1581700157,55,57
1581702035,44,59
1581703942,70,74
1581705875,51,57
1581707788,62,56
1581709708,59,47
1581711657,74,43
1581713559,74,43
1581715455,65,84
1581717397,60,68
1581719305,66,58
1581721558,76,65
1581723377,48,94
1581725332,70,90
1581727228,58,90
1581729144,64,80
1581731077,42,83
1581733034,62,68
1581734907,73,78
1581736830,76,53
1581738740,51,51
1581740718,61,81
1581742594,41,66
1581744499,49,59
1581746511,42,58
1581748366,67,69
1581750221,47,44
1581752208,56,82
1581754092,63,216
1581756021,68,39
1581757957,52,52
1581759879,37,61
1581761803,59,41
1581763748,73,37
1581765627,63,49
1581767559,46,31
1581769480,59,44
1581771385,46,54
1581773303,65,46
1581775490,46,46
1581777396,62,70
1581779326,43,54
1581781248,60,34
1581783197,53,41
1581785067,60,59
1581786987,77,44
1581788947,52,51
1581790862,45,46
1581792754,24,48
1581794699,89,49
1581796603,96,53
1581798508,136,69
1581800736,103,73
1581802868,87,57
1581804990,61,78
1581806907,75,55
1581808820,69,57
1581810751,76,69
1581812678,94,64
1581814601,82,69
1581816501,88,59
1581818723,69,66
1581820600,52,51
1581822559,59,66
1581824445,63,51
1581826350,52,50
1581828328,61,40
1581830190,58,47
1581832107,345,36
1581834033,689,41
1581835948,410,57
1581837875,64,50
1581839791,70,59
1581841700,68,148
1581843884,70,56
1581845779,64,41
1581847720,45,74
1581849625,62,51
1581851547,138,55
