DateTime,Entries,UniqueIPs
1580876180,4213,4213
1580878115,4188,4188
1580880023,4156,4156
1580881948,4133,4133
1580883876,4127,4127
1580885781,4131,4131
1580887705,4143,4143
1580889963,4143,4143
1580891787,4137,4137
1580893712,4140,4140
1580895628,4041,4041
1580897544,4040,4040
1580899489,4020,4020
1580901383,4042,4042
1580903319,4038,4038
1580905218,4019,4019
1580907154,4021,4021
1580909060,3997,3997
1580910996,3991,3991
1580912895,3960,3960
1580916063,3966,3966
1580917940,3920,3920
1580919862,3926,3926
1580921796,3920,3920
1580923711,3915,3915
1580925943,3902,3902
1580927780,3877,3877
1580929838,3871,3871
1580931875,3855,3855
1580933934,3836,3836
1580935949,3830,3830
1580937858,3802,3802
1580939793,3793,3793
1580941701,3776,3776
1580944022,3758,3758
1580946024,3736,3736
1580947967,3743,3743
1580949862,3751,3751
1580951779,3752,3752
1580953714,3750,3750
1580955613,3747,3747
1580957558,3764,3764
1580959470,3763,3763
1580961380,3776,3776
1580963296,3800,3800
1580965423,3800,3800
1580967393,3803,3803
1580969340,3810,3810
1580971216,3806,3806
1580973181,3810,3810
1580975058,3805,3805
1580977016,3815,3815
1580978911,3822,3822
1580980829,3825,3825
1580982750,3818,3818
1580984674,3808,3808
1580986576,3806,3806
1580988496,3803,3803
1580991615,3784,3784
1580993545,3783,3783
1580995463,3780,3780
1580997433,3795,3795
1580999293,3811,3811
1581001426,3815,3815
1581003375,3802,3802
1581005325,3817,3817
1581007227,3836,3836
1581009139,3854,3854
1581011127,3878,3878
1581012979,3892,3892
1581014899,3893,3893
1581016839,3887,3887
1581018754,3894,3894
1581020677,3899,3899
1581022582,3893,3893
1581024499,3893,3893
1581026679,3899,3899
1581028604,3922,3922
1581030509,3933,3933
1581032433,3741,3741
1581034359,3734,3734
1581036263,3768,3768
1581038192,3792,3792
1581040121,3776,3776
1581042020,3776,3776
1581043938,3746,3746
1581045876,3746,3746
1581047782,3745,3745
1581049700,3738,3738
1581052581,3746,3746
1581054511,3754,3754
1581056415,3736,3736
1581058335,3735,3735
1581060277,3733,3733
1581062180,3728,3728
1581064095,3709,3709
1581066263,3703,3703
1581068193,3707,3707
1581070114,3726,3726
1581072020,3697,3697
1581073957,3671,3671
1581075859,3661,3661
1581077801,3677,3677
1581079714,3674,3674
1581081616,3691,3691
1581083543,3686,3686
1581085474,3681,3681
1581087397,3658,3658
1581089293,3671,3671
1581091512,3672,3672
1581093387,3645,3645
1581095332,3617,3617
1581097227,3578,3578
1581099158,3580,3580
1581101096,3594,3594
1581103014,3601,3601
1581104918,3597,3597
1581106819,3583,3583
1581108741,3575,3575
1581110686,3558,3558
1581112580,3539,3539
1581114499,3542,3542
1581116820,3542,3542
1581118848,3517,3517
1581120755,3546,3546
1581122681,3540,3540
1581124580,3533,3533
1581126513,3549,3549
1581128427,3573,3573
1581130333,3578,3578
1581132270,3592,3592
1581134177,3603,3603
1581136110,3601,3601
1581138289,3544,3544
1581140198,3541,3541
1581142118,3533,3533
1581144019,3516,3516
1581145958,3510,3510
1581147880,3516,3516
1581149831,3540,3540
1581151946,3516,3516
1581153864,3532,3532
1581155792,3499,3499
1581157699,3501,3501
1581159944,3490,3490
1581161818,3506,3506
1581163712,3486,3486
1581165618,3490,3490
1581167549,3485,3485
1581169469,3471,3471
1581171395,3473,3473
1581173296,3466,3466
1581175227,3464,3464
1581177147,3472,3472
1581179054,3487,3487
1581180993,3500,3500
1581182894,3511,3511
1581185123,3519,3519
1581186974,3512,3512
1581188923,3482,3482
1581190862,3474,3474
1581192769,3490,3490
1581194661,3489,3489
1581196588,3481,3481
1581198528,3482,3482
1581200424,3477,3477
1581202338,3476,3476
1581204275,3471,3471
1581206198,3492,3492
1581208101,3504,3504
1581210328,3562,3562
1581212235,3578,3578
1581214361,3574,3574
1581216256,3552,3552
1581218184,3554,3554
1581220134,3547,3547
1581222014,3544,3544
1581223961,3553,3553
1581225889,3581,3581
1581227789,3576,3576
1581229695,3585,3585
1581231891,3588,3588
1581233825,3603,3603
1581235694,3604,3604
1581237617,3628,3628
1581239572,3689,3689
1581241454,3714,3714
1581243379,3702,3702
1581245312,3714,3714
1581247238,3719,3719
1581249135,3748,3748
1581251070,3743,3743
1581253006,3741,3741
1581254897,3767,3767
1581257134,3776,3776
1581259002,3789,3789
1581260936,3802,3802
1581262819,3804,3804
1581264759,3816,3816
1581266660,3836,3836
1581268580,3844,3844
1581270516,3830,3830
1581272417,3830,3830
1581274336,3839,3839
1581276282,4199,4199
1581278177,5108,5108
1581280110,5110,5110
1581282363,5100,5100
1581284174,5093,5093
1581286121,5116,5116
1581288021,5110,5110
1581289956,5124,5124
1581291866,5134,5134
1581293780,5122,5122
1581295716,5098,5098
1581297615,5082,5082
1581299533,5080,5080
1581301473,5105,5105
1581303374,5175,5175
1581305300,5189,5189
1581307461,5195,5195
1581309449,5219,5219
1581311313,5239,5239
1581313217,5238,5238
1581315156,5269,5269
1581317058,5272,5272
1581319055,5270,5270
1581320936,5280,5280
1581322838,5279,5279
1581324739,5274,5274
1581326676,5268,5268
1581328588,5265,5265
1581330523,5272,5272
1581332780,5285,5285
1581334597,5279,5279
1581336513,5285,5285
1581338424,5286,5286
1581340454,5305,5305
1581342269,5296,5296
1581344185,5271,5271
1581346118,5268,5268
1581348026,5271,5271
1581349942,5266,5266
1581351930,5255,5255
1581353780,5255,5255
1581355700,5254,5254
1581357936,5296,5296
1581359825,5509,5509
1581361723,5457,5457
1581363626,4870,4870
1581365629,4274,4274
1581367489,4267,4267
1581369419,4280,4280
1581371325,4278,4278
1581373246,4281,4281
1581375202,4284,4284
1581377108,4267,4267
1581378992,4266,4266
1581380946,4138,4138
