DateTime,AddedIPs,RemovedIPs
1580869237,0,2
1580871134,5,1
1580873079,2,3
1580874975,2,3
1580877140,1,5
1580878997,2,6
1580880825,7,7
1580882754,6,3
1580884579,3,4
1580886511,2,5
1580888431,3,3
1580890337,4,5
1580892267,2,3
1580894178,2,2
1580896098,5,2
1580898022,5,0
1580899934,2,4
1580901890,1,0
1580903771,2,5
1580905701,2,4
1580907843,1,4
1580909778,6,3
1580911717,3,3
1580913616,4,4
1580915537,4,3
1580917463,2,0
1580919384,2,1
1580921300,2,4
1580923223,2,7
1580925137,3,2
1580927058,4,6
1580928987,3,5
1580930907,3,2
1580933030,1,2
1580935030,6,1
1580936924,5,0
1580938818,3,0
1580940739,1,6
1580942668,3,5
1580944609,0,1
1580946513,1,1
1580948441,1,4
1580950332,3,4
1580952268,4,2
1580954190,5,1
1580956100,4,1
1580958219,2,4
1580960204,1,2
1580962105,2,2
1580964041,5,2
1580965978,3,5
1580967876,8,5
1580969784,14,6
1580971710,4,1
1580973612,4,4
1580975541,2,2
1580977471,8,4
1580979374,5,1
1580981301,4,3
1580983543,1,7
1580985390,2,3
1580987310,3,2
1580989215,1,0
1580991153,1,4
1580993056,5,0
1580995233,2,4
1580997176,2,5
1580999071,0,3
1581000975,3,5
1581002912,3,1
1581004979,3,3
1581006975,3,3
1581008913,10,1
1581010820,2,2
1581012740,1,2
1581014672,4,7
1581016581,3,2
1581018754,4,1
1581020678,8,5
1581022583,4,5
1581024500,8,5
1581026680,4,1
1581028605,4,2
1581030510,9,1
1581032434,2,1
1581034359,2,0
1581036264,7,4
1581038193,2,4
1581040121,2,4
1581042021,3,4
1581043938,2,2
1581045877,3,1
1581047783,3,3
1581049701,2,4
1581051659,2,1
1581053548,3,7
1581055704,4,14
1581057619,2,8
1581059590,2,3
1581061459,1,3
1581063376,2,5
1581065351,6,7
1581067216,1,3
1581069157,3,3
1581071080,6,1
1581072980,7,3
1581075141,1,2
1581077162,4,1
1581078993,3,5
1581080906,3,2
1581082820,2,1
1581084757,1,1
1581086661,2,2
1581088587,0,3
1581090515,0,3
1581092426,4,1
1581094334,1,6
1581096276,2,8
1581098176,0,2
1581100099,4,1
1581102141,3,5
1581103942,4,2
1581105875,2,5
1581107792,6,9
1581109728,3,4
1581111619,5,8
1581113550,3,1
1581115536,2,6
1581117390,2,7
1581119318,3,3
1581121215,3,1
1581123176,3,7
1581125076,4,2
1581126979,2,2
1581128894,2,3
1581131104,4,4
1581132990,4,2
1581134894,2,3
1581136829,3,1
1581138735,3,3
1581140671,2,4
1581142580,4,3
1581144497,5,1
1581146427,5,3
1581148341,1,1
1581150266,0,3
1581152190,3,4
1581154093,2,2
1581156110,5,4
1581157947,3,5
1581159950,5,6
1581161819,3,1
1581163713,2,4
1581165619,2,3
1581167551,2,4
1581169470,2,1
1581171396,1,1
1581173297,7,2
1581175228,6,0
1581177148,2,0
1581179055,2,4
1581180994,3,1
1581182895,0,2
1581185162,6,2
1581186975,0,3
1581188924,1,2
1581190866,0,5
1581192770,3,3
1581194662,5,5
1581196589,2,3
1581198529,2,5
1581200425,4,4
1581202339,4,0
1581204276,2,2
1581206199,3,4
1581208102,2,2
1581210331,8,5
1581212236,5,2
1581214362,5,3
1581216257,4,2
1581218185,4,5
1581220135,6,2
1581222015,4,2
1581223963,2,4
1581225892,3,3
1581227792,2,1
1581229696,3,5
1581231949,2,6
1581233826,2,4
1581235696,4,0
1581237618,4,0
1581239573,5,4
1581241456,4,4
1581243380,3,4
1581245313,1,1
1581247240,5,5
1581249136,2,4
1581251071,2,2
1581253011,3,2
1581254898,3,3
1581257138,2,1
1581259003,4,4
1581260937,2,6
1581262821,1,4
1581264762,2,3
1581266662,4,1
1581268582,2,2
1581270518,1,3
1581272419,2,3
1581274337,0,1
1581276283,2,0
1581278180,1,2
1581280112,7,5
1581282372,5,3
1581284175,4,1
