DateTime,Entries,UniqueIPs
1580698115,92,92
1580701937,91,91
1580703878,93,93
1580705774,94,94
1580711778,95,95
1580713960,96,96
1580721629,97,97
1580723537,98,98
1580725492,97,97
1580727383,96,96
1580729297,95,95
1580731522,93,93
1580735306,94,94
1580739180,95,95
1580741057,95,95
1580747323,95,95
1580749334,96,96
1580751140,97,97
1580755102,96,96
1580756917,97,97
1580758816,97,97
1580760750,97,97
1580762667,98,98
1580764602,95,95
1580766517,93,93
1580768413,96,96
1580770370,95,95
1580772259,91,91
1580774190,90,90
1580776095,89,89
1580778184,90,90
1580780196,90,90
1580782213,90,90
1580784030,89,89
1580786062,90,90
1580787886,91,91
1580789779,92,92
1580791697,91,91
1580799389,93,93
1580801292,92,92
1580803411,89,89
1580805216,85,85
1580808977,82,82
1580810915,80,80
1580812828,81,81
1580814745,82,82
1580816688,84,84
1580818878,85,85
1580820749,84,84
1580824600,84,84
1580826497,83,83
1580828645,81,81
1580832493,82,82
1580836369,81,81
1580842287,83,83
1580844269,82,82
1580846190,82,82
1580848110,84,84
1580850124,84,84
1580851939,81,81
1580853825,79,79
1580855775,80,80
1580859616,79,79
1580861560,80,80
1580865402,78,78
1580867311,77,77
1580871134,78,78
1580873079,79,79
1580874976,79,79
1580877140,79,79
1580882754,80,80
1580886511,78,78
1580888431,79,79
1580890337,77,77
1580892268,74,74
1580894178,75,75
1580896098,76,76
1580898023,76,76
1580899935,73,73
1580901890,75,75
1580903771,74,74
1580905701,73,73
1580907859,74,74
1580909779,73,73
1580911717,75,75
1580913616,76,76
1580915537,78,78
1580917464,79,79
1580919384,79,79
1580923224,79,79
1580925137,82,82
1580927058,82,82
1580928988,83,83
1580930907,84,84
1580933047,82,82
1580935030,81,81
1580936924,83,83
1580938818,84,84
1580940740,85,85
1580942668,86,86
1580944610,87,87
1580948442,88,88
1580950333,88,88
1580952268,90,90
1580954190,91,91
1580956101,93,93
1580958229,92,92
1580960205,94,94
1580962106,93,93
1580964041,92,92
1580965978,93,93
1580967877,95,95
1580969784,94,94
1580971710,93,93
1580975541,93,93
1580979375,94,94
1580981301,93,93
1580985390,92,92
1580987311,90,90
1580991153,90,90
1580993057,90,90
1580995233,92,92
1580999072,92,92
1581000976,93,93
1581002912,91,91
1581004996,90,90
1581006975,89,89
1581008914,90,90
1581010821,87,87
1581014672,88,88
1581016581,89,89
1581018755,87,87
1581020679,87,87
1581024500,87,87
1581026681,84,84
1581028605,83,83
1581030511,87,87
1581034360,86,86
1581036265,84,84
1581038194,84,84
1581040122,84,84
1581042021,86,86
1581043939,84,84
1581045877,85,85
1581047783,86,86
1581049701,87,87
1581051678,88,88
1581055705,86,86
1581057619,85,85
1581059591,86,86
1581061459,87,87
1581063377,87,87
1581069158,88,88
