DateTime,AddedIPs,RemovedIPs
1581138843,88,72
1581140523,68,137
1581142443,80,74
1581143283,35,0
1581144123,37,146
1581145807,81,91
1581147003,67,100
1581148203,55,27
1581149642,55,73
1581150861,40,100
1581152117,40,39
1581153303,59,85
1581154083,34,1
1581155336,49,109
1581156843,72,63
1581158523,63,112
1581160735,99,48
1581162029,43,101
1581162963,39,0
1581164042,40,59
1581165461,67,108
1581167306,64,104
1581168611,45,93
1581169324,13,33
1581170555,42,73
1581171744,50,1
1581173140,59,131
1581174360,36,58
1581174843,18,1
1581175943,41,86
1581177363,44,31
1581178503,26,38
1581179702,37,73
1581181228,49,74
1581182042,23,0
1581183608,44,108
1581185408,80,67
1581186603,34,81
1581189005,54,85
1581190205,39,65
1581191762,62,20
1581192903,34,47
1581193682,27,1
1581195003,33,77
1581196443,49,62
1581198122,46,93
1581199437,39,45
1581200883,36,0
1581202562,48,111
1581203644,29,47
1581205324,57,79
1581206405,43,53
1581207603,40,3
1581208923,44,104
1581210843,60,46
1581211953,29,77
1581214443,83,89
1581216122,45,107
1581218045,59,41
1581219612,47,127
1581221405,48,58
1581221643,3,0
1581223324,57,121
1581224162,22,0
1581225243,33,57
1581226923,53,89
1581228027,33,56
1581229203,26,1
1581230411,45,112
1581231363,32,0
1581232505,51,68
1581234010,45,122
1581235356,36,53
1581236568,48,0
1581237722,39,147
1581238563,31,0
1581239705,40,80
1581240903,47,101
1581241323,21,44
1581243242,103,62
1581244082,35,0
1581245405,53,104
1581246555,0,22623
1581248523,22553,0
1581250203,54,54
1581251283,48,0
1581252903,85,102
1581254028,60,66
1581255723,71,117
1581257403,77,413
1581258604,52,178
1581260423,83,83
1581261603,54,0
1581262809,55,111
1581263762,55,0
1581264851,47,42
1581265683,29,2
1581267003,51,86
1581268444,70,48
1581269283,41,0
1581271316,82,153
1581272883,66,1
1581274203,67,112
1581275644,93,33
1581276902,46,370
1581278059,47,22
1581279242,48,41
1581280342,40,60
1581282877,167,68
1581284408,302,112
1581285792,60,63
1581287102,42,1
1581288303,44,108
1581290042,80,54
1581291723,77,109
1581293403,71,769
1581294605,59,1901
1581295803,65,1459
1581296923,49,1152
1581298206,68,74
1581299403,86,26
1581300549,70,69
1581302522,0,17155
1581303955,17198,0
1581305285,65,0
1581306125,41,118
1581306964,65,0
1581307206,12,55
1581308403,76,13
1581311649,151,173
1581312482,46,0
1581314162,110,95
1581315245,62,66
1581316082,46,0
1581317703,81,131
1581318843,54,57
1581319682,59,0
1581321451,121,109
1581322443,58,56
1581323283,49,2
1581324603,82,112
1581325226,43,54
1581326044,57,2
1581328564,154,110
1581329643,88,56
1581330483,46,0
1581331324,66,113
1581333003,80,55
1581334922,103,113
1581336844,118,49
1581338524,108,94
1581340203,91,60
1581341283,45,2
1581342964,85,98
1581344104,59,53
1581344882,41,1
1581346177,54,95
1581347402,47,37
1581349323,73,69
1581350163,37,1
1581351244,40,53
1581352086,44,0
1581353290,68,73
1581354843,88,58
1581355683,38,1
1581357306,68,78
1581358443,36,39
1581360124,84,91
1581361803,82,43
1581363005,58,48
1581364563,72,18
1581365706,61,41
