DateTime,Entries,UniqueIPs
1581131714,1810,1810
1581133331,1817,1817
1581135255,1826,1826
1581136935,1820,1820
1581138854,1831,1831
1581140531,1840,1840
1581142451,1858,1858
1581143290,1867,1867
1581144133,1863,1863
1581145817,1856,1856
1581147047,1858,1858
1581148212,1864,1864
1581149650,1867,1867
1581150868,1866,1866
1581152125,1872,1872
1581153313,1880,1880
1581154091,1887,1887
1581155343,1877,1877
1581156851,1898,1898
1581158531,1900,1900
1581159370,1906,1906
1581160743,1912,1912
1581162038,1899,1899
1581162971,1905,1905
1581164050,1913,1913
1581165469,1919,1919
1581167314,1914,1914
1581168621,1894,1894
1581169332,1879,1879
1581170566,1859,1859
1581171751,1871,1871
1581173148,1828,1828
1581174371,1800,1800
1581174854,1807,1807
1581175951,1782,1782
1581177370,1781,1781
1581178517,1779,1779
1581179717,1770,1770
1581181238,1763,1763
1581182049,1763,1763
1581183616,1755,1755
1581185418,1755,1755
1581186615,1733,1733
1581189013,1730,1730
1581190219,1723,1723
1581191770,1737,1737
1581192912,1736,1736
1581193694,1738,1738
1581195013,1716,1716
1581196452,1698,1698
1581198132,1681,1681
1581199447,1659,1659
1581200891,1658,1658
1581202569,1648,1648
1581203653,1645,1645
1581205332,1634,1634
1581206431,1625,1625
1581207614,1633,1633
1581208931,1610,1610
1581210852,1602,1602
1581211961,1598,1598
1581214452,1588,1588
1581216133,1568,1568
1581218054,1569,1569
1581219624,1556,1556
1581221414,1555,1555
1581221651,1555,1555
1581223332,1539,1539
1581224171,1540,1540
1581225252,1532,1532
1581226931,1526,1526
1581228603,1520,1520
1581229804,1505,1505
1581231374,1499,1499
1581232515,1494,1494
1581234018,1482,1482
1581235363,1475,1475
1581236575,1477,1477
1581237734,1452,1452
1581238570,1456,1456
1581239714,1449,1449
1581240911,1439,1439
1581241330,1431,1431
1581243253,1439,1439
1581244092,1442,1442
1581245413,1426,1426
1581246563,1420,1420
1581248535,1414,1414
1581250211,1406,1406
1581251291,1407,1407
1581252912,1391,1391
1581254036,1392,1392
1581255731,1379,1379
1581257420,1378,1378
1581258616,1369,1369
1581260434,1362,1362
1581261614,1370,1370
1581262820,1349,1349
1581263772,1356,1356
1581264861,1354,1354
1581265691,1357,1357
1581267017,1335,1335
1581268452,1331,1331
1581269290,1334,1334
1581271325,1311,1311
1581272891,1315,1315
1581274218,1291,1291
1581275653,1292,1292
1581276913,1259,1259
1581278067,1255,1255
1581279250,1262,1262
1581280350,1246,1246
1581282885,1264,1264
1581284416,1228,1228
1581285804,1226,1226
1581287110,1231,1231
1581288312,1201,1201
1581290052,1208,1208
1581291732,1199,1199
1581293412,1198,1198
1581294616,1182,1182
1581295811,1186,1186
1581296932,1181,1181
1581299411,1168,1168
1581300557,1162,1162
1581303964,1155,1155
1581305294,1157,1157
1581306133,1147,1147
1581306972,1155,1155
1581307238,1139,1139
1581308415,1147,1147
1581311657,1134,1134
1581312490,1138,1138
1581314171,1126,1126
1581315253,1127,1127
1581316092,1128,1128
1581317713,1110,1110
1581318850,1101,1101
1581319689,1104,1104
1581321459,1094,1094
1581322451,1082,1082
1581323291,1086,1086
1581324614,1069,1069
1581325237,1065,1065
1581326070,1068,1068
1581328572,1063,1063
1581329651,1068,1068
1581330491,1072,1072
1581331334,1063,1063
1581333020,1063,1063
1581334931,1059,1059
1581336851,1064,1064
1581338531,1052,1052
1581340213,1052,1052
1581341294,1055,1055
1581342972,1052,1052
1581344114,1052,1052
1581344890,1052,1052
1581346188,1044,1044
1581347413,1048,1048
1581349333,1049,1049
1581350172,1058,1058
1581351252,1063,1063
1581352098,1063,1063
1581353299,1064,1064
1581354852,1069,1069
1581355691,1072,1072
1581357322,1077,1077
1581358453,1082,1082
1581360136,1078,1078
1581361815,1080,1080
1581363016,1084,1084
1581364573,1094,1094
1581365719,1088,1088
1581366489,1094,1094
1581367823,1098,1098
1581369016,1104,1104
1581370092,1108,1108
1581371771,1111,1111
1581372917,1110,1110
1581374535,1118,1118
1581376456,1129,1129
1581378138,1126,1126
1581380052,1137,1137
1581381317,1141,1141
1581383376,1148,1148
1581385335,1153,1153
1581387022,1153,1153
1581388937,1155,1155
1581389773,1158,1158
1581390856,1159,1159
1581391693,1162,1162
1581392539,1155,1155
1581393376,1157,1157
1581394518,1157,1157
1581396133,1159,1159
1581396978,1160,1160
1581398052,1160,1160
1581399732,1157,1157
1581400576,1162,1162
1581401721,1164,1164
1581403335,1171,1171
1581404175,1174,1174
1581405319,1170,1170
1581406935,1170,1170
1581408855,1172,1172
1581410534,1168,1168
1581412453,1176,1176
1581413559,1168,1168
1581415352,1162,1162
1581416058,1163,1163
1581417627,1165,1165
1581419652,1163,1163
1581420493,1159,1159
1581421333,1164,1164
1581423254,1161,1161
1581424514,1162,1162
1581425840,1159,1159
1581427221,1166,1166
1581428538,1157,1157
1581430451,1158,1158
1581431294,1166,1166
1581432135,1163,1163
1581433246,1163,1163
1581434419,1173,1173
1581435624,1168,1168
1581436577,1162,1162
1581437655,1164,1164
1581439336,1164,1164
1581440853,1171,1171
1581442093,1174,1174
1581442932,1172,1172
1581444859,1123,1123
1581445692,1125,1125
1581446536,1117,1117
1581448452,1122,1122
1581449293,1129,1129
1581450913,1113,1113
1581452115,1109,1109
1581452893,1115,1115
1581453733,1106,1106
1581455654,1117,1117
1581457228,1120,1120
1581459018,1121,1121
1581460935,1123,1123
1581461772,1127,1127
1581462857,1138,1138
1581463694,1144,1144
1581465316,1140,1140
1581466453,1135,1135
1581467719,1140,1140
1581470056,1155,1155
1581471626,1154,1154
1581473716,1151,1151
1581474498,1155,1155
1581476173,1153,1153
1581477255,1160,1160
1581478515,1160,1160
1581480614,1156,1156
1581482533,1157,1157
1581484456,1158,1158
1581485292,1161,1161
1581487165,1152,1152
1581488421,1162,1162
1581489737,1157,1157
1581490573,1158,1158
1581491720,1167,1167
