DateTime,Entries,UniqueIPs
1581051985,67,67
1581054134,69,69
1581056054,70,70
1581057731,70,70
1581059653,71,71
1581060494,72,72
1581061695,74,74
1581063253,75,75
1581066919,77,77
1581068534,77,77
1581070454,77,77
1581071292,79,79
1581072133,78,78
1581073630,79,79
1581074928,77,77
1581075733,76,76
1581077653,77,77
1581079336,77,77
1581080442,76,76
1581082090,75,75
1581083771,76,76
1581086533,72,72
1581088456,1615,1615
1581089607,1582,1582
1581091469,1535,1535
1581092054,1522,1522
1581093734,1495,1495
1581095652,1471,1471
1581097334,1445,1445
1581099253,1416,1416
1581100093,1405,1405
1581100932,1393,1393
1581102502,1372,1372
1581104115,1353,1353
1581106455,1326,1326
1581107291,1310,1310
1581109183,1287,1287
1581110056,1269,1269
1581111315,1257,1257
1581113658,1228,1228
1581115220,1213,1213
1581117317,1188,1188
1581118091,1179,1179
1581120300,1146,1146
1581122536,1017,1017
1581124455,764,764
1581126017,707,707
1581127821,695,695
1581129734,688,688
1581130573,685,685
1581131715,683,683
1581133332,675,675
1581135256,672,672
1581136936,668,668
1581138855,661,661
1581140532,655,655
1581142455,655,655
1581143291,656,656
1581144134,655,655
1581145818,654,654
1581147049,653,653
1581148213,653,653
1581149651,651,651
1581150869,645,645
1581152126,644,644
1581153314,641,641
1581154092,641,641
1581155345,636,636
1581156852,635,635
1581158532,629,629
1581159371,627,627
1581160746,625,625
1581162040,622,622
1581162972,621,621
1581164051,617,617
1581165470,616,616
1581167315,614,614
1581168624,612,612
1581170568,611,611
1581171753,608,608
1581173149,607,607
1581174855,606,606
1581175953,603,603
1581177371,601,601
1581178518,600,600
1581179718,598,598
1581181240,599,599
1581182050,598,598
1581183617,594,594
1581185420,589,589
1581186617,588,588
1581189014,584,584
1581190221,584,584
1581191771,582,582
1581192913,579,579
1581193695,579,579
1581195015,579,579
1581196453,579,579
1581198133,580,580
1581199448,582,582
1581200893,585,585
1581202571,582,582
1581205333,580,580
1581206433,581,581
1581207615,580,580
1581208932,573,573
1581210853,572,572
1581211962,572,572
1581214454,564,564
1581216134,563,563
1581218056,562,562
1581219625,558,558
1581221415,555,555
1581223333,549,549
1581224172,547,547
1581225253,546,546
1581226932,543,543
1581228607,541,541
1581229808,541,541
1581231375,536,536
1581232516,535,535
1581234019,532,532
1581235364,531,531
1581237735,532,532
1581239715,531,531
1581240927,532,532
1581241331,531,531
1581243254,528,528
1581244093,527,527
1581245414,529,529
1581246564,529,529
1581248536,528,528
1581250212,529,529
1581252913,530,530
1581254037,529,529
1581255732,529,529
1581257421,170,170
1581258636,71,71
1581260436,72,72
1581261616,71,71
1581263773,70,70
1581265692,74,74
1581267018,73,73
1581268454,74,74
1581271328,74,74
1581272893,73,73
1581274220,74,74
1581275654,75,75
1581276914,75,75
1581278068,76,76
1581279251,75,75
1581280351,74,74
1581282886,74,74
1581284418,75,75
1581285806,74,74
1581287111,76,76
1581288314,74,74
1581290053,76,76
1581291733,78,78
1581293413,80,80
1581294618,80,80
1581295812,78,78
1581298218,80,80
1581299412,79,79
1581300558,80,80
1581303965,77,77
1581305295,79,79
1581306135,77,77
1581307242,76,76
1581308417,77,77
1581311658,78,78
1581312491,79,79
1581314173,77,77
1581315270,76,76
1581316093,75,75
1581317714,74,74
1581319690,75,75
1581321460,72,72
1581322452,73,73
1581324616,74,74
1581325240,72,72
1581328573,70,70
1581329652,71,71
1581331335,70,70
1581333021,69,69
1581334932,69,69
1581336852,69,69
1581338532,66,66
1581340214,67,67
1581342973,65,65
1581344116,67,67
1581344891,67,67
1581347414,66,66
1581349334,65,65
1581350173,64,64
1581351254,65,65
1581352099,64,64
1581354853,66,66
1581355692,67,67
1581357323,67,67
1581358454,69,69
1581360137,71,71
1581361816,74,74
1581363021,74,74
1581364574,74,74
1581365720,75,75
1581366491,78,78
1581367825,74,74
1581369017,75,75
1581370093,74,74
1581371772,75,75
1581372918,75,75
1581374537,76,76
1581376457,75,75
1581378139,74,74
1581380053,73,73
1581381318,76,76
1581383377,75,75
1581385336,73,73
1581387023,74,74
1581388938,76,76
1581390857,74,74
1581391695,76,76
1581393377,77,77
1581394520,76,76
1581396134,75,75
1581399733,75,75
1581400577,76,76
1581401722,75,75
1581403336,75,75
1581404176,76,76
1581405321,75,75
1581406936,76,76
1581408856,77,77
1581410535,76,76
1581412454,75,75
1581413560,77,77
1581415356,74,74
1581417630,73,73
1581419654,72,72
1581423255,71,71
1581425841,70,70
1581427223,73,73
1581428539,72,72
1581430453,73,73
1581431296,74,74
1581432136,75,75
1581434420,76,76
1581435626,74,74
1581436578,75,75
1581437656,77,77
1581439338,77,77
1581440854,75,75
1581442933,76,76
1581444860,75,75
1581446537,75,75
1581449294,74,74
1581450914,75,75
1581452116,72,72
1581455655,73,73
1581457230,71,71
1581459019,72,72
1581460936,72,72
1581461773,73,73
1581462858,72,72
1581463695,73,73
1581465317,73,73
