DateTime,AddedIPs,RemovedIPs
1581129730,50,66
1581130569,26,2
1581131708,27,51
1581133328,43,64
1581135249,48,42
1581136931,44,88
1581138848,55,42
1581140528,43,92
1581142448,39,48
1581143287,20,3
1581144129,22,92
1581145813,51,48
1581147010,33,70
1581148208,31,19
1581149647,23,46
1581150865,24,58
1581152122,21,29
1581153308,30,58
1581154088,19,1
1581155340,27,62
1581156848,35,46
1581158527,48,76
1581159367,15,1
1581160740,52,27
1581162034,32,51
1581162968,21,1
1581164047,27,35
1581165466,35,72
1581167310,30,61
1581168615,25,44
1581169329,8,10
1581170563,17,24
1581171749,25,2
1581173145,29,56
1581174366,18,23
1581174851,11,1
1581175948,29,29
1581177367,28,19
1581178510,15,20
1581179714,20,43
1581181233,33,38
1581182047,16,0
1581183613,28,47
1581185413,59,28
1581186609,17,42
1581189010,43,34
1581190215,17,31
1581191767,34,17
1581192908,17,28
1581193688,20,5
1581195011,26,42
1581196448,30,20
1581198127,26,43
1581199441,29,24
1581200888,19,7
1581202567,31,53
1581203650,20,26
1581205329,31,42
1581206427,21,34
1581207609,19,0
1581208928,34,50
1581210848,37,28
1581211958,18,46
1581214447,47,51
1581216127,35,61
1581218050,34,27
1581219618,30,66
1581221410,38,38
1581221648,1,0
1581223329,31,61
1581224167,16,0
1581225247,19,24
1581226928,37,41
1581228034,14,27
1581229207,12,2
1581230416,18,49
1581231368,22,0
1581232510,28,42
1581234015,31,70
1581235360,24,27
1581236572,25,0
1581237727,18,80
1581238567,17,0
1581239710,24,44
1581240907,24,59
1581241327,12,21
1581243248,44,38
1581244087,18,0
1581245410,25,51
1581246560,21,50
1581248531,39,50
1581250207,27,26
1581251288,27,0
1581252908,37,56
1581254033,25,28
1581255728,36,58
1581257417,47,31
1581258609,21,39
1581260429,40,43
1581261609,26,0
1581262814,27,55
1581263768,18,0
1581264858,12,18
1581265688,17,4
1581267013,27,41
1581268449,33,27
1581269288,22,0
1581271321,33,75
1581272888,33,1
1581274213,20,46
1581275649,36,18
1581276908,13,32
1581278064,25,13
1581279247,25,18
1581280347,14,25
1581282882,56,23
1581284413,21,48
1581285801,26,25
1581287107,15,3
1581288309,18,39
1581290047,35,26
1581291728,47,62
1581293408,35,753
1581294611,31,1859
1581295808,47,1447
1581296928,29,1128
1581298212,42,41
1581299407,57,14
1581300554,53,46
1581303960,110,96
1581305291,45,1
1581306130,19,76
1581306969,45,0
1581307232,9,30
1581308409,53,1
1581311654,103,92
1581312487,31,1
1581314167,62,56
1581315249,43,42
1581316088,28,0
1581317708,53,58
1581318847,38,31
1581319686,39,1
1581321456,76,54
1581322447,41,26
1581323288,37,1
1581324608,51,60
1581325232,35,24
1581326065,44,2
1581328569,105,56
1581329647,55,40
1581330488,26,0
1581331330,40,72
1581333017,50,25
1581334928,67,62
1581336848,67,32
1581338528,67,44
1581340208,46,26
1581341289,23,1
1581342968,52,41
1581344110,34,31
1581344887,26,2
1581346183,29,54
1581347408,24,26
1581349329,42,46
1581350167,22,1
1581351248,18,34
1581352093,24,0
1581353295,30,47
1581354847,32,40
1581355688,17,2
1581357315,37,45
1581358447,25,26
1581360129,35,47
1581361807,30,21
1581363010,36,29
1581364568,32,12
1581365712,23,26
1581367814,33,50
1581369010,26,28
1581370088,13,0
1581371767,33,55
1581372909,34,25
1581374530,30,49
1581376450,35,29
1581378131,32,62
1581380048,33,27
1581381312,27,52
1581383372,57,62
1581385328,70,56
1581387017,46,27
1581388929,69,47
1581389768,19,1
1581390852,23,35
1581391689,31,2
1581392529,23,42
1581393368,28,2
1581394509,26,26
1581396128,36,61
1581396970,27,1
1581398048,24,27
1581399728,39,51
1581400571,27,1
1581401713,35,24
1581403329,38,56
1581404167,30,1
1581405309,49,32
1581406929,70,44
1581408850,44,41
1581410529,67,61
1581412449,53,29
1581413555,30,47
1581415346,39,39
1581416052,13,0
1581417619,28,62
1581419648,42,24
1581420489,24,49
1581421329,55,73
1581423249,54,42
1581424508,30,45
1581425835,32,21
1581427210,43,46
1581428529,25,65
1581431289,53,31
1581432129,30,60
1581433238,43,30
1581434410,28,3
1581435617,40,51
1581436571,20,4
1581437651,23,33
1581439331,24,66
1581440848,38,27
1581442089,23,6
1581442928,16,50
1581444851,38,33
1581445687,48,4
1581446529,79,57
1581448447,161,31
1581449289,69,3
1581450908,121,50
1581452108,73,31
1581452888,48,3
1581453728,56,92
1581455649,122,45
1581457221,83,37
1581459009,88,24
1581460930,82,62
1581461768,25,2
1581462851,30,29
1581463689,33,4
1581465309,48,49
1581466449,45,47
1581467712,67,56
1581470048,122,85
1581471617,84,100
1581473709,121,52
1581474490,29,5
1581476168,91,73
1581477249,41,50
1581478510,45,74
1581480609,80,66
1581482529,85,92
1581484451,86,43
1581485288,25,4
1581487160,83,117
1581488412,44,9
1581489730,58,77
1581490569,30,4
1581491709,52,52
1581493331,46,99
1581494433,47,75
1581495610,59,2
1581496931,56,123
1581498850,80,71
1581499691,94,2
1581500530,36,98
1581502448,79,50
1581504131,54,78
1581504968,27,0
1581506119,23,53
1581507308,37,67
1581509651,68,64
1581511510,61,73
1581513011,56,51
1581514213,43,57
1581515408,53,22
1581516618,39,30
1581518531,70,54
1581519369,25,2
1581520448,39,28
1581522130,61,56
1581522967,30,2
1581524050,40,33
1581525731,66,56
1581527416,59,31
1581529330,77,62
1581531250,53,23
1581532930,59,63
1581534848,66,37
1581536426,42,57
1581538448,64,31
1581540134,55,53
1581541237,21,45
1581542411,33,0
1581545411,92,80
1581546611,37,39
1581548123,47,14
1581549254,34,24
1581550930,47,59
1581551770,27,1
1581552848,37,41
1581554533,50,70
1581556448,60,41
1581558130,71,90
1581559817,61,33
1581560888,29,1
1581601228,1118,1890
1581603247,158,239
1581604929,89,67
1581605772,45,2
1581606848,40,33
1581607690,34,2
1581608806,40,49
1581610211,45,27
1581612132,70,69
1581614049,57,40
1581615635,45,44
1581617017,44,46
1581617650,15,0
1581618909,59,64
1581620015,43,23
1581621253,51,46
1581622087,146,0
1581622930,49,75
1581624849,72,37
1581625688,26,1
1581626530,45,65
1581628215,52,36
1581630128,73,69
1581632047,96,34
1581632888,38,1
1581634017,35,52
1581635650,55,29
1581636909,42,59
1581639249,68,66
1581641096,75,79
1581641772,24,1
1581642849,35,53
1581644424,59,99
1581645632,48,47
1581646808,34,0
1581648130,43,73
1581649809,60,40
1581651732,69,85
1581653651,73,41
1581654910,45,59
1581656323,59,59
1581657247,31,6
1581658929,46,77
1581659769,30,1
1581660848,30,45
1581662109,32,68
1581663928,60,66
1581664448,16,3
1581665288,33,1
1581666128,22,111
1581668050,64,52
1581669311,30,122
1581670589,31,22
1581671652,21,45
1581673328,104,88
1581675250,49,40
1581676346,32,43
1581677708,26,20
1581678912,24,48
1581679689,22,1
1581681045,33,68
1581682211,21,37
1581684130,42,92
1581686050,48,33
1581687625,40,82
1581689649,44,31
1581691223,43,80
1581693010,41,62
1581694210,24,53
1581696031,47,53
1581698710,55,96
1581700447,47,31
1581702968,68,88
1581704108,34,53
1581705346,40,55
1581706509,93,23
1581707652,56,36
1581709331,63,69
1581711248,75,32
1581712088,33,3
1581713769,63,77
1581714849,36,34
1581715690,17,3
1581717000,40,82
1581718209,43,40
1581720131,46,79
1581722052,44,44
1581722888,21,7
1581724227,45,61
1581725371,30,50
1581727328,40,85
1581728888,38,60
1581730089,26,4
1581731448,40,95
