DateTime,Entries,UniqueIPs
1581129730,17912,17912
1581130569,17936,17936
1581131708,17912,17912
1581133328,17891,17891
1581135249,17897,17897
1581136931,17853,17853
1581138848,17866,17866
1581140528,17817,17817
1581142448,17808,17808
1581143287,17825,17825
1581144129,17755,17755
1581145813,17758,17758
1581147010,17721,17721
1581148208,17733,17733
1581149647,17710,17710
1581150865,17676,17676
1581152122,17668,17668
1581153308,17640,17640
1581154088,17658,17658
1581155340,17623,17623
1581156848,17612,17612
1581158527,17584,17584
1581159367,17598,17598
1581160740,17623,17623
1581162034,17604,17604
1581162968,17624,17624
1581164047,17616,17616
1581165466,17579,17579
1581167310,17548,17548
1581168615,17529,17529
1581169329,17527,17527
1581170563,17520,17520
1581171749,17543,17543
1581173145,17516,17516
1581174366,17511,17511
1581174851,17521,17521
1581175948,17521,17521
1581177367,17530,17530
1581178510,17525,17525
1581179714,17502,17502
1581181233,17497,17497
1581182047,17513,17513
1581183613,17494,17494
1581185413,17525,17525
1581186609,17500,17500
1581189010,17509,17509
1581190215,17495,17495
1581191767,17512,17512
1581192908,17501,17501
1581193688,17516,17516
1581195011,17500,17500
1581196448,17510,17510
1581198127,17493,17493
1581199441,17498,17498
1581200888,17510,17510
1581202567,17488,17488
1581203650,17482,17482
1581205329,17471,17471
1581206427,17458,17458
1581207609,17477,17477
1581208928,17461,17461
1581210848,17470,17470
1581211958,17442,17442
1581214447,17438,17438
1581216127,17412,17412
1581218050,17419,17419
1581219618,17383,17383
1581221410,17383,17383
1581221648,17384,17384
1581223329,17354,17354
1581224167,17370,17370
1581225247,17365,17365
1581226928,17361,17361
1581228034,17348,17348
1581229207,17358,17358
1581230416,17327,17327
1581231368,17349,17349
1581232510,17335,17335
1581234015,17296,17296
1581235360,17293,17293
1581236572,17318,17318
1581237727,17256,17256
1581238567,17273,17273
1581239710,17253,17253
1581240907,17218,17218
1581241327,17209,17209
1581243248,17215,17215
1581244087,17233,17233
1581245410,17207,17207
1581246560,17178,17178
1581248531,17167,17167
1581250207,17168,17168
1581251288,17195,17195
1581252908,17176,17176
1581254033,17173,17173
1581255728,17151,17151
1581257417,17167,17167
1581258609,17149,17149
1581260429,17146,17146
1581261609,17172,17172
1581262814,17144,17144
1581263768,17162,17162
1581264858,17156,17156
1581265688,17169,17169
1581267013,17155,17155
1581268449,17161,17161
1581269288,17183,17183
1581271321,17141,17141
1581272888,17173,17173
1581274213,17147,17147
1581275649,17165,17165
1581276908,17146,17146
1581278064,17158,17158
1581279247,17165,17165
1581280347,17154,17154
1581282882,17187,17187
1581284413,17160,17160
1581285801,17161,17161
1581287107,17173,17173
1581288309,17152,17152
1581290047,17161,17161
1581291728,17146,17146
1581293408,16428,16428
1581294611,14600,14600
1581295808,13200,13200
1581296928,12101,12101
1581298212,12102,12102
1581299407,12145,12145
1581300554,12152,12152
1581303960,12166,12166
1581305291,12210,12210
1581306130,12153,12153
1581306969,12198,12198
1581307232,12177,12177
1581308409,12229,12229
1581311654,12240,12240
1581312487,12270,12270
1581314167,12276,12276
1581315249,12277,12277
1581316088,12305,12305
1581317708,12300,12300
1581318847,12307,12307
1581319686,12345,12345
1581321456,12367,12367
1581322447,12382,12382
1581323288,12418,12418
1581324608,12409,12409
1581325232,12420,12420
1581326065,12462,12462
1581328569,12511,12511
1581329647,12526,12526
1581330488,12552,12552
1581331330,12520,12520
1581333017,12545,12545
1581334928,12550,12550
1581336848,12585,12585
1581338528,12608,12608
1581340208,12628,12628
1581341289,12650,12650
1581342968,12661,12661
1581344110,12664,12664
1581344887,12688,12688
1581346183,12663,12663
1581347408,12661,12661
1581349329,12657,12657
1581350167,12678,12678
1581351248,12662,12662
1581352093,12686,12686
1581353295,12669,12669
1581354847,12661,12661
1581355688,12676,12676
1581357315,12668,12668
1581358447,12667,12667
1581360129,12655,12655
1581361807,12664,12664
1581363010,12671,12671
1581364568,12691,12691
1581365712,12688,12688
1581367814,12671,12671
1581369010,12669,12669
1581370088,12682,12682
1581371767,12660,12660
1581372909,12669,12669
1581374530,12650,12650
1581376450,12656,12656
1581378131,12626,12626
1581380048,12632,12632
1581381312,12607,12607
1581383372,12602,12602
1581385328,12616,12616
1581387017,12635,12635
1581388929,12657,12657
1581389768,12675,12675
1581390852,12663,12663
1581391689,12692,12692
1581392529,12673,12673
1581393368,12699,12699
1581394509,12699,12699
1581396128,12674,12674
1581396970,12700,12700
1581398048,12697,12697
1581399728,12685,12685
1581400571,12711,12711
1581401713,12722,12722
1581403329,12704,12704
1581404167,12733,12733
1581405309,12750,12750
1581406929,12776,12776
1581408850,12779,12779
1581410529,12785,12785
1581412449,12809,12809
1581413555,12792,12792
1581415346,12792,12792
1581416052,12805,12805
1581417619,12771,12771
1581419648,12789,12789
1581420489,12764,12764
1581421329,12746,12746
1581423249,12758,12758
1581424508,12743,12743
1581425835,12754,12754
1581427210,12751,12751
1581428529,12711,12711
1581431289,12733,12733
1581432129,12703,12703
1581433238,12716,12716
1581434410,12741,12741
1581435617,12730,12730
1581436571,12746,12746
1581437651,12736,12736
1581439331,12694,12694
1581440848,12705,12705
1581442089,12722,12722
1581442928,12688,12688
1581444851,12693,12693
1581445687,12737,12737
1581446529,12759,12759
1581448447,12889,12889
1581449289,12955,12955
1581450908,13026,13026
1581452108,13068,13068
1581452888,13113,13113
1581453728,13077,13077
1581455649,13154,13154
1581457221,13200,13200
1581459009,13264,13264
1581460930,13284,13284
1581461768,13307,13307
1581462851,13308,13308
1581463689,13337,13337
1581465309,13336,13336
1581466449,13334,13334
1581467712,13345,13345
1581470048,13382,13382
1581471617,13366,13366
1581473709,13435,13435
1581474490,13459,13459
1581476168,13477,13477
1581477249,13468,13468
1581478510,13439,13439
1581480609,13453,13453
1581482529,13446,13446
1581484451,13489,13489
1581485288,13510,13510
1581487160,13476,13476
1581488412,13511,13511
1581489730,13492,13492
1581490569,13518,13518
1581491709,13518,13518
1581493331,13465,13465
1581494433,13437,13437
1581495610,13494,13494
1581496931,13427,13427
1581498850,13436,13436
1581499691,13528,13528
1581500530,13466,13466
1581502448,13495,13495
1581504131,13471,13471
1581504968,13498,13498
1581506119,13468,13468
1581507308,13438,13438
1581509651,13442,13442
1581511510,13430,13430
1581513011,13435,13435
1581514213,13421,13421
1581515408,13452,13452
1581516618,13461,13461
1581518531,13477,13477
1581519369,13500,13500
1581520448,13511,13511
1581522130,13516,13516
1581522967,13544,13544
1581524050,13551,13551
1581525731,13561,13561
1581527416,13589,13589
1581529330,13604,13604
1581531250,13634,13634
1581532930,13630,13630
1581534848,13659,13659
1581536426,13644,13644
1581538448,13677,13677
1581540134,13679,13679
1581541237,13655,13655
1581542411,13688,13688
1581545411,13700,13700
1581546611,13698,13698
1581548123,13731,13731
1581549254,13741,13741
1581550930,13729,13729
1581551770,13755,13755
1581552848,13751,13751
1581554533,13731,13731
1581556448,13750,13750
1581558130,13731,13731
1581559817,13759,13759
1581560888,13787,13787
1581601228,13015,13015
1581603247,12934,12934
1581604929,12956,12956
1581605772,12999,12999
1581606848,13006,13006
1581607690,13038,13038
1581608806,13029,13029
1581610211,13047,13047
1581612132,13048,13048
1581614049,13065,13065
1581615635,13066,13066
1581617017,13064,13064
1581617650,13079,13079
1581618909,13074,13074
1581620015,13094,13094
1581621253,13099,13099
1581622087,13245,13245
1581622930,13219,13219
1581624849,13254,13254
1581625688,13279,13279
1581626530,13259,13259
1581628215,13275,13275
1581630128,13279,13279
1581632047,13341,13341
1581632888,13378,13378
1581634017,13361,13361
1581635650,13387,13387
1581636909,13370,13370
1581639249,13372,13372
1581641096,13368,13368
1581641772,13391,13391
1581642849,13373,13373
1581644424,13333,13333
1581645632,13334,13334
1581646808,13368,13368
1581648130,13338,13338
1581649809,13358,13358
1581651732,13342,13342
1581653651,13374,13374
1581654910,13360,13360
1581656323,13360,13360
1581657247,13385,13385
1581658929,13354,13354
1581659769,13383,13383
1581660848,13368,13368
1581662109,13332,13332
1581663928,13326,13326
1581664448,13339,13339
1581665288,13371,13371
1581666128,13282,13282
1581668050,13294,13294
1581669311,13202,13202
1581670589,13211,13211
1581671652,13187,13187
1581673328,13203,13203
1581675250,13212,13212
1581676346,13201,13201
1581677708,13207,13207
1581678912,13183,13183
1581679689,13204,13204
1581681045,13169,13169
1581682211,13153,13153
1581684130,13103,13103
1581686050,13118,13118
1581687625,13076,13076
1581689649,13089,13089
1581691223,13052,13052
1581693010,13031,13031
1581694210,13002,13002
1581696031,12996,12996
1581698710,12955,12955
1581700447,12971,12971
1581702968,12951,12951
1581704108,12932,12932
1581705346,12917,12917
1581706509,12987,12987
1581707652,13007,13007
1581709331,13001,13001
1581711248,13044,13044
1581712088,13074,13074
1581713769,13060,13060
1581714849,13062,13062
1581715690,13076,13076
1581717000,13034,13034
1581718209,13037,13037
1581720131,13004,13004
1581722052,13004,13004
1581722888,13018,13018
1581724227,13002,13002
1581725371,12982,12982
1581727328,12937,12937
1581728888,12915,12915
1581730089,12937,12937
1581731448,12882,12882
1581732618,12853,12853
1581734527,12831,12831
1581736217,12835,12835
1581738129,12815,12815
1581739810,12818,12818
1581741014,12790,12790
1581742208,12803,12803
1581743419,12768,12768
1581744611,12730,12730
1581746170,12746,12746
1581747248,12707,12707
1581748088,12733,12733
1581748930,12661,12661
1581749769,12687,12687
1581751692,12684,12684
1581752837,12607,12607
1581754449,12609,12609
1581755934,12599,12599
1581757842,12663,12663
1581759011,12636,12636
1581760332,12652,12652
1581761712,12633,12633
1581763335,12597,12597
1581765018,12607,12607
1581766931,12601,12601
1581768608,12593,12593
1581770528,12524,12524
1581772451,12523,12523
1581773288,12541,12541
1581774493,12486,12486
1581775817,12486,12486
1581777730,12456,12456
1581779408,12458,12458
1581781328,12443,12443
1581782168,12461,12461
1581784089,12487,12487
1581785708,12467,12467
1581786908,12460,12460
1581788423,12445,12445
1581789369,12461,12461
1581790509,12448,12448
1581792130,12217,12217
1581794048,12253,12253
1581795308,12314,12314
1581796570,12381,12381
1581797711,12400,12400
1581799332,12432,12432
1581800168,12472,12472
1581801314,12481,12481
1581802089,12529,12529
1581802929,12489,12489
1581804851,12519,12519
1581805986,12523,12523
1581808344,12560,12560
1581809708,12559,12559
1581810968,12578,12578
1581812048,12570,12570
1581813728,12584,12584
1581814568,12639,12639
1581815648,12639,12639
1581816487,12678,12678
1581817604,12636,12636
1581818823,12633,12633
1581820209,12600,12600
1581820928,12605,12605
1581821772,12632,12632
1581822913,12628,12628
1581824709,12631,12631
1581826449,12612,12612
1581827289,12629,12629
1581828130,12576,12576
1581829818,12575,12575
1581831730,12565,12565
1581832569,12590,12590
1581833712,12580,12580
1581834908,12556,12556
1581836168,12653,12653
1581837313,12649,12649
1581838525,12641,12641
1581839776,12658,12658
1581840848,12624,12624
1581841689,12652,12652
1581842531,12612,12612
1581843368,12642,12642
1581844511,12607,12607
1581846022,12590,12590
1581847233,12585,12585
1581848051,12607,12607
1581849729,12603,12603
1581851660,12655,12655
