DateTime,AddedIPs,RemovedIPs
1580819570,4,17
1580821698,15,13
1580823608,22,13
1580825533,16,22
1580827463,10,16
1580829379,10,0
1580831305,14,8
1580833212,22,8
1580835127,25,22
1580837123,21,19
1580838970,21,16
1580840886,16,21
1580842820,26,20
1580844742,18,15
1580846663,18,26
1580848581,17,19
1580850500,19,17
1580854332,19,40
1580856262,22,9
1580858168,17,21
1580860088,19,10
1580862007,22,17
1580863926,14,15
1580865860,24,20
1580867770,22,17
1580869689,15,19
1580871626,12,11
1580873530,17,8
1580875455,22,15
1580877380,12,28
1580879309,15,16
1580881350,11,12
1580883395,10,15
1580885323,19,13
1580887239,12,14
1580889127,20,0
1580891051,16,11
1580892979,20,18
1580894887,7,15
1580896818,22,0
1580898745,8,6
1580900652,5,9
1580902581,16,16
1580904524,22,15
1580906423,14,13
1580908336,13,0
1580910260,20,25
1580912170,18,0
1580914093,19,14
1580916027,3,29
1580917928,12,15
1580919848,15,0
1580921783,33,23
1580923700,8,25
1580925636,48,12
1580929711,28,39
1580931609,25,19
1580933530,25,21
1580935467,17,21
1580937371,33,20
1580939293,28,21
1580941223,34,13
1580943139,19,20
1580945059,18,12
1580946966,24,15
1580948886,18,18
1580952731,24,27
1580954900,28,8
1580956808,24,15
1580958741,23,0
1580960647,18,24
1580962579,17,8
1580964505,30,13
1580966411,17,12
1580968328,24,16
1580970260,26,9
1580972168,26,0
1580974085,24,12
1580976026,30,15
1580977934,14,22
1580980097,19,18
1580983946,13,38
1580985847,13,26
1580988074,8,22
1580989930,24,21
1580991875,16,16
1580993767,20,10
1580995685,14,0
1580997667,15,14
1580999531,28,16
1581001707,19,11
1581003622,26,19
1581005549,23,21
1581007458,23,21
1581009370,25,22
1581011538,22,26
1581013451,22,18
1581015382,18,16
1581017547,19,26
1581019452,23,24
1581021383,23,0
1581023300,25,18
1581025209,15,26
1581027145,28,14
1581029050,24,33
1581032905,22,40
1581034806,19,23
1581038658,29,29
1581040566,23,0
1581042485,26,20
1581044420,11,19
1581046331,14,0
1581048500,13,0
1581050410,17,15
1581052344,17,28
1581054251,17,19
1581056172,21,17
1581058104,18,20
1581060045,18,24
1581061927,12,22
1581063863,24,16
1581065766,15,13
1581067689,18,9
1581071533,9,28
1581073696,16,14
1581075613,25,15
1581077546,11,19
1581079448,11,20
1581081390,16,24
1581083301,22,19
1581085209,15,22
1581087124,18,12
1581089059,8,20
1581090966,9,9
1581093135,17,6
1581095297,14,13
1581097209,20,17
1581099142,17,22
1581101052,25,23
1581102973,22,22
1581104900,24,21
1581106804,17,26
1581108724,17,24
1581110670,21,0
1581112565,12,26
1581114484,23,15
1581116427,21,10
1581118330,20,19
1581120497,22,15
1581122409,25,21
1581124341,27,17
1581126247,18,20
1581128169,23,14
1581130100,12,14
1581132003,22,11
1581133936,17,15
1581135850,21,13
1581137770,16,19
1581139684,15,13
1581141616,15,20
1581143543,26,16
1581145707,17,17
1581147608,23,14
1581149530,16,24
1581151458,16,19
1581153373,6,19
1581155291,12,10
1581157218,4,0
1581159134,14,21
1581161047,12,17
1581162979,14,16
1581164885,11,18
1581168738,11,10
1581170648,15,17
1581172585,11,9
1581174519,13,17
1581176408,9,10
1581178331,11,9
1581180257,10,15
1581182172,16,23
1581184091,18,30
1581186016,12,16
1581187923,10,18
1581189850,20,11
1581191779,15,0
1581193685,11,12
1581195624,23,16
1581197530,14,13
1581199700,14,14
1581201608,8,17
1581203543,17,16
1581205446,25,11
1581207373,26,15
1581209299,16,14
1581211207,25,21
1581213124,14,15
1581215060,8,19
1581216965,8,11
1581219138,13,17
1581221074,17,15
1581222987,10,11
1581224899,17,10
1581226849,16,18
1581228747,16,15
1581230656,11,22
1581232572,20,20
1581234507,15,15
1581236427,12,15
1581238336,15,18
1581240263,9,13
1581242172,4,15
1581244087,6,16
1581246036,5,17
1581250103,18,31
1581252010,17,10
1581253954,16,14
1581255850,11,11
1581257778,15,7
1581259704,18,13
1581261612,10,15
1581263532,8,9
1581265464,17,0
1581267367,13,17
1581269289,24,20
1581271221,8,14
1581273135,18,0
1581275300,19,45
1581277213,14,20
1581279394,21,23
1581281294,19,18
1581283219,18,22
1581285129,10,14
1581287052,20,20
1581288983,9,26
1581290891,17,16
1581292831,15,11
1581294732,17,8
1581296901,17,16
1581300747,16,14
1581302652,14,15
1581304573,16,7
1581306503,16,20
1581308417,16,19
1581310329,12,14
1581312262,16,12
1581314168,16,14
1581318029,10,40
1581320921,17,11
1581322817,14,14
1581324723,12,12
1581326659,6,12
1581328567,13,21
1581330488,9,14
1581332426,14,19
1581334328,18,16
1581336498,14,14
1581340347,20,32
1581342251,18,23
1581346100,27,31
1581348007,16,19
1581349924,14,6
1581353764,14,29
1581357623,14,41
1581359528,13,28
1581361707,10,22
1581363610,25,25
1581365552,14,35
1581367451,27,4
1581369371,8,37
1581371301,18,22
1581373206,12,28
1581375141,26,33
1581377059,10,30
1581378965,14,26
1581380885,18,31
1581384727,19,48
1581386648,17,17
1581388581,15,13
1581390497,9,19
1581392410,12,14
1581394349,16,27
1581396247,22,22
1581398168,19,20
1581400106,20,9
1581402014,10,15
1581403923,15,10
1581405858,25,18
1581407765,11,15
1581409683,14,15
1581411619,11,14
1581413546,14,8
1581415449,19,14
1581417369,27,19
1581419307,30,0
1581421208,22,16
1581423132,10,9
1581425060,12,5
1581427222,19,12
1581429126,14,27
1581431048,12,19
1581432978,16,12
1581434886,9,12
1581436828,17,15
1581438742,24,17
1581440651,15,25
1581444505,12,49
1581446411,30,15
1581448579,23,30
1581450490,23,25
1581452423,12,25
1581454324,4,30
1581456245,10,31
1581458180,17,0
1581460087,24,28
1581462013,19,21
1581463946,27,21
1581465852,13,22
1581467768,23,26
1581469701,23,23
1581471611,13,20
1581473535,22,26
1581475463,19,15
1581477369,16,16
1581479295,23,23
1581481217,18,20
1581483126,19,19
1581485045,15,21
1581486978,7,16
1581488885,23,18
1581490820,9,17
1581493703,22,17
1581495618,24,19
1581497526,14,20
1581499448,5,21
1581501378,16,8
1581503283,22,20
1581505230,14,11
1581507141,24,6
1581509051,23,21
1581510966,13,27
1581513155,16,42
1581515051,16,0
1581516969,20,18
1581518900,14,47
1581520803,12,0
1581522736,10,28
1581524646,18,0
1581526579,26,15
1581528486,15,25
1581530419,18,9
1581534495,26,30
1581536409,27,28
1581538351,15,47
1581540246,20,0
1581542197,14,47
1581544117,10,25
1581546004,18,0
1581547926,17,26
1581549847,8,21
1581551765,12,15
1581553687,15,52
1581555617,8,0
1581557529,12,0
1581559699,14,23
1581561612,18,36
1581563776,17,27
1581565716,13,14
1581567649,18,18
1581569557,21,29
1581571451,15,16
1581573366,11,17
1581575318,19,26
1581577209,6,22
1581580084,13,25
1581582003,12,29
1581583924,17,13
1581585847,10,22
1581589683,12,11
1581591607,12,12
1581593529,15,8
1581595453,11,23
1581597368,19,11
1581599289,18,17
1581601208,23,10
1581603130,12,7
1581605047,11,27
1581606975,7,20
1581610805,10,34
1581612723,5,22
1581616567,9,49
1581618487,14,22
1581620407,15,17
1581622333,10,0
1581624252,10,34
1581626167,13,0
1581628336,12,47
1581630274,17,14
1581632168,26,30
1581634085,20,22
1581636004,18,0
1581637925,15,19
1581639852,19,17
1581641767,19,0
1581643689,19,27
1581645609,26,20
1581647532,15,22
1581649695,14,15
1581651607,7,14
1581653536,14,10
1581657368,15,36
1581659289,21,14
1581661205,12,16
1581663126,8,21
1581665050,19,17
1581666965,8,17
1581670811,15,38
1581672728,9,19
1581674921,8,0
1581676808,18,12
1581678736,10,17
1581680651,15,17
1581682577,18,12
1581684485,14,14
1581686403,22,16
1581688328,14,17
1581690247,16,11
1581692168,14,22
1581694087,13,9
1581696004,14,11
1581697932,8,0
1581702012,14,66
1581703931,13,0
1581705864,23,46
1581707775,27,22
1581709695,19,0
1581711618,16,47
1581713546,25,15
1581717381,10,35
1581719285,20,21
1581721283,16,29
1581723146,10,33
1581725316,15,25
1581727208,19,0
1581729132,18,26
1581731063,16,35
1581732974,25,24
1581736817,14,41
1581738725,23,0
1581742565,10,34
1581746426,9,48
1581748336,18,0
1581752408,7,50
1581754344,6,44
1581756248,14,0
1581758173,12,18
1581760101,10,18
1581762007,17,0
1581765860,12,54
1581767765,8,0
1581771625,10,27
1581773533,14,0
1581775696,6,28
1581777609,8,11
1581779542,9,12
1581781450,6,7
1581783610,15,10
1581785548,13,6
1581787466,15,14
1581789367,15,18
1581791289,11,10
1581793227,16,15
1581795132,10,22
1581797299,12,15
1581799210,9,9
1581801144,11,23
1581803051,7,17
1581804979,13,12
1581806893,7,7
1581808805,8,16
1581812659,10,55
1581814568,13,19
1581816488,10,27
1581818426,11,11
1581820333,10,15
1581822499,5,10
1581824423,8,16
1581826337,17,20
1581828261,15,14
1581830173,14,19
1581832093,9,17
1581834018,10,17
1581835925,11,17
1581837848,8,21
1581839778,16,16
1581841687,12,15
1581843645,18,18
1581845542,1,7
1581847710,5,5
1581849611,3,6
1581851532,6,6
