DateTime,Entries,UniqueIPs
1580819570,6709,6931
1580821698,6711,6933
1580823608,6718,6942
1580825533,6712,6936
1580827463,6706,6930
1580829379,6716,6940
1580831305,6722,6946
1580833212,6736,6960
1580835127,6738,6963
1580837123,6738,6965
1580838970,6743,6970
1580840886,6738,6965
1580842820,6743,6971
1580844742,6746,6974
1580846663,6737,6966
1580848581,6735,6964
1580850500,6737,6966
1580854332,6716,6945
1580856262,6728,6958
1580858168,6724,6954
1580860088,6734,6963
1580862007,6739,6968
1580863926,6735,6967
1580865860,6739,6971
1580867770,6744,6976
1580869689,6740,6972
1580871626,6741,6973
1580873530,6748,6982
1580875455,6754,6989
1580877380,6743,6973
1580879309,6741,6972
1580881350,6740,6971
1580883395,6734,6966
1580885323,6739,6972
1580887239,6736,6970
1580889127,6755,6990
1580891051,6760,6995
1580892979,6762,6997
1580894887,6754,6989
1580896818,6775,7011
1580898745,6778,7013
1580900652,6774,7009
1580902581,6774,7009
1580904524,6781,7016
1580906423,6781,7017
1580908336,6794,7030
1580910260,6794,7025
1580912170,6811,7043
1580914093,6817,7048
1580916027,6791,7022
1580917928,6788,7019
1580919848,6802,7034
1580921783,6814,7044
1580923700,6798,7027
1580925636,6833,7063
1580929711,6822,7052
1580931609,6828,7058
1580933530,6830,7062
1580935467,6824,7058
1580937371,6836,7071
1580939293,6843,7078
1580941223,6863,7099
1580943139,6859,7098
1580945059,6864,7104
1580946966,6873,7113
1580948886,6873,7113
1580952731,6871,7110
1580954900,6891,7130
1580956808,6899,7139
1580958741,6921,7162
1580960647,6915,7156
1580962579,6924,7165
1580964505,6941,7182
1580966411,6946,7187
1580968328,6953,7195
1580970260,6967,7212
1580972168,6993,7238
1580974085,7003,7250
1580976026,7019,7265
1580977934,7011,7257
1580980097,7015,7258
1580983946,6990,7233
1580985847,6979,7220
1580988074,6965,7206
1580989930,6970,7209
1580991875,6970,7209
1580993767,6980,7219
1580995685,6993,7233
1580997667,6994,7234
1580999531,7006,7246
1581001707,7014,7254
1581003622,7023,7261
1581005549,7025,7263
1581007458,7028,7265
1581009370,7031,7268
1581011538,7028,7264
1581013451,7031,7268
1581015382,7033,7270
1581017547,7027,7263
