DateTime,AddedIPs,RemovedIPs
1580819570,19,51
1580821698,36,20
1580823608,58,35
1580825533,51,54
1580827463,43,55
1580829379,51,42
1580831305,61,51
1580833212,55,60
1580835127,69,53
1580837123,50,68
1580838970,70,54
1580840886,52,70
1580842820,67,53
1580844742,69,66
1580846663,63,67
1580848581,58,63
1580850500,64,59
1580854332,66,67
1580856262,54,63
1580858168,72,56
1580860088,58,69
1580862007,63,60
1580863926,65,58
1580865860,61,70
1580867770,63,59
1580869689,60,63
1580871626,63,59
1580873530,61,63
1580875455,59,63
1580877380,54,56
1580879309,54,51
1580881350,52,57
1580883395,46,55
1580885323,69,49
1580887239,54,63
1580889127,66,55
1580891051,51,66
1580892979,59,53
1580894887,29,61
1580896818,60,28
1580898745,41,61
1580900652,34,38
1580902581,57,35
1580904524,53,55
1580906423,49,56
1580908336,49,51
1580910260,49,49
1580912170,59,45
1580914093,50,60
1580916027,21,51
1580917928,50,23
1580919848,39,49
1580921783,52,39
1580923700,46,53
1580925636,74,46
1580929711,75,73
1580931609,54,75
1580933530,57,52
1580935467,55,52
1580937371,70,58
1580939293,59,72
1580941223,65,59
1580943139,68,67
1580945059,51,63
1580946966,70,55
1580948886,72,66
1580952731,58,70
1580954900,61,60
1580956808,57,59
1580958741,60,58
1580960647,63,62
1580962579,62,66
1580964505,74,63
1580966411,58,72
1580968328,55,57
1580970260,67,54
1580972168,63,66
1580974085,63,60
1580976026,66,67
1580977934,48,68
1580980097,42,48
1580983946,39,44
1580985847,46,39
1580988074,42,45
1580989930,69,42
1580991875,40,71
1580993767,51,39
1580995685,39,50
1580997667,36,41
1580999531,68,32
1581001707,64,65
1581003622,61,65
1581005549,57,59
1581007458,59,62
1581009370,70,58
1581011538,67,67
1581013451,55,71
1581015382,42,57
1581017547,60,42
1581019452,59,57
1581021383,64,57
1581023300,61,62
1581025209,39,65
1581027145,69,40
1581029050,73,69
1581032905,66,70
1581034806,54,67
1581038658,63,55
1581040566,65,62
1581042485,65,64
1581044420,59,68
1581046331,60,57
1581048500,54,60
1581050410,62,53
1581052344,63,63
1581054251,58,65
1581056172,56,55
1581058104,68,58
1581060045,63,65
1581061927,55,58
1581063863,65,63
1581065766,54,66
1581067689,56,55
1581071533,46,54
1581073696,48,40
1581075613,58,53
1581077546,36,57
1581079448,51,40
1581081390,57,49
1581083301,52,60
1581085209,45,49
1581087124,47,46
1581089059,28,50
1581090966,51,27
1581093135,65,50
1581095297,50,63
1581097209,63,49
1581099142,64,64
1581101052,53,66
1581102973,59,50
1581104900,59,61
1581106804,49,61
1581108724,43,47
1581110670,63,45
1581112565,56,63
1581114484,61,53
1581116427,64,57
1581118330,67,68
1581120497,59,66
1581122409,57,58
1581124341,67,60
1581126247,62,66
1581128169,68,61
1581130100,58,67
1581132003,64,62
1581133936,65,66
1581135850,63,62
1581137770,61,64
1581139684,61,60
1581141616,62,60
1581143543,68,61
1581145707,64,68
1581147608,67,66
1581149530,50,67
1581151458,47,49
1581153373,24,48
1581155291,49,27
1581157218,45,44
1581159134,60,47
1581161047,48,61
1581162979,52,45
1581164885,27,55
1581168738,43,27
1581170648,55,39
1581172585,52,57
1581174519,50,49
1581176408,21,55
1581178331,45,23
1581180257,33,45
1581182172,51,32
1581184091,56,46
1581186016,51,58
1581187923,42,50
1581189850,60,44
1581191779,58,60
1581193685,54,55
1581195624,64,55
1581197530,52,63
1581199700,63,54
1581201608,51,58
1581203543,63,53
1581205446,66,67
1581207373,59,67
1581209299,56,57
1581211207,64,57
1581213124,61,62
1581215060,52,58
1581216965,46,53
1581219138,45,43
1581221074,56,47
1581222987,60,58
1581224899,64,58
1581226849,62,63
1581228747,58,65
1581230656,59,58
1581232572,60,57
1581234507,64,62
1581236427,44,64
1581238336,52,41
1581240263,23,59
1581242172,32,25
1581244087,22,30
1581246036,24,23
1581250103,56,23
1581252010,50,53
1581253954,41,51
1581255850,46,43
1581257778,53,46
1581259704,51,51
1581261612,36,53
1581263532,42,33
1581265464,58,45
1581267367,42,56
1581269289,69,44
1581271221,37,64
1581273135,56,40
1581275300,53,54
1581277213,61,54
1581279394,57,56
1581281294,62,64
1581283219,55,60
1581285129,46,55
1581287052,68,44
1581288983,36,68
1581290891,63,40
1581292831,49,62
1581294732,64,48
1581296901,60,61
1581300747,56,63
1581302652,61,55
1581304573,58,62
1581306503,62,58
1581308417,57,58
1581310329,55,61
1581312262,54,55
1581314168,58,53
1581318029,53,60
1581320921,65,53
1581322817,36,66
1581324723,20,38
1581326659,19,21
1581328567,56,17
1581330488,39,57
1581332426,49,39
1581334328,59,46
1581336498,45,59
1581340347,68,46
1581342251,63,67
