DateTime,AddedIPs,RemovedIPs
1579543382,3,1
1579546982,1,3
1579550583,1,0
1579554185,1,3
1579557783,1,0
1579561384,2,1
1579564984,0,1
1579572189,1,0
1579575794,2,1
1579579384,0,3
1579586584,0,1
1579590189,1,0
1579593787,1,0
1579597387,1,0
1579600986,1,2
1579604587,2,0
1579608189,2,0
1579611787,0,2
1579615386,3,1
1579618986,3,1
1579622587,2,4
1579626186,1,2
1579629787,1,0
1579636986,0,1
1579640587,2,1
1579647789,2,1
1579651388,1,0
1579658588,0,1
1579665788,0,2
1579669388,1,0
1579672988,1,0
1579680193,1,0
1579683792,1,1
1579687390,0,1
1579694590,0,1
1579698193,2,1
1579701794,1,0
1579705391,1,1
1579708992,2,0
1579716194,3,2
1579719793,1,1
1579723391,0,1
1579726993,1,1
1579730589,0,2
1579737790,0,1
1579744987,0,1
1579762990,3,0
1579766592,6,0
1579770194,2,0
1579773793,7,1
1579777398,7,0
1579781000,11,2
1579784603,10,1
1579788205,5,1
1579791807,6,1
1579795411,4,0
1579799016,1,0
1579802611,0,2
1579806213,1,1
1579809810,0,2
1579813413,2,0
1579817013,1,1
1579820612,0,1
1579824211,2,4
1579827813,1,2
1579831410,1,1
1579835013,1,0
1579838611,0,1
1579842213,1,2
1579845820,4,1
1579849417,2,2
1579853020,1,0
1579856620,1,0
1579860221,1,2
1579863821,1,2
1579867421,1,2
1579871020,0,1
1579874622,2,1
1579878225,0,2
1579881824,0,2
1579885418,0,4
1579889019,1,2
1579892621,2,0
1579899820,0,3
1579903420,1,1
1579907020,0,1
1579910623,4,1
1579914228,2,0
1579917828,1,0
1579921426,1,0
1579928627,0,1
1579932228,0,1
1579939427,1,0
1579943027,1,0
1579946628,1,0
1579950236,4,0
1579953835,0,1
1579957434,2,2
1579964638,3,0
1579968239,0,2
1579975439,3,0
1579979036,2,4
1579982637,1,0
1579986239,1,0
1579989838,1,1
1579993437,1,2
1579997039,3,0
1580004240,1,2
1580011442,3,0
1580015041,2,1
1580018641,0,1
1580022241,2,5
1580025831,0,22
1580029427,0,2
1580033025,0,2
1580040225,0,4
1580043826,2,0
1580047424,0,1
1580051026,2,0
1580054626,0,1
1580058226,0,1
1580061825,0,1
1580065427,2,0
1580087030,1,1
1580094230,0,2
1580097828,0,1
1580105026,0,1
1580108627,2,0
1580115828,1,0
1580119427,2,0
1580130228,0,1
1580133825,0,1
1580144623,0,1
1580148222,1,5
1580151821,1,0
1580159022,2,0
1580162625,1,0
1580166226,0,1
1580169823,0,1
1580173427,2,0
1580177024,1,1
1580184226,1,0
1580187825,0,1
1580195025,2,1
1580198627,2,1
1580202230,1,1
1580209428,0,1
1580213029,1,1
1580216628,1,1
1580220230,0,2
1580223827,1,2
1580227424,0,1
1580231024,1,0
1580234623,0,1
1580241834,22,0
1580245429,5,4
1580249032,2,0
1580252630,0,1
1580256236,2,0
1580259835,1,1
1580263435,2,0
1580267034,0,1
1580270634,2,1
1580274237,3,1
1580277836,2,1
1580281433,0,1
1580285033,0,2
1580288632,1,1
1580292235,2,1
1580299434,3,0
1580303033,1,2
1580306644,2,1
1580310236,0,2
1580317435,1,0
1580321033,1,2
1580324636,1,0
1580342637,1,1
1580353434,0,1
1580357035,2,0
1580367844,28,3
1580371443,0,3
1580378644,0,2
1580382241,0,3
1580385840,0,7
1580389435,0,10
1580393036,0,7
1580396631,0,8
1580400225,0,6
1580403826,0,1
1580407426,0,1
1580418222,0,1
1580421827,2,2
1580429024,1,1
1580432622,1,0
1580436221,0,2
1580439821,1,1
1580443423,1,0
1580454218,0,3
1580457820,3,0
1580465016,0,2
1580468615,1,1
1580472213,0,1
1580475811,0,2
1580479410,1,2
1580486610,1,0
1580490210,0,1
1580493811,0,1
1580497409,1,1
1580501008,1,1
1580508206,0,1
1580515403,0,3
1580518997,2,3
1580522599,1,0
1580526197,0,1
1580529800,2,0
1580533398,0,1
1580540599,1,0
1580544198,0,1
1580547802,2,1
1580551399,0,1
1580554996,2,2
1580558596,0,1
1580562193,2,2
1580565796,1,2
1580569388,1,2
1580576588,0,1
1580580188,2,3
1580583784,1,4
1580587383,1,2
1580590979,2,2
1580594580,0,1
1580598179,2,2
1580601779,0,1
1580616181,1,0
1580619794,28,0
1580623394,2,1
1580648592,0,3
1580655791,0,2
1580666591,1,0
1580670190,2,1
1580673794,4,0
1580677395,1,0
1580684597,3,0
1580691797,0,1
1580695397,0,1
1580698997,1,0
1580702599,1,1
1580706210,25,0
1580735010,1,0
1580742208,0,1
1580745816,21,0
1580749415,4,1
1580753018,2,1
1580756617,2,0
1580760219,1,1
1580763818,1,3
1580767417,1,1
1580771017,0,1
1580774619,1,0
1580778218,0,1
1580781822,0,1
1580785416,0,1
1580789015,0,1
1580792617,1,0
1580799826,21,2
1580810627,1,0
1580814224,0,1
1580821425,1,0
1580825023,1,1
1580828626,2,0
1580843025,0,2
1580846608,0,30
1580850209,0,7
1580853813,1,0
1580861009,2,1
1580864611,1,0
