DateTime,AddedIPs,RemovedIPs
1580433176,10,5
1580436742,8,3
1580440331,9,8
1580444112,258,273
1580447543,7,7
1580451159,4,15
1580454748,11,9
1580458350,8,6
1580461974,6,6
1580465545,9,6
1580469183,8,3
1580472727,6,5
1580475004,1024,17664
1580476354,4,5
1580479971,3,5
1580481912,1280,1280
1580483564,7,6
1580487134,8,8
1580488212,256,256
1580490752,7,5
1580493619,512,512
1580494385,1,3
1580495412,256,256
1580497978,3,6
1580501560,4,5
1580505151,4,4
1580508778,4,2
1580512353,1,6
1580515960,9,3
1580519578,32,9
1580523151,13,4
1580526745,8,7
1580530357,8,27
1580534011,11,7
1580537549,10,5
1580538611,768,512
1580541164,2,1
1580544741,6,4
1580548383,7,12
1580551937,8,8
1580552355,256,256
1580555531,3,1
1580559153,4,5
1580561404,192512,11008
1580562766,9,8
1580563811,1280,1536
1580566345,8,5
1580569989,2,2
1580573558,10,6
1580577156,5,11
1580578212,256,256
1580580730,3337,10
1580584503,4,5
1580587956,12,10
1580591544,6,4
1580595175,8,8
1580598736,5,7
1580602334,11,5
1580606144,33,8
1580609544,4,2
1580613170,1,6
1580616769,3,14
1580620354,497674,1031
1580624386,1035,1027
1580627572,4,7
1580631131,3,7
1580634751,7,18
1580638349,8,9
1580641924,11,2
1580645550,7,12
1580647803,27392,17920
1580649139,5,2
1580652756,13,5
1580656329,6,8
1580659954,5,6
1580661002,1023,1024
1580663560,6,6
1580666416,256,256
1580667123,9,8
1580670781,7,6
1580674339,4,9
1580676602,256,256
1580677948,9,11
1580681539,8,11
1580685155,6,11
1580688737,14,11
1580692334,21,10
1580692749,256,256
1580695915,10,7
1580699548,15,13
1580703160,9,18
1580706725,8,6
1580710294,3,11
1580713898,5,9
1580717495,13,6
1580721085,4,5
1580724689,4,6
1580728316,15,4
1580731877,2,5
1580733012,1792,1791
1580734203,18176,0
1580735476,6,13
1580739105,10,13
1580742709,9,10
1580746284,4,7
1580749212,512,512
1580749914,9,5
1580753556,9,9
1580754611,512,512
1580757090,5,7
1580760702,10,3
1580764313,2,1
1580767901,5,2
1580769911,256,256
1580771520,6,4
1580775143,5,8
1580778730,26,4
1580782375,8,10
1580785883,6,16
1580789508,9,25
1580790612,512,256
1580793117,6,11
1580796716,3,9
1580800332,4,7
1580803967,6,5
1580807513,6,5
1580811114,4,10
1580814787,9,5
1580818340,7,4
1580820604,29696,10496
1580821919,6,4
1580825533,4,3
1580828412,2560,2816
1580829150,4,3
1580832726,3,4
1580836321,2,10
1580838312,768,512
1580840001,4,6
1580843526,7,3
1580847138,5,5
1580847311,256,256
1580850735,6,4
1580853023,768,768
1580854348,3,3
1580857939,5,4
1580861552,10,6
1580865168,21,5
1580868742,7,3
1580871612,512,512
1580872355,7,8
1580875934,3,32
1580879568,6,7
1580883164,8,4
1580886732,7,6
1580890345,2,5
1580893969,4,4
1580897545,5,13
1580901123,7,6
1580903106,2304,2304
1580904749,7,8
1580907005,5120,15104
1580908359,14,6
1580908503,256,256
1580910310,256,256
1580911943,8,4
1580915545,4,4
1580915711,256,256
1580919154,5,6
1580920213,72704,256
1580922725,5,8
1580926358,6,9
1580929936,8,7
1580931911,512,512
1580933564,4,9
1580937135,9,8
1580938212,256,256
1580940735,8,5
1580944336,6,5
1580947966,19,7
1580951523,13,2
1580952611,512,512
1580955127,4,3
1580958752,4,9
1580962332,5,29
1580965945,5,7
1580969498,10,5
1580973154,4,3
1580976726,4,6
1580980329,5,2
1580983958,5,5
1580987500,18,9
1580991116,5,3
1580993404,1280,12544
1580994736,6,7
1580998335,4,15
1581001944,2,4
1581005534,3,6
1581009154,7,5
1581012730,5,7
1581016323,4,7
1581019955,5,1
1581023560,2,2308
1581027120,4,5
1581030749,5,8
1581034359,6,10
1581037981,15,5
1581041504,6,6
1581045153,11,6
1581048730,6,26
1581052323,6,6
1581055927,3,8
1581059543,10,7
1581063124,4,7
1581066722,9,5
1581070302,6,4
1581073950,5,8
1581077501,7,3
1581079804,3328,17920
1581081148,5,4
1581084712,6,4
1581088353,4,5
1581091895,3,8
1581093013,1280,1536
1581095522,9,5
1581099126,2,11
1581102725,5,5
1581106336,5,5
1581109939,2,3
1581113527,5,9
1581117140,9,5
1581119161,1536,1536
1581119291,256,256
1581120719,11,5
1581124361,19,5
1581127919,7,5
1581131541,6,7
1581135154,6,13
1581138734,3,4
1581139805,1024,1024
1581142289,4,10
1581143449,256,256
1581145909,3,9
1581146577,256,256
1581149516,7,7
1581150661,256,256
1581151604,256,256
1581153091,9,5
1581154268,256,256
1581156694,2,4
1581157811,256,256
1581160307,5,2
1581162312,512,256
1581163889,3,6
1581166204,0,14848
1581166812,256,256
1581167495,5,2
1581171137,8,5
1581174690,4,4
1581175811,256,256
1581178297,6,3
1581181923,4,5
1581185568,4,6
1581186611,256,256
1581189089,1,9
1581192012,256,256
1581192725,7,4
1581196330,7,4
1581199953,5,7
1581203493,7,5
1581205012,256,256
1581207134,9,3
1581210709,25,6
1581213798,256,256
1581214323,10,3
1581217874,5,5
1581221523,5,13
1581225139,5,10
1581228703,4,66064
1581232333,11,3
1581235968,7,7
1581239518,9,4
1581243145,8,8
1581246736,6,5
1581250365,6,8
1581252604,28160,2560
1581253944,7,6
1581257529,7,4
1581258961,1280,1792
1581261138,7,5
1581264754,6,10
1581268338,5,5
1581269411,768,512
1581271944,8,4
1581274812,256,256
1581275508,4,12
1581279149,4,7
1581282012,256,256
1581282717,6,8
1581286359,10,5
1581289948,6,3
1581293514,14,3
1581293711,256,256
1581294782,256,256
1581297140,23,3
1581300708,8,2
1581304365,10,11
1581307920,7,21
1581311540,3,7
1581313512,256,256
1581315109,9,12
1581318811,4,7
1581322326,9,3
1581325932,5,10
1581329521,8,3
1581333263,9,5
1581336729,2,6
1581340342,4,4
1581343905,4,3
1581347536,4,8
1581350413,1536,1280
1581351109,7,5
1581354719,4,4
1581357613,256,256
1581358307,4,3
1581361932,3,11
1581364991,256,256
1581365534,4,4
1581369112,12,4
1581372011,256,256
1581372719,5,5
1581376344,12,10
1581379936,13,4
1581383567,19,6
1581387126,12,5
1581390758,9,18
1581391985,256,256
1581394342,12,19
1581397952,4,11
1581401517,5,9
1581405096,3,13
1581408702,18,10
1581412324,8,5
1581415898,4,2
1581419521,5,4
1581423117,4,5
1581425403,27648,7168
1581426010,1536,1536
1581426705,6,8
1581428702,256,256
1581430300,3,7
1581433889,5,3
1581435365,512,512
1581437507,2,9
1581441086,8,6
1581444010,256,512
1581444710,3,10
1581448273,7,5
1581449839,512,512
1581451917,7,5
1581454810,256,256
1581455485,5,7
1581456761,256,256
1581459140,1,1
1581462674,8,8
1581466296,10,9
1581469891,28,4
1581471167,256,256
1581473516,5,4
1581477099,3,13
1581478592,256,256
1581480700,6,24
1581484285,1,6
1581487926,10,7
1581491491,13,8
1581495111,4,4
1581498642,6,7
1581502318,11,4
1581505893,4,6
1581509494,5,4
1581511510,1536,1536
1581511804,4096,7680
1581513117,3,8
1581516013,256,256
1581516676,10,4
1581520306,4,7
1581521916,256,256
1581523915,8,9
1581527493,7,5
1581529511,0,256
1581531132,6,2
1581534672,3,9
1581538328,4,4
1581541900,7,9
1581542110,256,256
1581543561,512,256
1581545515,1,2
1581549091,1,4
1581552751,5,14
1581556306,25,5
1581557796,512,512
1581559930,10,11
1581563488,15,7
1581567121,12,29
1581570696,6,4
1581574307,16391,8199
1581577961,6,7
1581581465,5,7
1581585112,4,11
1581588695,5,3
1581591611,2304,2048
1581592333,8,3
1581595898,6,10
1581597910,256,256
1581598203,8192,22528
1581599510,6,3
1581602410,256,256
1581603127,10,7
1581606690,6,10
1581609611,256,256
1581610305,4,9
1581613882,10,6
1581617527,9,12
1581617710,256,256
1581619020,512,512
1581621095,6,7
1581624707,5,5
1581628334,5,6
1581631888,5,2
1581634811,512,512
1581635517,7,4
1581639125,7,10
1581642726,20,5
1581646324,6,9
1581648310,512,512
1581649905,8,13
1581653519,6,24
1581657098,5,5
1581660714,5,4
1581664283,5,8
1581667928,12,4
1581671498,5,3
1581675082,4,5
1581678732,5,7
1581682305,4,4
1581684603,0,13824
1581685914,6,8
1581689476,7,8
1581693119,8,5
1581696701,3,8
1581700293,5,5
1581703372,1280,1536
1581703885,10,5
1581707521,4,6
1581711086,4,6
1581711310,256,256
1581714680,7,6
1581718353,6,7
1581721891,9,9
1581725544,11,3
1581728411,256,256
1581729093,16,6
1581732735,4,7
1581736293,6,12
1581739887,4,14
1581743483,4,3
1581747143,4,6
1581750694,5,4
1581754295,3,1
1581757955,2,8
1581761553,6,8
1581765130,6,2
1581768778,8,5
1581771003,2048,9728
1581772329,4,8
1581775936,6,3
1581776111,1280,1536
1581779543,4,3
1581783311,263,263
1581786732,3,7
1581790352,4,8
1581791410,256,256
1581793936,6,2
1581797533,10,4
1581798611,256,256
1581801146,5,3
1581804757,4,2
1581808335,1,6
1581811947,7,9
1581815547,21,2
1581818576,256,256
1581819138,3,3
1581822727,3,16
1581826511,3,28
1581829939,9,5
1581833549,10,6
1581837116,5,3
1581840753,3,4
1581844323,2,3
1581847940,5,6
1581851527,6,3
