DateTime,AddedIPs,RemovedIPs
1581409321,2,0
1581410522,4,0
1581411121,2,0
1581412921,2,0
1581413522,3,0
1581413581,2,0
1581415922,1,0
1581416521,4,0
1581417122,10,0
1581417182,1,0
1581418922,2,0
1581419521,1,0
1581420722,7,0
1581421321,1,0
1581421922,4,0
1581422522,2,0
1581423122,4,0
1581423721,3,0
1581424382,2,0
1581424922,1,0
1581426122,4,1
1581426721,5,0
1581427921,1,0
1581427981,5,0
1581428521,2,0
1581429721,4,0
1581430921,1,0
1581431521,1,0
1581432121,4,0
1581433321,1,0
1581434521,4,0
1581436322,4,0
1581436921,1,0
1581438122,1,1
1581439321,4,0
1581439921,1,0
1581440521,4,0
1581441121,2,0
1581442921,3,0
1581443521,1,0
1581444122,6,0
1581445321,1,1
1581446521,1,0
1581447721,3,0
1581448321,1,0
1581448921,2,0
1581449521,3,0
1581450121,1,0
1581451321,2,0
1581451921,2,0
1581452521,6,0
1581453122,3,0
1581453721,2,0
1581454921,3,1
1581456121,4,2
1581456721,2,0
1581457322,1,0
1581457922,1,0
1581458522,1,0
1581459121,1,0
1581459721,4,0
1581460921,3,0
1581462122,3,0
1581462722,1,0
1581463921,2,0
1581464521,1,0
1581465121,3,0
1581466321,5,0
1581466921,5,0
1581467521,2,0
1581468121,1,2
1581469321,2,0
1581470521,4,0
1581471721,10,0
1581473521,2,0
1581474121,6,0
1581474721,1,0
1581475321,1,0
1581476521,3,0
1581477721,8,0
1581478922,1,0
1581481321,3,0
1581483721,6,0
1581484922,2,1
1581485521,3,0
1581486122,9,0
1581488521,3,0
1581489121,2,0
1581489721,1,0
1581490921,2,0
1581491521,1,0
1581492121,9,0
1581492721,1,0
1581493321,1,0
1581494522,4,0
1581495154,1012,300
1581495721,1,0
1581496921,2,0
1581497522,2,0
1581498721,9,0
1581499321,4,0
1581500521,4,0
1581501721,3,0
1581502921,1,0
1581503521,6,0
1581504121,6,0
1581504721,1,0
1581505322,1,1
1581505921,2,0
1581506522,2,1
1581507181,2,0
1581507722,3,0
1581508322,2,0
1581508921,3,0
1581509521,3,0
1581510782,3,0
1581511322,6,1
1581511921,1,0
1581513121,13,0
1581513721,1,0
1581514382,3,0
1581514922,1,0
1581515521,1,0
1581516121,3,0
1581516722,5,0
1581517322,1,0
1581518521,5,0
1581519721,7,0
1581521582,1,0
1581522122,7,0
1581523921,1,0
1581524521,4,0
1581525721,1,0
1581526921,3,0
1581527521,4,0
1581528122,1,0
1581529321,7,0
1581529921,1,0
1581530522,3,0
1581531721,2,0
1581532321,1,0
1581532382,4,0
1581532922,2,0
1581534121,2,0
1581534721,2,0
1581535921,1,0
1581536521,1,0
1581538321,3,0
1581539521,7,0
1581540121,4,0
1581541321,3,0
1581542521,2,0
1581543721,2,0
1581544321,1,0
1581544921,1,1
1581546121,2,0
1581547321,5,1
1581548521,1,0
1581549121,3,0
1581549722,4,0
1581550921,3,0
1581551521,4,0
1581552122,1,0
1581553321,1,0
1581553981,1,0
1581554521,7,0
1581555721,1,0
1581556921,1,0
1581557521,2,0
1581558121,0,1
1581559321,4,0
1581560521,5,0
1581561121,2,0
1581561722,1,0
1581562921,7,1
1581563521,2,0
1581564121,1,0
1581565321,2,0
1581565921,1,1
1581566521,1,0
1581567122,1,0
1581567721,12,0
1581568921,3,0
1581569521,1,0
1581570721,2,0
1581571321,1,0
1581571981,2,0
1581572521,3,0
1581573121,2,0
1581573721,4,0
1581574322,3,0
1581574922,1,0
1581576121,2,0
1581577321,4,0
1581578521,2,2
1581579121,1,1
1581579181,1,0
1581579721,6,0
1581580922,2,0
1581582280,1671,390
1581583321,4,0
1581584521,3,0
1581585721,4,0
1581586922,8,0
1581588121,5,0
1581589322,3,0
1581589981,1,0
1581590521,3,0
1581591121,2,0
1581591722,4,0
1581592321,1,0
1581592921,2,0
1581593522,2,0
1581593581,1,0
1581594121,2,0
1581594722,2,0
1581595921,7,0
1581597182,4,0
1581597722,2,0
1581598321,4,0
1581598921,1,0
1581599521,8,0
1581600122,4,0
1581601321,1,0
1581602521,4,0
1581603122,4,0
1581604922,5,0
