DateTime,Entries,UniqueIPs
1580882176,1540,1540
1580884102,1533,1533
1580886017,1524,1524
1580887942,1525,1525
1580890107,1526,1526
1580892008,1518,1518
1580893934,1518,1518
1580895861,1516,1516
1580897769,1519,1519
1580899688,1512,1512
1580901607,759,759
1580903526,753,753
1580905446,1217,1217
1580907369,1208,1208
1580909288,1203,1203
1580911215,1209,1209
1580913142,1213,1213
1580915314,1229,1229
1580917208,1228,1228
1580920084,1228,1228
1580922012,1208,1208
1580923925,1201,1201
1580926107,1181,1181
1580928008,1176,1176
1580930183,1170,1170
1580932085,1164,1164
1580934015,1152,1152
1580935928,1147,1147
1580937844,1128,1128
1580939776,1109,1109
1580941683,1083,1083
1580943852,1091,1091
1580945779,1080,1080
1580947691,1489,1489
1580949609,1485,1485
1580951554,1476,1476
1580953446,1474,1474
1580955370,1471,1471
1580957299,1473,1473
1580959203,1484,1484
1580961122,1484,1484
1580963060,1475,1475
1580964965,1458,1458
1580966887,1454,1454
1580968830,1428,1428
1580970731,1427,1427
1580972894,1421,1421
1580974807,1416,1416
1580976742,1411,1411
1580978649,1409,1409
1580980567,1397,1397
1580982502,1387,1387
1580984403,1377,1377
1580986338,1375,1375
1580988255,757,757
1580990161,792,792
1580992355,1074,1074
1580994262,1077,1077
1580996187,1089,1089
1580998096,1092,1092
1581000010,1093,1093
1581002188,1095,1095
1581004087,1108,1108
1581006016,1126,1126
1581007941,1139,1139
1581009846,1157,1157
1581011773,1171,1171
1581013681,1176,1176
1581015606,1191,1191
1581017545,1195,1195
1581019450,1184,1184
1581021381,1175,1175
1581023298,1173,1173
1581025207,1171,1171
1581027143,1164,1164
1581029048,1152,1152
1581030971,1156,1156
1581032905,1154,1154
1581034806,1391,1391
1581036725,1396,1396
1581038658,1394,1394
1581040566,1395,1395
1581042485,1394,1394
1581044420,1383,1383
1581046330,1378,1378
1581048500,1377,1377
1581050410,1372,1372
1581052343,1388,1388
1581054251,1389,1389
1581056171,1404,1404
1581058104,1407,1407
1581060045,1409,1409
1581061927,1406,1406
1581063862,1415,1415
1581065765,1415,1415
1581067688,1423,1423
1581069626,1425,1425
1581071532,1423,1423
1581073695,814,814
1581075612,815,815
1581077545,1135,1135
1581079447,1138,1138
1581081389,1142,1142
1581083299,1144,1144
1581085207,1152,1152
1581087123,1150,1150
1581089057,1150,1150
1581090965,1159,1159
1581093134,1161,1161
1581095296,1174,1174
1581097207,1174,1174
1581099140,1175,1175
1581101051,1172,1172
1581102971,1176,1176
1581104898,1166,1166
1581106802,1162,1162
1581108722,1158,1158
1581110668,1154,1154
1581112563,1142,1142
1581114482,1132,1132
1581116425,1128,1128
1581118330,1127,1127
1581120497,1378,1378
1581122409,1379,1379
1581124341,1379,1379
1581126247,1383,1383
1581128169,1386,1386
1581130100,1384,1384
1581132003,1382,1382
1581133936,1392,1392
1581135850,1392,1392
1581137769,1398,1398
1581139683,1398,1398
1581141616,1393,1393
1581143542,1392,1392
1581145707,1393,1393
1581147607,1383,1383
1581149529,1369,1369
1581151457,1367,1367
1581153372,1366,1366
