DateTime,AddedIPs,RemovedIPs
1580954408,483,313
1580956208,352,300
1580958007,541,495
1580959808,432,511
1580961607,347,435
1580963408,358,413
1580965207,343,452
1580967007,325,340
1580968807,312,418
1580970608,454,670
1580972407,228,537
1580974206,318,278
1580976007,316,373
1580977807,275,339
1580979607,354,402
1580981407,284,447
1580983207,329,716
1580985007,349,537
1580986806,417,796
1580988606,551,536
1580990408,635,665
1580992207,780,656
1580994007,662,663
1580995808,806,936
1580997607,804,782
1580999407,616,516
1581001207,387,335
1581003007,385,287
1581004807,397,223
1581006608,414,230
1581008407,341,299
1581010208,533,240
1581012006,538,235
1581013807,424,207
1581015608,321,315
1581017407,424,223
1581019206,524,140
1581021008,397,160
1581022807,423,188
1581024607,574,283
1581026406,414,151
1581028207,384,261
1581030005,358,188
1581031805,385,197
1581033605,451,172
1581035405,534,236
1581037205,504,230
1581039005,545,93
1581040805,500,198
1581042605,335,128
1581044404,505,405
1581046204,203,316
1581048004,222,296
1581049804,307,290
1581051604,292,292
1581053404,303,328
1581055203,214,472
1581057004,206,402
1581058804,316,269
1581060604,290,284
1581062403,426,497
1581064204,168,361
1581066004,298,406
1581067803,299,531
1581069603,230,350
1581071403,407,361
1581073204,192,384
1581075004,181,333
1581076804,182,400
1581078604,149,485
1581080404,146,789
1581082204,319,1417
1581084004,234,1007
1581085805,192,1129
1581087604,243,901
1581089404,333,1056
1581091204,251,1112
1581093005,256,680
1581094805,358,240
1581096605,181,64
1581098404,284,55
1581100205,318,65
1581102005,302,109
1581103805,208,190
1581105604,204,168
1581107406,190,367
1581109206,232,498
1581111006,223,458
1581112808,229,264
1581114608,338,756
1581116409,380,788
1581118208,246,351
1581120009,98,241
1581121807,176,181
1581123608,207,172
1581125409,294,304
1581127208,495,213
1581129007,450,156
1581130808,230,221
1581132607,369,174
1581134408,212,31
1581136208,123,34
1581138007,221,53
1581139807,159,55
1581141607,301,88
1581143407,235,51
1581145208,275,115
1581147008,226,150
1581148808,195,56
1581150607,189,101
1581152408,186,605
1581154208,166,606
1581156007,199,373
1581157807,190,467
1581159607,222,411
1581161408,456,377
1581163207,220,286
1581165008,184,225
1581166807,276,118
1581168608,377,208
1581170408,198,162
1581172206,296,38
1581174006,408,32
1581175806,681,59
1581177606,532,86
1581179406,579,134
1581181207,455,96
1581183006,249,72
1581184806,273,69
1581186606,175,30
1581188405,193,31
1581190205,220,68
1581192005,648,55
1581193806,241,198
1581195606,174,346
1581197405,219,259
1581199205,233,117
1581201005,321,181
1581202804,439,258
1581204605,752,357
1581206405,755,353
1581208205,523,395
1581210005,551,790
1581211804,517,675
1581213605,417,839
1581215405,376,532
1581217204,350,255
1581219004,262,269
1581220805,335,460
1581222604,396,471
1581224406,252,256
1581226204,289,381
1581228005,252,489
1581229804,292,864
1581231604,245,956
1581233404,314,649
1581235204,258,514
1581237005,421,565
1581238804,460,495
1581240605,289,352
1581242406,484,432
1581244206,360,497
1581246006,325,362
1581247805,255,314
1581249606,426,278
1581251407,385,360
1581253206,1748,401
1581255006,1291,372
1581256806,722,485
1581258606,591,320
1581260406,501,440
1581262206,619,400
1581264007,509,345
1581265807,629,338
1581267607,771,333
1581269408,666,413
1581271206,500,300
1581273006,398,1212
1581274808,327,1045
1581276606,481,946
1581278406,415,652
1581280207,375,641
1581282007,376,464
1581283807,296,588
1581285606,379,527
1581287406,444,745
1581289207,380,578
1581291007,470,656
1581292806,500,602
1581294606,448,356
1581296407,800,212
1581298207,1005,288
1581300007,650,447
1581301808,401,199
1581303607,327,269
1581305407,302,293
1581307207,395,275
1581309006,311,294
1581310806,318,463
1581312607,291,464
1581314406,282,622
1581316208,313,686
1581318007,280,635
1581319805,363,1471
1581321607,286,932
1581323407,270,768
1581325208,227,653
1581327007,451,457
1581328806,412,331
1581330607,371,279
1581332408,349,283
1581334207,354,272
1581336007,983,287
1581337807,350,164
1581339608,445,214
1581341408,381,127
1581343208,395,124
1581345008,324,79
1581346808,349,69
1581348608,328,233
1581350409,351,163
1581352207,344,204
1581354008,391,152
1581355808,349,243
1581357609,369,819
1581359407,346,425
1581361208,362,252
1581363006,506,137
1581364806,350,229
1581366607,303,321
1581368405,406,215
1581370205,366,380
1581372005,394,247
1581373805,271,217
1581375605,407,359
1581377405,300,546
1581379204,282,482
1581381005,379,629
1581382804,1444,700
1581384605,541,420
1581386405,356,476
1581388205,283,390
1581390005,339,420
1581391804,323,435
1581393605,344,1186
1581395407,363,692
1581397207,281,244
1581399006,253,132
1581400807,177,206
1581402607,210,145
1581404407,241,214
1581406207,383,718
1581408006,251,664
1581409807,395,616
1581411606,275,237
1581413404,331,251
1581415206,320,372
1581417007,346,224
1581418806,447,324
1581420606,426,194
1581422406,283,72
1581424206,294,203
1581426005,777,313
1581427805,986,466
1581429607,590,297
1581431406,434,356
1581433207,496,435
1581435007,271,489
1581436806,318,585
1581438605,404,356
1581440404,388,271
1581442205,290,400
1581444005,226,282
1581445805,457,452
1581447606,573,414
1581449407,401,1903
1581451207,477,1329
1581453007,507,1103
1581454808,409,983
1581456608,422,855
1581458408,330,427
1581460208,457,478
1581462008,401,365
1581463809,263,257
1581465610,336,322
1581467409,250,403
1581469209,202,332
1581471010,750,289
1581472810,569,183
1581474610,396,245
1581476410,178,241
1581478210,276,231
1581480011,172,163
1581481812,286,168
1581483610,222,133
1581485411,203,120
1581487209,245,61
1581489010,295,107
1581490813,253,190
1581492610,255,408
1581494410,258,534
1581496211,169,249
1581498010,182,307
1581499808,255,118
1581501609,323,84
1581503408,357,84
1581505208,415,219
1581507007,229,143
1581508810,371,205
1581510608,247,126
1581512407,166,81
1581514205,114,58
1581516005,126,11
1581517805,116,10
1581519605,123,21
1581521404,109,37
1581523204,138,172
1581525004,129,79
1581526805,119,38
1581528604,246,167
1581530404,261,242
1581532203,124,252
1581534003,113,270
1581535803,114,152
1581537603,115,275
1581539402,95,184
1581541203,110,209
1581543003,121,325
1581544801,161,148
1581546602,125,181
1581548402,247,353
1581550201,153,331
1581552002,120,268
1581553802,204,305
1581555601,125,187
1581557401,141,198
1581559201,110,96
1581561001,111,114
1581562802,174,62
1581564601,98,53
1581566401,181,196
1581568201,139,219
1581570001,123,170
1581571801,109,349
1581573602,179,130
1581575401,139,259
1581577201,123,57
1581579001,102,9
1581580801,122,122
1581582601,103,102
1581584401,113,87
1581586201,256,100
1581588002,137,16
1581589801,302,13
1581591602,190,80
1581593401,76,6
1581595201,164,130
1581597001,214,201
1581598801,85,144
1581600601,117,139
1581602401,86,141
1581604201,102,110
1581606001,122,184
1581607801,118,83
1581609602,202,172
1581611402,122,373
1581613201,123,167
1581615001,134,129
1581616802,125,150
1581618602,133,181
1581620402,119,130
1581622201,117,115
1581624001,129,112
1581625801,106,112
1581627601,116,95
1581629401,100,236
1581631201,128,93
1581633001,100,14
1581634801,100,459
1581636602,219,185
1581638401,128,72
1581640201,123,322
1581642001,127,79
1581643801,106,103
1581645601,112,95
1581647402,129,82
1581649202,106,115
1581651001,109,99
1581652801,108,114
1581654601,103,198
1581656401,202,14
1581658201,85,18
1581660001,60,137
1581661801,80,132
1581663601,172,111
1581665401,274,160
1581667201,126,97
1581669002,102,233
1581670801,150,101
1581672602,237,108
1581674401,138,115
1581676201,219,104
1581678001,190,82
1581679801,192,130
1581681602,162,252
1581683402,641,105
1581685202,133,161
1581687001,133,114
1581688801,112,195
1581690601,116,128
1581692401,125,134
1581694201,140,210
1581696001,141,121
1581697802,146,105
1581699601,118,102
1581701401,463,199
1581703202,729,64
1581705002,77,166
1581706802,252,183
1581708601,283,335
1581710401,91,83
1581712201,87,7
1581714001,1686,73
1581715802,763,47
1581717602,454,184
1581719402,281,93
1581721202,329,103
1581723002,459,102
1581724804,446,90
1581726603,389,198
1581728404,462,1335
1581730205,275,3998
1581732004,314,1268
1581733805,307,1082
1581735607,346,666
1581737407,274,662
1581739207,242,224
