DateTime,AddedIPs,RemovedIPs
1581326521,0,2
1581327121,4,6
1581327721,2,0
1581329521,1,6
1581330721,0,1
1581333121,2,2
1581333722,2,0
1581334921,3,0
1581336121,2,0
1581336721,1,0
1581337322,0,1
1581339122,2,2
1581340322,2,0
1581340921,0,2
1581342721,2,0
1581343321,0,1
1581344522,0,2
1581345122,1,1
1581345721,6,3
1581346321,3,0
1581347521,4,0
1581349321,1,3
1581350521,0,3
1581352321,2,0
1581352921,1,3
1581353521,3,0
1581354721,1,1
1581355321,1,0
1581356521,1,2
1581357122,1,2
1581359521,1,0
1581360121,1,0
1581360721,0,5
1581361922,1,3
1581363122,6,1
1581363721,1,0
1581364921,2,3
1581365521,1,0
1581367321,3,3
1581367921,5,5
1581369721,0,5
1581370921,0,1
1581372121,1,0
1581372721,1,0
1581373321,5,0
1581374521,0,2
1581375721,1,0
1581376921,0,1
1581378122,1,1
1581379322,0,6
1581380521,2,0
1581381721,2,1
1581382321,1,0
1581384121,1,0
1581385322,0,1
1581385921,0,1
1581387721,1,0
1581388921,1,8
1581390121,2,1
1581391321,1,1
1581391922,1,5
1581393121,1,2
1581394921,0,9
1581395521,1,0
1581396122,2,1
1581399721,4,0
1581400922,1,5
1581402121,2,5
1581403321,1,1
1581404521,2,0
1581405721,2,2
1581406921,1,3
1581408121,0,2
1581410522,0,3
1581411121,1,60
1581413522,2,0
1581414121,0,1
1581417122,2,0
1581418922,1,1
1581419521,1,0
1581420722,2,3
1581421321,1,0
1581422522,0,2
1581423122,1,1
1581423721,1,0
1581424922,1,0
1581426122,0,2
1581426721,1,0
1581427321,1,0
1581427921,1,0
1581428521,0,2
1581429721,2,0
1581430921,1,0
1581431521,1,2
1581432121,1,1
1581434521,3,0
1581435721,0,2
1581436322,4,1
1581436921,0,3
1581438721,1,0
1581439921,1,0
1581440521,0,2
1581441721,0,1
1581443521,1,0
1581444122,1,1
1581445321,0,6
1581446521,0,2
1581447721,3,3
1581449521,0,3
1581450121,2,0
1581452521,2,2
1581453721,0,1
1581454921,1,3
1581456121,0,4
1581456721,1,0
1581457322,1,1
1581458522,0,1
1581459121,1,0
1581459721,2,0
1581460921,1,2
1581462122,0,1
1581462722,1,0
1581463921,0,1
1581465121,3,1
1581466321,0,1
1581466921,17,0
1581468121,0,18
1581468721,0,1
1581470521,0,1
1581473521,3,2
1581474121,1,0
1581474721,1,1
1581476521,1,4
1581478922,0,2
1581480121,0,6
1581480721,0,3
1581481921,1,3
1581482521,1,0
1581483721,0,2
1581484922,4,2
1581486122,1,1
1581487321,1,0
1581488521,1,1
1581489721,1,3
1581490321,0,9
1581490921,1,2
1581492121,5,8
1581493321,0,2
1581494522,4,1
1581495721,2,1
1581497522,0,1
1581498721,4,0
1581499321,18,1
1581500521,0,2
1581501121,1,0
1581501721,2,3
1581502321,2,2
1581503521,0,1
1581504121,0,2
1581505321,0,3
1581505921,1,0
1581506522,3,2
1581507721,0,2
1581508921,3,2
1581509521,3,0
1581510121,0,2
1581511322,3,1
1581513121,4,0
1581513721,2,0
1581514922,1,1
1581516121,2,1
1581516722,3,0
1581517922,0,1
1581518521,2,1
1581519721,2,0
1581522122,2,3
1581523322,0,1
1581523921,1,0
1581526921,1,0
1581527521,1,0
1581528122,1,2
1581529321,1,1
1581529921,0,1
1581532321,1,0
1581532922,2,1
1581534121,1,3
1581536521,1,0
1581538321,4,0
1581539521,1,0
1581540121,4,0
1581541321,5,4
1581542521,0,2
1581543721,1,0
1581544921,0,6
1581546121,2,1
1581547321,2,4
1581548521,1,0
1581549121,1,0
1581549722,3,2
1581550921,2,2
1581551521,3,0
1581553321,1,1
1581554521,1,1
1581555721,0,1
1581556921,1,5
1581557521,3,0
1581558121,0,5
1581559321,2,0
1581560521,3,1
1581561121,2,0
1581562321,0,6
1581562921,2,1
1581563521,0,1
1581564121,0,4
1581565921,1,54
1581566521,0,4
